"Home \ Away","BAR","BIR","BLB","BRE","BRY","CAR","CHF","COV","DON","GRI","HUL","LEE","LEI","LUT","MCI","NTC","PNE","QPR","SHU","SOU","SWA","WHU"
"Barnsley","","0–2","3–0","2–3","2–3","0–0","0–0","3–0","0–1","3–1","4–2","1–2","0–0","6–1","1–1","2–0","4–1","7–0","1–1","1–2","1–0","1–2"
"Birmingham","2–0","","3–2","1–1","3–3","0–0","2–1","1–1","0–2","1–1","2–1","0–1","2–0","3–0","1–0","1–4","1–0","1–1","3–0","2–0","5–0","3–1"
"Blackburn Rovers","3–4","2–3","","3–2","2–4","2–0","1–1","1–0","4–2","2–0","2–2","2–1","1–0","1–0","4–1","0–0","2–1","2–1","0–2","1–0","3–0","1–3"
"Brentford","0–2","2–1","3–2","","4–0","4–0","4–0","0–4","1–1","5–1","2–1","1–2","0–0","1–0","2–0","1–3","2–4","2–1","3–1","4–0","2–1","1–1"
"Bury","0–3","4–1","1–3","2–1","","1–2","2–2","1–0","3–1","2–3","0–2","0–1","2–3","4–1","2–0","0–0","3–1","0–1","1–1","1–0","1–1","3–0"
"Cardiff City","1–1","2–1","1–0","1–1","2–2","","1–0","2–1","0–0","5–2","2–1","1–0","2–2","2–1","1–1","2–0","0–2","4–2","2–0","2–2","1–0","2–1"
"Chesterfield","1–2","1–1","4–1","2–2","3–0","0–3","","1–1","1–4","2–2","0–0","1–0","1–0","1–1","1–2","0–0","2–0","3–1","0–2","2–3","3–1","1–2"
"Coventry City","3–3","3–1","6–1","3–3","5–2","2–1","1–0","","3–1","1–0","4–1","1–0","2–1","4–1","0–2","1–2","1–0","3–0","2–3","2–2","3–1","1–0"
"Doncaster Rovers","3–2","0–1","0–1","0–3","1–1","0–0","1–2","2–1","","3–1","2–4","4–4","2–2","5–2","4–3","3–2","2–0","0–2","1–1","0–0","1–0","3–0"
"Grimsby Town","3–1","1–1","1–1","7–2","2–1","0–0","1–2","1–2","1–0","","1–1","2–2","0–2","0–2","4–4","1–4","0–4","2–2","2–2","4–2","4–2","0–1"
"Hull City","3–3","3–2","2–2","3–0","4–0","2–0","2–1","0–2","1–2","2–1","","2–0","1–3","5–3","3–3","1–0","0–0","5–1","1–1","4–1","2–1","1–2"
"Leeds United","2–2","3–0","0–1","1–0","1–1","2–0","2–0","1–0","3–1","1–0","3–0","","2–1","2–1","1–1","0–1","0–3","2–2","1–0","5–3","2–0","2–0"
"Leicester City","1–2","1–3","2–0","1–2","4–0","1–1","1–0","3–0","2–0","0–0","4–0","1–5","","3–1","1–2","1–1","2–3","6–2","2–2","3–1","2–3","1–0"
"Luton Town","1–1","1–1","1–1","2–0","4–2","1–1","3–0","1–1","3–1","4–0","1–2","2–3","0–2","","2–2","1–1","1–2","2–0","0–0","0–1","3–1","1–1"
"Manchester City","6–0","3–1","1–0","4–0","5–1","2–1","5–1","1–0","3–3","2–2","0–0","4–1","1–1","1–1","","0–0","0–3","5–2","5–3","2–3","1–2","2–0"
"Notts County","2–1","0–1","1–1","2–3","4–2","1–2","1–0","0–2","1–2","3–2","2–2","0–0","2–3","2–2","0–0","","1–3","3–3","3–0","2–2","3–2","4–1"
"Preston North End","7–0","1–0","3–0","4–2","2–0","1–1","4–1","1–1","6–1","2–0","1–0","2–0","3–2","1–0","2–4","3–1","","1–0","1–1","3–2","5–1","0–1"
"Queens Park Rangers","2–1","2–0","3–1","1–1","3–2","3–2","1–1","3–1","1–2","7–1","3–1","3–0","3–0","1–1","1–2","1–0","1–4","","2–1","2–0","1–1","3–3"
"Sheffield United","0–2","3–2","0–3","5–1","3–0","1–2","4–1","2–0","0–0","4–2","3–1","2–2","2–1","2–1","0–0","1–2","2–3","2–0","","1–2","6–1","1–1"
"Southampton","1–0","0–2","1–1","2–1","1–0","1–1","1–1","5–4","1–1","5–1","2–3","2–0","2–2","1–1","2–1","1–0","3–3","2–2","1–0","","2–1","2–2"
"Swansea Town","1–0","0–1","1–2","2–1","2–0","1–0","2–0","2–1","2–2","1–3","1–0","4–2","2–1","0–2","2–3","2–1","2–1","1–0","1–2","2–1","","3–2"
"West Ham United","4–2","1–2","2–3","1–2","2–3","0–0","2–0","3–2","0–0","2–1","3–3","3–1","0–0","2–1","2–4","4–2","2–0","4–1","3–5","3–0","1–1",""
