"Home \ Away","ACC","BRW","BRA","BPA","CRL","CHE","CRE","DAR","GAT","HAL","HAR","LIN","MAN","NWB","OLD","ROC","ROT","SCU","SHR","SOU","STP","TRA","WRE","YOR"
"Accrington Stanley","","1–0","0–2","3–3","0–4","1–2","1–0","1–0","2–2","1–0","2–0","3–1","0–2","1–1","1–2","1–2","0–2","0–0","2–0","3–1","2–3","0–2","1–0","2–0"
"Barrow","4–0","","1–3","2–3","1–2","2–0","0–1","0–3","1–1","2–0","3–0","3–1","2–3","1–1","2–1","4–3","0–2","1–0","0–0","3–1","1–0","1–2","2–0","2–0"
"Bradford City","7–0","5–1","","4–1","2–4","0–1","1–1","0–3","2–2","2–0","3–1","0–0","2–3","3–0","1–0","2–1","3–4","2–0","1–0","3–0","0–1","2–2","5–3","5–2"
"Bradford Park Avenue","3–0","5–0","3–1","","0–2","2–0","1–1","2–1","2–0","2–1","1–1","2–1","1–0","2–1","3–1","0–1","0–4","2–2","2–4","2–0","3–0","4–1","0–1","4–0"
"Carlisle United","3–1","1–1","2–1","1–0","","2–1","2–1","2–1","3–0","1–0","1–0","2–0","2–0","1–0","1–0","4–0","0–0","3–1","2–2","3–1","2–2","3–1","0–2","3–2"
"Chester","2–2","1–2","2–2","2–0","1–1","","1–1","3–1","2–2","2–1","2–1","2–1","0–1","3–1","3–1","1–3","1–2","4–1","3–1","0–2","3–0","1–3","0–0","3–1"
"Crewe Alexandra","3–0","2–0","1–1","2–4","1–1","3–0","","5–0","0–1","0–0","3–1","0–4","2–0","2–0","2–1","3–1","1–2","2–0","1–2","1–0","0–2","1–1","1–1","2–4"
"Darlington","3–0","1–1","2–1","1–4","1–0","0–0","2–0","","4–2","2–0","0–1","1–1","1–2","5–3","0–0","0–2","2–2","3–2","2–1","1–1","2–1","1–1","1–1","0–3"
"Gateshead","7–0","1–0","2–0","5–0","4–3","2–1","4–0","5–2","","5–0","0–1","1–2","1–3","4–0","3–2","4–1","0–3","1–0","3–0","1–3","2–0","2–0","0–0","3–0"
"Halifax Town","2–2","0–0","1–2","2–2","1–0","3–1","1–0","2–2","1–0","","1–0","4–1","0–1","0–2","3–0","1–1","1–2","3–3","3–1","4–0","1–0","0–1","1–0","1–3"
"Hartlepool","1–0","6–1","1–1","3–1","3–3","1–2","0–2","6–1","3–0","5–2","","2–2","1–1","0–1","0–1","0–0","3–1","4–2","1–0","3–2","2–0","2–1","4–1","4–1"
"Lincoln City","9–1","3–0","1–4","1–3","1–1","2–1","4–1","3–0","2–1","3–1","1–0","","3–0","3–0","2–0","4–2","0–2","2–1","5–0","1–2","6–0","2–1","2–1","2–1"
"Mansfield Town","5–0","4–0","1–1","3–2","2–1","2–1","4–1","2–1","2–1","3–1","1–0","1–1","","4–0","3–1","1–0","1–1","1–1","4–0","2–2","2–1","2–1","1–1","3–1"
"New Brighton","1–1","1–2","0–6","3–3","0–1","1–0","0–2","2–2","0–1","1–0","1–0","0–1","0–1","","2–0","1–5","2–4","1–2","0–0","1–0","1–0","1–1","3–0","0–0"
"Oldham Athletic","2–1","0–1","2–2","2–3","1–1","1–0","0–2","2–0","2–3","2–0","5–1","0–0","2–0","3–1","","2–0","4–5","3–4","2–1","4–0","1–3","3–4","2–2","2–2"
"Rochdale","3–1","1–0","4–0","1–2","4–1","2–3","1–1","0–0","2–0","0–0","3–1","3–0","0–0","1–0","0–1","","0–2","2–0","5–0","1–1","1–1","2–3","2–0","0–1"
"Rotherham United","6–2","3–0","1–0","2–1","3–0","0–0","2–3","0–1","1–2","2–0","2–1","3–0","3–0","5–0","3–1","3–0","","4–1","2–0","1–1","0–0","1–2","5–0","3–1"
"Scunthorpe & Lindsey United","3–0","1–0","0–0","1–1","1–1","2–0","1–1","2–0","2–1","2–2","0–0","1–1","0–0","6–0","1–0","3–0","0–0","","0–0","0–0","3–0","1–1","2–0","0–1"
"Shrewsbury Town","0–1","1–0","2–0","1–0","0–3","1–0","0–1","2–2","1–0","2–0","1–0","1–2","1–1","4–2","2–2","0–2","1–2","3–1","","1–5","0–3","1–2","2–1","1–0"
"Southport","3–0","4–1","0–1","2–4","1–0","0–1","2–0","1–0","1–0","1–1","3–0","0–2","0–1","0–1","1–4","1–1","0–1","2–2","1–2","","2–0","0–1","3–1","1–1"
"Stockport County","0–0","4–1","3–1","2–1","1–2","0–3","3–0","1–0","5–2","2–1","2–0","2–0","3–1","4–0","1–4","2–2","1–3","1–2","2–0","3–2","","0–0","2–1","1–0"
"Tranmere","1–1","3–0","3–1","2–2","2–2","3–1","3–0","3–2","2–2","3–2","1–0","0–1","2–1","4–3","1–0","2–1","2–1","1–0","0–1","4–0","1–1","","1–2","7–2"
"Wrexham","1–1","1–0","0–3","3–1","2–1","2–0","0–2","3–1","0–0","2–2","1–0","2–3","2–2","0–1","0–2","3–1","0–0","3–1","1–0","3–3","2–0","2–1","","4–3"
"York City","3–0","0–2","1–2","1–3","1–1","2–2","1–2","1–1","1–1","0–0","3–0","2–2","1–1","2–0","2–2","2–2","3–3","0–0","2–0","2–0","0–0","4–0","3–0",""
