"Home \ Away","ARS","AST","BLP","BOL","BUR","CHA","CHE","DER","FUL","HUD","LIV","MCI","MUN","MID","NEW","POR","PNE","STK","SUN","TOT","WBA","WOL"
"Arsenal","","2–1","4–1","4–2","1–0","2–1","2–1","3–1","4–3","2–2","0–0","2–2","1–3","3–1","1–1","4–1","3–3","4–1","3–0","1–1","6–3","2–2"
"Aston Villa","1–0","","4–0","1–1","4–1","0–2","7–1","4–1","4–1","1–0","2–0","1–2","2–5","2–0","2–2","2–0","3–2","2–3","2–1","0–3","2–0","3–3"
"Blackpool","0–0","0–3","","1–0","1–0","1–2","1–2","2–1","4–2","3–1","2–0","2–2","2–2","2–2","6–3","0–0","0–3","4–2","3–0","1–0","2–0","3–2"
"Bolton Wanderers","2–1","5–2","1–0","","1–4","2–1","3–0","1–2","2–1","2–1","1–1","2–1","1–0","3–1","0–0","0–3","1–1","1–1","1–1","1–1","3–2","2–2"
"Burnley","0–1","2–1","2–0","1–3","","1–0","1–1","0–1","1–0","0–2","0–0","0–0","1–1","7–1","2–1","1–0","0–2","4–0","0–1","1–1","6–1","2–2"
"Charlton Athletic","1–3","0–1","2–0","1–0","1–0","","1–1","3–3","3–0","4–0","2–0","0–0","2–2","4–3","3–0","0–2","4–2","4–0","2–1","0–3","3–3","1–0"
"Chelsea","1–3","2–2","2–1","1–3","4–1","1–0","","0–1","2–1","2–1","1–3","0–3","4–2","5–0","1–0","1–1","0–0","1–0","2–1","0–2","1–3","0–1"
"Derby County","1–2","1–1","1–1","5–2","1–0","1–3","1–1","","5–0","2–1","1–1","1–3","0–3","3–1","1–3","1–0","4–3","4–2","3–4","4–2","2–1","1–3"
"Fulham","0–0","2–2","1–2","1–2","1–2","3–3","1–2","3–0","","1–0","1–1","1–2","3–3","6–0","1–1","2–3","2–3","5–0","0–1","1–2","1–0","2–2"
"Huddersfield Town","2–3","3–1","1–3","0–2","1–3","1–0","1–0","1–1","1–0","","1–2","5–1","3–2","1–0","2–4","0–1","2–0","0–2","2–2","1–1","3–0","1–7"
"Liverpool","0–0","1–2","1–1","1–1","3–1","1–1","1–1","2–0","4–0","2–1","","1–2","0–0","1–1","3–0","0–2","2–2","2–1","2–2","1–1","2–5","1–1"
"Manchester City","0–2","2–2","0–0","0–3","0–1","4–2","3–1","4–2","1–1","3–0","1–2","","1–2","2–1","2–3","0–1","1–0","0–1","3–1","1–1","1–2","0–0"
"Manchester United","6–1","1–1","3–1","1–0","6–1","3–2","3–0","2–1","3–2","1–1","4–0","1–1","","4–2","2–1","1–3","1–2","4–0","0–1","2–0","5–1","2–0"
"Middlesbrough","0–3","2–0","1–0","2–0","5–0","2–1","0–0","0–0","2–0","2–1","3–3","2–2","1–4","","2–1","2–1","2–5","3–0","0–2","2–1","0–1","4–0"
"Newcastle United","2–0","6–1","1–3","0–1","7–1","6–0","3–1","2–1","0–1","6–2","1–1","1–0","2–2","0–2","","3–3","3–0","6–0","2–2","7–2","1–4","3–1"
"Portsmouth","1–1","2–0","1–3","3–0","2–2","1–0","1–0","3–1","4–0","3–1","1–3","1–0","1–0","5–4","3–1","","1–2","4–1","0–2","2–0","1–1","2–3"
"Preston North End","2–0","2–2","3–1","2–2","1–2","3–0","1–0","0–1","0–1","5–2","4–0","1–1","1–2","0–1","1–2","2–2","","2–0","4–2","1–1","1–0","3–0"
"Stoke City","2–1","4–1","2–3","1–2","2–1","1–2","1–2","3–1","1–1","0–0","1–2","3–1","0–0","3–2","4–5","2–0","0–0","","1–1","1–6","1–1","1–0"
"Sunderland","4–1","1–3","1–3","0–2","0–0","1–1","4–1","3–0","2–2","7–1","3–0","3–0","1–2","3–1","1–4","3–1","0–0","0–1","","0–1","3–3","1–1"
"Tottenham Hotspur","1–2","2–0","2–0","2–1","1–1","2–3","3–2","5–0","1–0","1–0","2–3","1–2","2–0","3–1","2–1","3–1","1–0","2–0","2–0","","3–1","4–2"
"West Bromwich Albion","3–1","1–2","1–1","3–2","1–1","1–1","0–1","1–0","0–2","0–0","3–3","3–2","3–3","2–3","3–3","5–0","1–1","1–0","1–1","3–1","","2–1"
"Wolverhampton Wanderers","2–1","1–2","3–0","5–1","1–2","2–2","5–3","1–2","2–2","0–0","2–1","2–2","0–2","4–0","3–0","1–1","1–4","3–0","0–3","1–1","1–4",""
