"Home \ Away","BAR","BIR","BLB","BRE","BRY","CAR","COV","DON","EVE","HUL","LEE","LEI","LUT","NOT","NTC","QPR","ROT","SHU","SHW","SOU","SWA","WHU"
"Barnsley","","1–2","1–2","0–0","3–3","2–0","1–0","1–1","1–0","2–2","3–1","3–3","1–2","1–1","2–1","3–1","0–1","3–4","5–4","3–1","2–3","1–1"
"Birmingham","2–1","","0–1","1–2","2–1","3–2","3–1","2–2","1–2","2–2","1–1","2–0","3–1","0–2","2–0","1–0","4–0","3–0","0–0","1–1","1–1","2–1"
"Blackburn Rovers","2–1","1–4","","3–0","1–2","0–1","0–1","3–3","1–0","1–0","2–3","2–1","2–1","3–2","2–0","4–2","1–1","1–5","0–0","0–1","3–1","3–1"
"Brentford","1–1","1–0","1–1","","4–0","1–1","1–0","1–0","1–0","2–1","2–1","1–3","3–3","1–1","1–0","0–0","2–0","4–1","2–3","1–2","3–1","1–1"
"Bury","3–0","3–0","0–2","1–0","","1–1","0–2","1–1","1–0","3–1","1–2","1–4","0–1","2–0","2–1","3–1","3–1","1–0","1–2","8–2","4–1","4–0"
"Cardiff City","3–0","3–1","3–1","2–0","3–0","","4–1","2–1","3–1","1–0","3–1","4–0","3–0","4–1","1–0","3–1","2–4","1–1","2–1","1–0","3–0","1–1"
"Coventry City","0–0","1–1","1–2","2–1","3–0","2–1","","1–2","2–1","1–4","4–2","1–3","5–2","3–3","0–2","0–0","2–1","1–1","0–2","3–1","3–2","1–2"
"Doncaster Rovers","1–2","0–5","1–0","1–2","1–1","1–0","1–0","","3–1","0–1","2–0","2–2","1–1","0–1","1–5","4–0","0–3","2–1","1–1","0–1","3–0","4–1"
"Everton","1–1","1–3","0–2","1–0","2–2","3–0","4–1","1–1","","5–0","2–0","2–0","1–3","1–0","1–5","3–0","3–3","1–0","3–3","3–0","2–1","2–0"
"Hull City","0–0","0–1","3–0","4–1","5–0","0–0","5–0","2–0","1–0","","3–2","3–1","1–2","1–4","1–3","4–1","3–3","2–1","0–1","0–0","5–2","1–1"
"Leeds United","1–0","1–1","1–0","1–1","2–1","2–1","3–1","0–0","1–2","2–0","","2–1","1–1","0–0","1–0","3–0","3–0","3–1","3–2","1–1","1–1","3–1"
"Leicester City","1–2","4–0","2–1","1–1","1–1","3–0","3–1","2–1","1–2","1–0","1–2","","3–3","3–1","1–1","4–0","2–0","5–5","3–1","3–0","1–1","3–1"
"Luton Town","4–2","2–4","1–1","0–2","2–1","2–2","2–1","1–4","1–1","1–1","2–1","1–2","","3–3","6–0","0–1","1–1","2–1","5–3","2–1","2–2","6–1"
"Nottingham Forest","3–3","0–1","1–0","2–0","1–0","2–3","3–1","1–1","2–0","4–0","1–1","2–2","2–0","","3–2","3–1","4–2","0–2","2–1","3–0","2–2","0–0"
"Notts County","4–0","5–0","0–1","5–2","2–1","1–1","2–1","1–0","0–0","4–0","1–2","2–3","5–4","2–2","","0–0","0–3","3–1","2–2","3–4","2–0","1–0"
"Queens Park Rangers","1–1","0–2","2–1","3–1","3–2","1–1","1–4","0–2","4–4","1–1","0–0","1–0","0–0","4–3","1–4","","2–3","4–2","2–2","2–1","1–1","2–0"
"Rotherham United","4–0","1–2","3–0","1–1","4–3","2–0","0–1","2–0","1–1","1–1","4–2","0–2","0–1","1–2","2–0","1–0","","3–1","3–3","4–1","1–3","2–1"
"Sheffield United","1–2","4–2","1–1","1–4","1–0","6–1","1–2","2–1","1–2","4–1","3–0","5–0","3–0","1–4","1–0","1–2","1–0","","7–3","2–2","5–0","6–1"
"Sheffield Wednesday","2–1","1–1","2–0","2–0","2–1","4–2","3–1","3–1","4–0","6–0","1–2","1–0","4–0","1–1","6–0","2–1","3–5","1–3","","3–1","1–1","2–2"
"Southampton","1–1","2–0","2–1","2–1","4–2","1–1","2–2","2–0","1–0","1–1","0–0","2–0","2–3","5–2","4–0","1–1","3–1","0–1","1–4","","3–2","1–2"
"Swansea Town","2–1","4–0","5–1","1–1","0–2","1–1","7–1","1–2","0–2","3–0","4–1","1–0","0–3","1–2","1–1","2–3","5–0","3–1","1–2","1–1","","2–1"
"West Ham United","2–1","0–1","3–1","1–0","1–1","1–1","3–1","3–3","3–3","2–0","2–0","2–3","3–0","3–1","2–1","4–2","2–1","5–1","0–6","4–0","2–2",""
