"Home \ Away","ACC","BRW","BRA","BPA","CRL","CHE","CHF","CRE","DAR","GAT","GRI","HAL","HAR","LIN","MAN","OLD","ROC","SCU","SOU","STP","TRA","WRK","WRE","YOR"
"Accrington Stanley","","1–1","0–1","5–1","0–2","4–2","2–0","2–3","1–3","1–2","0–3","2–2","0–0","1–3","1–0","1–2","0–0","2–2","0–0","0–3","1–1","0–0","4–2","2–1"
"Barrow","3–1","","1–0","0–2","0–1","1–0","2–0","2–1","2–2","2–1","3–1","0–0","2–1","1–2","1–1","0–1","4–0","2–1","0–0","1–3","2–0","1–0","3–1","0–0"
"Bradford City","1–3","2–2","","2–2","1–2","1–0","1–0","0–2","3–1","1–1","0–2","3–2","0–2","1–1","2–1","5–2","3–0","1–0","2–1","2–3","2–0","1–0","3–2","3–3"
"Bradford Park Avenue","1–1","3–1","2–1","","0–1","3–0","3–3","3–2","2–0","2–0","3–2","6–1","1–2","1–1","0–1","1–0","1–1","2–2","2–2","4–2","2–3","2–1","5–0","2–1"
"Carlisle United","4–1","0–1","1–0","1–0","","0–0","2–3","2–0","1–1","0–0","1–2","2–2","2–1","1–4","0–0","3–3","1–1","3–0","0–2","2–1","1–0","0–1","2–0","2–1"
"Chester","3–1","0–0","1–0","4–2","4–2","","3–0","2–0","2–0","0–3","0–3","5–1","3–3","0–1","1–5","1–2","4–0","3–1","2–1","0–0","4–1","2–2","2–1","0–1"
"Chesterfield","2–0","2–0","2–2","0–0","3–0","2–0","","0–0","4–2","1–0","3–1","3–1","2–2","2–2","1–1","1–0","5–1","3–0","2–0","0–1","1–1","3–1","3–0","2–1"
"Crewe Alexandra","3–3","1–1","0–1","3–4","1–1","1–2","2–1","","3–0","4–2","1–2","4–1","4–2","0–2","1–0","3–1","1–0","2–2","1–0","1–0","2–1","2–0","2–2","0–0"
"Darlington","4–5","1–2","3–1","3–0","1–2","1–1","3–0","0–1","","3–2","0–2","0–2","2–1","1–1","2–1","2–2","2–1","2–3","1–1","1–2","2–2","2–1","2–1","1–0"
"Gateshead","1–0","2–0","2–2","0–1","1–1","1–0","1–1","1–0","2–2","","1–1","3–0","2–0","3–1","4–1","1–0","1–0","2–1","3–0","0–2","4–1","4–1","1–1","1–1"
"Grimsby Town","2–1","1–0","2–1","3–0","4–1","2–1","2–0","0–1","3–0","2–0","","8–1","2–0","2–3","1–1","3–1","4–0","3–2","4–1","4–0","1–0","5–0","1–0","0–0"
"Halifax Town","0–4","0–1","1–1","0–0","1–2","4–1","0–0","2–3","4–1","0–1","3–0","","2–0","1–3","1–0","1–0","1–0","2–1","0–1","1–2","1–0","3–1","2–0","1–1"
"Hartlepool","4–2","3–1","2–1","2–1","1–0","2–1","4–1","3–0","2–0","1–0","2–1","6–1","","1–1","2–0","1–1","1–1","3–1","3–1","0–1","0–1","0–1","1–0","3–2"
"Lincoln City","2–2","3–0","2–1","2–0","2–2","4–1","5–1","11–1","7–2","1–0","0–2","4–1","4–3","","1–2","4–0","2–0","4–1","4–0","2–1","3–0","7–0","3–2","3–1"
"Mansfield Town","3–0","2–1","2–1","1–0","1–2","3–1","2–1","2–1","3–2","2–3","2–2","4–2","0–1","1–0","","2–1","1–1","4–1","4–0","1–0","3–0","3–2","3–0","1–1"
"Oldham Athletic","3–1","3–1","2–1","1–2","2–0","11–2","3–0","5–2","3–2","2–0","1–1","2–0","5–2","4–1","5–3","","1–1","2–0","2–1","1–0","3–0","0–1","2–1","2–0"
"Rochdale","3–1","4–1","1–1","1–1","0–4","0–5","2–0","1–0","6–2","0–3","0–0","0–2","3–0","0–1","1–0","2–2","","1–2","1–0","0–0","3–2","2–0","1–5","0–2"
"Scunthorpe & Lindsey United","3–1","0–0","1–0","0–0","1–1","2–2","1–1","2–0","5–2","1–1","1–3","2–1","2–0","1–3","4–1","2–2","3–1","","1–1","1–1","2–0","3–1","0–0","1–1"
"Southport","0–0","2–2","1–1","0–0","2–1","1–0","4–1","1–1","3–0","0–2","2–0","3–2","2–0","0–3","0–1","0–0","1–2","5–1","","0–1","1–0","4–2","2–1","2–1"
"Stockport County","6–0","2–2","1–2","1–0","1–1","0–0","2–1","4–2","5–0","0–0","1–1","6–2","0–1","1–1","2–1","0–0","1–0","1–1","3–1","","2–0","5–0","0–0","3–1"
"Tranmere","3–1","3–1","3–1","1–2","3–2","3–1","2–0","1–0","3–0","5–1","2–3","1–2","4–1","2–2","1–1","0–4","4–3","3–1","5–1","2–0","","3–1","3–1","2–0"
"Workington","0–2","3–1","0–1","2–3","1–2","2–2","3–1","3–1","2–1","1–2","2–4","2–1","1–1","0–3","0–1","0–1","1–1","0–0","6–1","0–3","1–2","","2–0","1–0"
"Wrexham","1–0","2–4","3–0","3–2","3–1","3–2","0–3","4–0","1–1","2–1","2–0","2–1","0–0","4–2","3–1","1–0","2–0","1–2","3–0","0–0","0–1","0–0","","1–1"
"York City","6–1","2–1","3–1","1–0","0–0","4–2","1–0","3–0","2–1","1–0","1–1","6–2","3–1","1–0","3–0","5–0","1–1","0–1","0–2","0–1","1–1","5–1","4–2",""
