"Home \ Away","ARS","AST","BLP","BOL","BUR","CAR","CHA","CHE","DER","LIV","MCI","MUN","MID","NEW","POR","PNE","SHW","STK","SUN","TOT","WBA","WOL"
"Arsenal","","3–1","3–1","4–1","3–2","0–1","3–4","2–0","6–2","5–3","3–1","2–1","2–1","3–0","3–1","1–1","2–2","3–1","1–2","4–0","2–2","5–3"
"Aston Villa","1–2","","1–5","1–1","2–0","2–0","1–1","1–1","3–0","4–0","0–0","3–3","1–0","0–1","6–0","1–0","4–3","1–1","3–0","0–3","1–1","0–1"
"Blackpool","3–2","1–1","","3–0","4–2","0–1","8–4","3–1","2–1","3–1","4–1","0–0","1–1","0–2","3–2","1–1","0–1","1–1","2–0","2–0","2–0","2–0"
"Bolton Wanderers","4–6","0–0","4–0","","1–2","0–1","1–2","1–1","2–0","2–2","1–0","2–1","5–3","4–2","0–5","0–3","1–1","2–1","5–0","2–3","0–1","2–1"
"Burnley","1–1","1–0","0–1","0–1","","0–0","2–0","1–1","1–2","2–0","2–1","2–1","0–1","2–1","3–2","2–2","1–1","3–2","5–1","3–2","5–0","0–0"
"Cardiff City","0–0","1–2","2–2","1–0","0–0","","0–1","3–3","2–0","4–0","6–0","1–2","1–1","0–0","0–1","0–2","4–0","2–0","4–1","0–0","1–2","0–0"
"Charlton Athletic","2–2","5–1","2–0","2–0","0–0","3–1","","2–2","3–1","3–2","1–2","2–2","2–0","0–0","2–2","2–1","3–0","5–1","3–1","3–2","0–0","2–2"
"Chelsea","1–1","4–0","4–0","1–0","0–2","0–2","0–1","","1–1","3–0","3–1","2–3","1–1","1–2","2–0","5–3","1–0","0–0","3–2","2–1","0–2","1–2"
"Derby County","2–0","0–1","1–1","4–3","1–3","1–1","1–1","3–2","","3–2","5–0","2–3","3–3","0–2","3–0","0–1","2–1","4–0","3–1","0–0","1–1","2–3"
"Liverpool","1–5","0–2","2–2","0–0","1–1","2–1","1–2","2–0","1–1","","0–1","1–2","4–1","5–3","1–1","2–2","1–0","3–2","2–0","2–1","3–0","2–1"
"Manchester City","2–4","4–1","5–0","1–2","0–0","2–2","5–1","4–0","1–0","0–2","","2–1","5–1","2–1","2–1","0–2","3–1","2–1","2–5","0–1","0–1","3–1"
"Manchester United","0–0","3–1","2–1","1–0","1–3","1–4","3–2","2–0","1–0","3–1","1–1","","3–2","2–2","1–0","5–2","1–1","0–2","0–1","3–2","2–2","0–3"
"Middlesbrough","2–0","1–0","5–1","1–2","2–2","3–0","1–0","4–0","1–0","2–3","5–4","5–0","","2–1","3–2","1–1","2–2","0–0","1–2","0–4","4–2","1–1"
"Newcastle United","2–2","2–1","0–1","2–3","0–0","3–0","3–2","2–1","1–0","1–2","2–0","1–2","1–0","","1–0","4–3","1–5","1–2","2–2","1–1","3–5","1–1"
"Portsmouth","2–2","1–1","0–2","3–1","2–1","0–2","1–1","2–0","2–2","3–1","2–1","2–0","1–4","5–1","","2–5","5–2","1–1","5–2","2–1","1–2","2–2"
"Preston North End","2–0","1–3","4–2","2–2","2–1","2–3","2–1","2–1","3–0","1–1","6–2","0–5","3–0","2–1","4–0","","1–0","3–0","3–2","1–0","1–0","1–1"
"Sheffield Wednesday","1–4","2–2","2–0","1–1","2–4","2–0","0–3","1–0","2–0","0–2","1–1","0–0","2–0","2–2","3–4","1–1","","1–0","4–0","2–0","4–5","2–3"
"Stoke City","1–1","1–4","4–0","1–2","1–3","0–0","1–0","1–1","1–2","3–1","2–1","3–1","1–0","1–0","2–4","0–0","1–3","","3–0","2–0","5–1","1–2"
"Sunderland","3–1","2–2","1–1","2–0","2–1","4–2","2–1","2–1","2–1","3–1","3–3","2–2","1–1","0–2","1–1","2–2","2–1","1–1","","1–1","1–0","5–2"
"Tottenham Hotspur","1–3","1–1","4–0","1–1","2–1","2–1","2–0","2–3","5–2","3–1","3–3","1–2","7–1","3–2","3–3","4–4","2–1","1–0","2–2","","3–4","3–2"
"West Bromwich Albion","2–0","3–2","0–1","0–1","1–2","1–0","3–1","0–1","2–2","3–0","2–1","3–1","3–0","1–0","2–0","2–1","0–1","3–2","1–1","2–1","","1–1"
"Wolverhampton Wanderers","1–1","2–1","2–5","3–1","5–1","1–0","1–2","2–2","3–1","3–0","7–3","6–2","3–3","2–0","4–1","0–2","3–1","3–0","1–1","0–0","2–0",""
