"Home \ Away","BAR","BIR","BLB","BRE","BRY","DON","EVE","FUL","HUD","HUL","LEE","LEI","LIN","LUT","NOT","NTC","PLY","ROT","SHU","SOU","SWA","WHU"
"Barnsley","","1–3","1–4","0–2","3–2","2–2","2–3","1–1","2–4","5–1","2–2","0–3","1–1","2–3","0–2","1–2","0–3","2–3","1–3","0–1","3–1","2–0"
"Birmingham","3–1","","1–2","3–1","0–2","2–1","4–2","1–4","0–2","4–3","2–2","3–1","2–2","2–2","0–5","3–2","4–0","4–0","1–2","2–0","1–4","2–0"
"Blackburn Rovers","2–0","1–2","","3–0","4–0","2–1","3–1","2–2","1–1","2–0","1–1","2–0","0–2","1–1","2–1","3–2","1–3","0–1","1–2","3–0","3–0","3–0"
"Brentford","4–0","1–2","3–2","","2–2","1–0","2–4","2–2","1–3","1–0","3–3","4–2","1–0","1–1","1–1","5–0","1–2","1–1","0–0","3–0","0–0","1–4"
"Bury","5–2","3–0","1–0","3–0","","2–1","0–5","1–1","1–1","2–1","2–2","1–4","2–2","1–0","2–0","0–1","3–2","2–0","0–4","0–0","1–3","1–1"
"Doncaster Rovers","1–1","1–0","3–3","0–2","1–1","","3–0","0–0","1–1","3–1","0–0","0–0","2–0","1–0","1–0","2–0","1–1","2–1","0–2","1–0","2–3","1–1"
"Everton","2–1","1–1","0–3","5–0","3–0","7–1","","3–3","2–1","0–2","2–2","2–2","0–3","1–1","3–0","1–0","2–0","0–1","0–0","2–2","0–0","2–0"
"Fulham","3–1","3–1","2–1","5–0","2–0","1–3","3–0","","0–2","2–1","2–1","4–6","4–2","2–0","0–1","6–0","2–1","4–1","1–2","1–1","3–1","2–3"
"Huddersfield Town","6–0","1–1","0–3","0–0","2–0","3–1","8–2","4–2","","1–1","1–0","1–0","5–0","3–0","1–2","1–0","4–0","1–0","1–1","5–0","3–0","0–1"
"Hull City","2–2","2–0","3–0","2–2","0–2","1–1","1–0","3–1","0–2","","1–0","1–1","1–1","0–2","3–1","6–0","0–1","3–2","4–0","1–0","1–1","1–0"
"Leeds United","4–1","0–1","0–3","3–2","2–0","1–1","2–0","2–0","2–1","3–1","","0–1","2–1","2–2","2–1","3–1","1–1","4–0","0–3","1–1","5–1","3–2"
"Leicester City","2–2","3–4","2–1","2–3","3–2","4–2","4–2","6–1","2–1","5–0","3–3","","3–2","1–1","1–1","3–0","2–0","3–2","0–0","4–1","2–1","0–0"
"Lincoln City","1–1","1–1","4–1","0–0","4–0","2–0","1–1","2–2","2–2","2–1","1–1","3–2","","1–2","2–3","3–0","0–0","1–3","3–2","2–2","3–1","3–1"
"Luton Town","6–0","0–1","6–0","0–1","4–1","1–2","4–2","2–0","0–2","3–2","2–0","2–0","4–0","","3–0","5–1","1–0","2–1","4–1","1–2","3–1","0–0"
"Nottingham Forest","3–0","0–2","1–2","3–0","4–1","2–2","3–3","0–1","1–0","4–1","2–1","1–3","1–1","4–3","","1–0","3–1","4–3","1–1","2–3","6–4","0–0"
"Notts County","1–0","2–0","5–0","4–0","2–1","4–3","2–2","1–1","1–0","2–0","3–2","2–2","1–1","1–2","3–2","","0–4","2–1","0–3","1–2","3–4","1–1"
"Plymouth Argyle","4–0","2–1","3–1","1–0","0–0","0–0","1–0","3–1","0–2","1–2","0–1","2–1","0–0","2–1","0–3","2–2","","4–3","5–2","3–1","3–2","1–1"
"Rotherham United","3–1","1–1","0–0","4–1","6–1","4–2","2–2","1–0","0–0","2–1","3–1","0–0","3–2","1–3","2–3","2–3","2–3","","0–2","2–2","2–1","1–1"
"Sheffield United","3–0","2–2","3–0","3–2","3–1","2–2","1–0","2–1","0–2","0–2","2–1","7–2","6–1","1–1","2–0","2–1","5–0","1–4","","5–3","7–1","3–1"
"Southampton","1–2","1–1","6–1","0–2","1–2","3–3","1–1","5–3","0–2","5–1","2–2","5–2","1–0","1–3","2–2","1–1","2–3","2–3","4–4","","1–4","1–2"
"Swansea Town","3–0","1–1","1–1","3–2","2–0","2–1","2–2","1–1","3–3","3–0","3–2","1–1","1–1","4–2","2–1","5–1","2–2","0–0","1–2","1–2","","4–1"
"West Ham United","3–1","1–2","0–0","3–1","3–2","1–3","3–1","1–2","0–1","0–0","2–2","4–1","5–1","0–1","3–2","2–2","0–1","2–4","1–1","1–0","3–0",""
