"Home \ Away","ACC","BRW","BRA","BPA","CRL","CHE","CHF","CRE","DAR","GAT","GRI","HAL","HAR","MAN","OLD","PTV","ROC","SCU","SOU","STP","TRA","WRK","WRE","YOR"
"Accrington Stanley","","1–0","1–1","3–2","1–0","1–1","1–1","1–1","1–0","1–1","1–2","1–1","1–1","2–2","0–2","1–1","2–1","2–1","1–2","1–4","0–2","0–1","1–2","1–0"
"Barrow","2–0","","5–1","2–0","0–0","3–0","2–1","1–2","2–2","2–2","1–1","5–1","2–1","3–0","4–3","1–2","2–1","2–1","1–1","1–0","2–0","3–0","1–1","1–0"
"Bradford City","3–2","2–2","","2–1","7–2","2–2","2–1","1–3","4–3","3–1","1–0","5–0","1–1","2–1","0–0","1–0","0–3","0–0","2–2","3–0","5–3","4–0","3–1","1–1"
"Bradford Park Avenue","4–0","1–0","2–2","","2–2","1–0","0–1","1–0","3–0","3–0","0–3","1–2","1–1","1–1","0–0","2–2","2–1","1–1","1–0","1–1","1–0","6–1","1–2","2–3"
"Carlisle United","4–4","0–0","4–4","1–3","","1–1","3–0","1–2","4–2","2–2","3–0","1–2","4–1","1–0","0–0","2–0","5–0","8–0","2–0","2–1","4–0","3–1","1–0","1–1"
"Chester","2–0","2–1","2–0","0–3","1–2","","2–0","2–2","6–3","2–0","0–2","2–1","0–1","2–2","0–1","2–2","3–0","1–1","0–0","4–0","3–2","1–1","1–2","1–1"
"Chesterfield","3–0","1–1","1–1","1–1","4–2","2–1","","1–0","3–0","1–1","3–2","2–1","2–0","4–1","1–2","1–0","1–0","1–1","1–2","2–1","1–2","1–1","2–1","1–2"
"Crewe Alexandra","3–2","1–1","1–1","2–3","2–2","4–1","2–1","","0–1","4–3","1–2","1–1","2–0","1–0","0–1","1–4","4–2","2–0","2–0","2–0","1–0","4–0","3–3","3–0"
"Darlington","1–0","1–0","4–1","1–3","0–0","3–2","3–1","1–1","","1–0","1–1","0–2","3–0","2–1","0–5","0–2","3–2","1–0","3–1","1–0","1–2","1–0","2–2","0–1"
"Gateshead","5–0","3–1","2–2","3–2","2–0","4–1","2–4","6–1","5–1","","2–0","3–1","1–1","1–2","1–0","1–1","3–1","1–1","1–2","2–0","0–1","1–1","1–0","1–1"
"Grimsby Town","3–0","2–1","0–0","2–3","2–3","5–4","0–0","1–0","2–0","0–0","","2–0","7–0","5–1","1–1","1–1","3–2","1–0","1–0","0–1","3–1","2–0","2–0","2–1"
"Halifax Town","3–0","1–0","1–1","2–4","2–1","3–1","3–1","1–3","3–2","1–3","3–2","","3–2","1–2","2–2","1–2","3–1","2–1","4–1","3–0","0–0","5–2","0–0","0–0"
"Hartlepool","4–1","2–0","0–0","0–1","1–0","2–2","2–0","2–1","1–0","0–0","2–0","0–0","","2–0","4–1","2–0","2–1","1–1","3–0","0–2","4–1","2–2","1–2","2–1"
"Mansfield Town","0–0","2–2","3–1","1–1","2–1","2–2","1–4","3–0","3–2","2–0","1–1","2–1","2–0","","0–2","1–0","2–1","1–0","2–2","2–2","1–0","0–0","0–2","1–1"
"Oldham Athletic","3–0","3–0","2–0","2–1","2–4","2–1","1–1","0–1","5–0","1–1","1–1","1–0","4–2","1–0","","0–1","1–0","0–1","3–0","1–1","5–2","4–1","4–2","2–1"
"Port Vale","0–1","3–0","0–0","1–0","0–0","1–1","3–0","3–1","2–1","1–1","4–0","1–1","3–0","1–1","1–1","","5–2","4–0","0–0","2–0","2–0","2–0","0–0","2–0"
"Rochdale","1–0","6–2","2–1","1–0","1–2","3–1","0–2","0–1","3–1","2–3","0–2","1–1","3–1","1–0","3–1","1–1","","2–2","0–0","2–2","3–0","2–0","4–1","0–3"
"Scunthorpe & Lindsey United","5–2","1–2","4–0","1–2","1–2","1–1","1–0","2–0","2–0","0–0","0–1","1–1","0–0","0–1","1–1","1–2","5–1","","3–0","2–2","2–0","2–1","1–2","2–0"
"Southport","1–0","3–2","3–0","2–2","2–0","2–0","1–0","3–0","3–0","3–2","4–3","1–1","0–0","1–3","1–0","0–0","1–0","2–3","","3–0","1–2","2–0","1–0","3–1"
"Stockport County","3–1","6–1","6–1","2–0","3–0","4–1","4–1","2–4","2–2","3–1","2–2","1–1","1–1","2–2","1–1","0–2","2–0","1–1","3–0","","3–2","6–0","3–1","1–1"
"Tranmere","2–0","2–0","3–1","4–0","4–1","4–0","3–1","1–0","5–2","2–0","2–1","0–0","0–2","1–0","0–0","1–1","1–0","0–1","1–1","1–0","","3–0","4–2","1–3"
"Workington","3–0","3–1","3–2","2–2","1–1","1–2","2–3","4–0","3–1","0–2","3–1","2–0","1–1","0–1","1–1","1–1","1–2","0–3","2–4","0–2","2–0","","4–0","1–3"
"Wrexham","3–1","4–0","2–1","0–3","3–0","7–0","2–2","1–0","4–2","1–0","3–1","2–1","3–2","1–0","2–2","3–1","3–0","2–3","3–2","5–2","1–0","3–0","","1–1"
"York City","2–0","1–1","0–0","3–1","1–0","0–0","0–0","2–1","3–0","1–2","2–0","2–2","1–0","2–0","1–2","1–0","2–0","0–2","3–1","3–0","2–0","1–3","2–1",""
