"Home \ Away","ALD","B&BA","B&HA","BRI","BRR","COL","COV","CRY","EXE","GIL","IPS","LEY","MIL","NPC","NOR","NWC","QPR","REA","SHR","STD","SWI","TOR","WAL","WAT"
"Aldershot","","1–0","1–2","1–2","0–0","0–0","4–1","0–1","1–1","3–2","1–1","2–0","1–2","2–2","2–1","1–2","4–1","2–2","4–2","1–1","2–2","0–2","2–0","1–2"
"Bournemouth & Boscombe Athletic","0–3","","2–1","4–1","1–2","1–0","3–0","4–2","2–1","4–2","2–1","4–1","1–1","1–2","0–1","0–0","1–0","2–0","2–0","5–1","1–1","0–1","5–1","4–1"
"Brighton & Hove Albion","4–2","2–0","","0–1","2–1","0–0","1–1","4–1","4–2","5–0","1–4","3–1","1–0","2–2","1–1","2–3","2–0","1–1","3–1","2–2","1–2","2–1","4–2","1–2"
"Bristol City","0–0","1–1","2–2","","0–0","3–2","1–0","5–0","4–1","4–0","4–2","2–1","0–0","2–0","2–3","0–1","4–4","1–1","3–2","5–0","4–2","4–4","6–1","5–1"
"Bristol Rovers","4–1","2–1","7–0","0–0","","3–1","5–2","2–0","0–0","3–1","3–0","2–1","1–1","3–1","1–1","3–1","2–1","4–0","2–1","2–1","1–2","3–0","2–0","0–3"
"Colchester United","1–2","1–1","0–0","3–1","0–3","","0–1","3–0","3–1","1–1","0–0","3–1","0–0","3–3","1–2","0–4","1–1","2–1","1–0","3–3","3–1","4–1","6–1","1–1"
"Coventry City","3–0","2–3","3–1","2–2","1–1","2–2","","4–2","1–0","2–1","2–0","3–0","4–1","0–1","1–1","2–1","2–0","4–0","0–0","2–1","1–2","7–2","3–1","1–0"
"Crystal Palace","3–0","1–0","2–1","1–3","1–0","3–1","2–2","","2–0","0–0","1–1","2–2","0–1","2–1","4–3","1–1","4–2","0–3","1–2","0–0","3–0","2–2","4–1","1–0"
"Exeter City","2–2","5–1","1–5","1–1","0–0","2–0","1–0","2–0","","0–0","1–1","0–1","1–0","3–2","2–0","1–0","2–2","2–0","2–2","0–2","1–2","4–1","6–1","1–1"
"Gillingham","2–0","1–2","1–2","0–1","0–4","1–1","0–0","1–0","1–0","","1–1","3–2","0–1","1–1","1–1","0–3","3–0","2–1","4–2","1–1","0–0","2–1","3–1","2–1"
"Ipswich Town","2–1","2–1","1–0","1–0","1–5","2–2","3–0","2–0","0–1","1–1","","0–1","1–6","3–0","1–1","2–1","0–1","1–2","2–1","0–0","1–1","2–2","5–0","1–1"
"Leyton Orient","4–1","2–2","3–0","1–3","3–3","5–3","1–2","0–0","2–0","1–1","3–1","","1–4","2–1","0–1","3–1","5–0","1–1","0–0","3–0","2–2","4–1","4–1","2–0"
"Millwall","0–0","3–1","1–1","1–1","3–0","3–1","2–0","0–0","0–0","3–1","3–2","0–0","","3–0","1–2","2–3","2–1","1–0","4–1","4–1","3–0","3–0","3–0","1–1"
"Newport County","2–1","2–1","0–3","4–3","2–2","0–1","4–4","3–2","1–0","1–2","1–3","0–1","1–3","","4–1","1–1","2–0","1–0","4–2","0–1","3–0","3–0","3–2","1–1"
"Northampton Town","4–0","5–1","5–3","0–2","2–2","2–0","3–1","5–1","3–1","3–1","2–0","3–1","1–1","5–0","","3–3","4–2","6–1","3–1","4–3","3–1","3–3","2–1","4–1"
"Norwich City","5–0","1–1","3–2","0–0","0–0","3–0","1–1","5–1","2–0","3–2","1–0","5–1","2–2","2–0","1–2","","2–0","3–0","2–1","3–1","1–1","3–0","3–0","5–2"
"Queens Park Rangers","2–2","2–1","3–3","2–1","0–1","1–0","0–4","1–1","1–1","1–1","2–2","0–1","1–3","4–2","2–2","3–1","","1–0","1–0","3–2","1–1","0–1","4–2","2–2"
"Reading","2–3","1–3","0–0","4–0","2–0","2–0","1–0","4–1","3–1","3–2","1–1","2–0","5–0","2–1","2–0","0–1","2–0","","5–3","1–0","4–1","4–1","0–0","3–0"
"Shrewsbury Town","2–1","1–0","0–0","0–1","0–1","3–0","1–0","1–1","1–3","3–1","2–2","2–0","2–4","1–1","2–4","1–8","0–3","1–1","","7–1","2–1","2–1","1–0","3–1"
"Southend","1–1","0–0","1–2","0–4","2–1","4–0","1–0","2–2","1–1","3–1","2–0","1–0","2–1","1–0","3–1","1–2","2–0","3–1","2–2","","3–0","3–1","2–1","1–0"
"Swindon Town","3–2","1–2","3–0","0–0","1–3","0–1","2–3","3–6","5–2","0–0","2–0","1–1","1–2","2–0","3–0","2–1","1–3","2–0","2–2","1–3","","2–0","1–2","0–0"
"Torquay United","1–2","5–1","1–2","1–2","1–0","5–1","2–1","1–1","5–2","3–2","4–1","5–0","1–0","3–3","3–0","4–1","1–1","2–0","4–0","4–2","3–1","","0–3","2–2"
"Walsall","0–0","2–2","3–0","3–3","3–5","0–3","1–1","2–4","2–2","1–3","1–3","1–0","0–2","1–3","1–5","3–2","1–1","2–0","4–4","1–1","1–2","2–0","","0–0"
"Watford","1–1","3–0","2–3","4–1","2–3","2–0","1–1","2–0","3–1","0–0","1–0","1–0","1–1","0–1","2–1","3–2","1–1","2–1","1–1","1–1","2–1","1–1","3–0",""
