"Home \ Away","ARS","AST","BLP","BOL","BUR","CAR","CHA","CHE","HUD","LIV","MCI","MUN","MID","NEW","POR","PNE","SHU","SHW","SUN","TOT","WBA","WOL"
"Arsenal","","1–1","1–1","4–3","2–5","1–1","3–3","1–2","0–0","3–0","2–2","3–1","3–1","2–1","3–0","3–2","1–1","4–1","1–4","0–3","2–2","2–3"
"Aston Villa","2–1","","2–1","2–2","5–1","1–2","2–1","2–2","2–2","2–1","3–0","2–2","5–3","1–2","1–1","1–0","4–0","2–1","3–1","1–2","6–1","1–2"
"Blackpool","2–2","3–2","","0–0","2–0","4–1","3–1","2–1","3–1","3–0","2–0","2–0","0–0","1–3","1–1","4–2","2–2","1–2","3–0","1–0","4–1","0–0"
"Bolton Wanderers","3–1","3–0","3–2","","0–0","3–0","3–1","2–2","0–0","2–0","3–2","0–0","3–2","2–2","6–1","0–2","2–1","2–1","3–1","2–0","2–1","1–1"
"Burnley","2–1","3–2","2–1","1–1","","3–0","2–0","1–2","2–1","1–1","3–1","2–0","5–0","1–2","1–0","2–1","2–1","4–1","5–1","4–2","1–4","4–1"
"Cardiff City","0–3","2–1","0–1","1–1","1–0","","5–0","0–0","2–1","3–1","0–3","1–6","1–0","2–1","3–2","2–1","2–0","2–2","1–1","1–0","2–0","1–3"
"Charlton Athletic","1–5","1–1","4–2","1–0","3–1","3–2","","1–1","2–1","6–0","2–1","1–0","8–1","0–0","3–1","2–1","3–0","4–2","5–3","0–1","1–1","0–2"
"Chelsea","0–2","1–2","5–1","2–0","2–1","2–0","3–1","","2–2","5–2","0–1","3–1","1–1","1–2","4–3","1–0","1–2","0–1","2–2","1–0","5–0","4–2"
"Huddersfield Town","2–2","4–0","0–0","2–1","3–1","2–0","4–1","3–1","","2–0","1–1","0–0","2–1","3–2","5–1","2–2","2–2","2–0","2–1","2–5","0–2","2–1"
"Liverpool","1–2","6–1","5–2","1–2","4–0","0–1","2–3","1–1","1–3","","2–2","4–4","4–1","2–2","3–1","1–5","3–0","2–2","4–3","2–2","0–0","1–1"
"Manchester City","0–0","0–1","1–4","3–0","3–2","1–1","3–0","1–1","0–1","0–2","","2–0","5–2","0–0","2–1","1–4","2–1","3–2","2–1","4–1","2–3","0–4"
"Manchester United","2–2","1–0","4–1","1–5","1–2","2–3","2–0","1–1","3–1","5–1","1–1","","2–2","1–1","2–0","1–0","2–2","5–2","1–0","2–0","1–3","1–0"
"Middlesbrough","2–0","2–1","0–1","3–2","1–3","0–0","0–2","3–3","0–3","0–1","0–1","1–4","","2–3","2–2","0–4","2–0","4–1","0–0","3–0","1–1","3–3"
"Newcastle United","5–2","0–1","2–1","2–3","3–1","4–0","0–2","1–1","0–2","4–0","4–3","1–2","2–3","","1–1","0–4","4–1","3–0","2–1","1–3","3–7","1–2"
"Portsmouth","1–1","2–1","4–4","3–2","3–2","1–1","3–1","3–2","5–2","5–1","4–1","1–1","0–2","2–0","","1–3","3–4","2–1","4–1","1–1","3–0","2–0"
"Preston North End","0–1","1–1","2–3","3–1","2–1","1–2","2–0","1–0","1–2","2–1","4–0","1–3","1–0","2–2","4–0","","2–1","6–0","6–2","2–1","0–2","0–1"
"Sheffield United","1–0","2–1","3–4","3–0","2–1","0–1","1–1","1–3","3–6","3–1","2–2","1–3","2–2","3–1","3–1","1–1","","2–0","1–3","5–2","1–2","3–3"
"Sheffield Wednesday","2–1","3–1","1–2","2–1","2–0","2–1","1–2","2–0","1–4","1–1","2–0","0–1","4–2","3–0","4–4","4–2","3–2","","2–2","2–1","2–3","0–0"
"Sunderland","7–1","2–0","3–2","1–2","2–1","5–0","2–1","1–2","1–1","3–2","4–5","0–2","0–2","1–1","3–1","2–2","2–2","2–4","","4–3","2–1","3–2"
"Tottenham Hotspur","1–4","1–0","2–2","3–2","2–3","0–1","3–1","2–1","1–0","2–1","3–0","1–1","4–1","3–0","1–1","2–6","2–1","3–1","0–3","","0–1","2–3"
"West Bromwich Albion","2–0","1–1","2–1","1–1","0–0","6–1","2–3","5–2","4–0","5–2","1–0","2–0","2–1","2–2","2–3","3–2","2–2","4–2","2–0","3–0","","0–1"
"Wolverhampton Wanderers","0–2","1–2","4–1","1–1","1–2","3–1","5–0","8–1","4–0","2–1","3–1","3–1","2–4","3–2","4–3","1–0","6–1","4–1","3–1","2–0","1–0",""
