"Home \ Away","ACC","BAR","BRW","BRA","BPA","CRL","CHE","CHF","CRE","DAR","GAT","GRI","HAL","HAR","MAN","PTV","ROC","SCU","SOU","STP","TRA","WRK","WRE","YOR"
"Accrington Stanley","","3–0","3–2","0–1","0–0","2–2","1–0","2–2","2–1","0–0","2–2","3–1","3–0","2–0","5–1","2–2","1–0","0–1","1–1","2–1","0–1","4–2","1–2","2–0"
"Barnsley","5–0","","3–2","4–2","2–1","1–1","3–0","4–1","1–1","5–1","0–2","0–0","1–2","3–2","2–1","0–1","2–1","0–1","2–1","4–1","3–0","4–2","3–0","2–1"
"Barrow","4–3","0–1","","3–0","4–1","1–1","2–1","2–2","3–1","2–2","0–0","4–0","1–1","1–1","4–2","0–0","4–2","1–2","2–3","1–0","2–1","0–1","1–0","4–1"
"Bradford City","1–0","1–0","1–0","","3–0","1–0","1–0","2–0","3–0","2–0","2–2","3–0","2–0","1–1","2–2","1–1","4–0","1–3","4–1","1–1","1–0","1–1","1–2","1–0"
"Bradford Park Avenue","6–4","0–2","2–1","4–0","","2–4","5–0","1–1","1–1","2–2","3–1","4–1","4–2","5–0","1–0","1–2","2–2","2–2","1–1","3–2","1–2","3–1","2–0","2–0"
"Carlisle United","2–1","2–4","2–2","2–0","0–1","","1–1","2–3","5–0","1–1","1–0","3–3","5–0","2–3","5–0","0–0","7–0","5–1","3–2","2–0","0–2","2–2","0–0","1–1"
"Chester","3–0","1–1","1–1","3–0","2–3","0–1","","2–2","2–0","2–2","5–0","1–1","3–1","1–1","0–2","0–1","2–0","0–0","1–0","1–2","1–2","3–0","2–1","3–1"
"Chesterfield","0–0","1–1","1–1","2–3","5–1","5–0","4–0","","0–2","1–1","1–1","1–0","1–2","2–1","0–0","1–2","2–1","1–0","2–0","4–0","2–1","1–0","1–0","3–2"
"Crewe Alexandra","0–3","3–2","2–0","1–2","1–1","0–0","1–0","2–0","","1–0","3–1","1–1","3–1","3–0","0–0","0–0","2–1","1–1","0–0","1–5","1–2","2–3","1–2","1–1"
"Darlington","4–1","1–1","1–3","1–0","2–1","3–2","1–0","3–2","0–1","","0–2","3–0","1–1","0–1","1–2","0–3","0–0","3–0","0–1","1–0","2–1","3–0","0–2","1–3"
"Gateshead","4–0","0–0","1–0","1–0","0–1","2–2","2–1","3–3","2–0","1–2","","7–1","4–0","1–3","1–3","1–0","2–1","0–0","1–0","4–2","2–1","4–1","3–1","3–0"
"Grimsby Town","2–0","0–1","1–0","1–0","0–0","3–2","0–0","1–1","3–1","1–0","2–0","","2–1","3–0","0–2","2–2","3–2","0–1","1–2","1–0","1–0","1–0","0–0","3–0"
"Halifax Town","2–0","1–2","2–0","0–1","2–2","2–0","1–1","2–1","1–0","0–0","0–0","2–0","","1–0","2–0","0–1","1–1","0–3","1–2","0–1","1–1","3–0","0–2","2–3"
"Hartlepool","0–1","0–1","2–2","1–1","0–2","1–1","2–0","0–1","0–0","1–0","1–0","3–0","2–0","","3–1","2–1","6–0","3–2","1–1","6–0","1–2","2–2","1–1","2–2"
"Mansfield Town","1–1","2–0","2–3","0–0","1–1","2–1","2–1","2–2","6–0","6–0","1–1","5–1","3–1","1–0","","1–2","2–0","2–1","4–2","3–1","2–0","0–2","4–0","7–2"
"Port Vale","1–0","0–0","4–0","3–0","2–0","1–0","1–0","2–2","1–0","1–1","0–0","2–0","2–0","3–1","1–1","","6–0","0–0","0–0","7–0","2–0","2–0","2–0","5–0"
"Rochdale","1–0","1–1","1–0","3–2","0–1","2–1","4–0","0–1","4–1","3–0","0–1","4–1","0–1","2–2","1–0","0–0","","1–1","2–0","0–0","0–1","4–2","6–2","1–2"
"Scunthorpe & Lindsey United","1–2","6–0","3–2","2–1","4–1","2–1","1–0","2–1","2–2","1–1","1–1","2–1","3–2","0–0","2–2","0–2","1–1","","1–1","2–0","3–1","4–1","3–1","3–0"
"Southport","5–3","5–2","0–1","0–1","1–0","3–0","0–1","2–1","1–2","3–0","2–4","2–1","1–0","2–1","2–1","0–0","1–1","4–3","","1–2","0–0","1–1","4–0","1–1"
"Stockport County","1–1","3–0","5–1","5–0","4–1","3–2","5–0","6–1","1–0","2–0","0–1","3–2","1–1","1–0","3–2","1–1","1–2","1–1","1–1","","6–0","2–0","2–2","0–1"
"Tranmere","1–0","0–1","1–0","0–1","1–1","1–2","2–1","1–2","1–0","1–0","1–4","2–4","1–0","3–2","2–5","1–3","5–1","1–1","2–0","2–2","","4–2","6–1","1–1"
"Workington","3–1","2–0","1–1","2–2","1–1","2–2","2–0","2–1","1–2","1–1","2–0","2–0","3–1","0–0","1–1","2–0","0–1","1–3","0–1","0–0","2–1","","1–1","5–2"
"Wrexham","4–2","1–1","1–2","0–1","2–0","4–2","2–1","1–2","1–1","4–2","5–1","4–0","5–0","2–0","2–0","1–1","2–0","3–1","2–1","1–0","3–0","8–0","","1–1"
"York City","1–2","0–2","5–2","3–2","0–0","1–3","2–1","1–3","0–3","3–3","1–1","1–2","1–1","5–0","5–1","0–1","1–2","2–0","2–1","0–0","0–0","0–0","5–2",""
