"Home \ Away","ALD","B&BA","B&HA","BRI","COL","COV","CRY","EXE","GIL","IPS","LEY","MIL","NPC","NOR","NWC","QPR","REA","SHR","SOU","STD","SWI","TOR","WAL","WAT"
"Aldershot","","1–2","2–3","2–5","3–0","4–2","1–2","1–2","1–2","3–0","1–1","1–1","2–0","3–1","0–0","1–4","2–2","1–0","1–1","4–0","1–0","4–1","3–1","3–1"
"Bournemouth & Boscombe Athletic","1–1","","1–1","5–2","4–2","1–0","2–0","4–1","4–1","2–3","1–2","4–1","1–1","2–1","2–0","0–1","1–1","2–1","3–1","0–1","4–0","1–2","1–1","1–3"
"Brighton & Hove Albion","3–2","3–0","","2–1","1–0","3–1","3–0","2–1","3–1","1–2","2–1","4–0","4–2","3–2","0–0","3–1","3–2","2–3","2–1","3–2","1–1","1–2","5–3","3–3"
"Bristol City","4–0","1–1","1–1","","3–0","1–0","4–0","5–1","1–1","2–3","1–0","2–1","3–0","2–1","3–1","1–2","3–1","3–1","1–0","4–1","5–1","3–0","4–1","2–1"
"Colchester United","3–0","1–1","1–1","0–2","","0–3","4–1","0–1","0–1","1–2","1–0","3–0","2–2","1–1","0–1","5–0","2–4","3–1","0–1","0–1","2–2","3–1","1–1","2–2"
"Coventry City","2–1","2–0","1–2","3–0","2–1","","0–0","2–0","2–1","1–3","4–0","0–0","1–2","0–0","1–0","3–1","1–1","2–1","2–1","1–0","0–0","4–0","2–0","0–1"
"Crystal Palace","0–0","3–1","1–1","1–2","0–1","3–1","","0–0","1–2","1–1","2–2","2–3","3–0","2–2","1–0","0–3","1–0","3–2","4–3","4–2","3–2","4–1","1–0","1–1"
"Exeter City","1–3","1–0","0–1","0–1","1–2","4–0","7–0","","1–2","1–2","2–1","4–1","1–0","1–0","0–2","0–0","2–0","0–1","4–0","1–1","3–1","1–2","2–1","2–1"
"Gillingham","1–3","1–0","0–0","2–2","2–0","2–0","3–2","0–1","","1–1","1–2","2–0","0–1","2–1","3–1","1–0","3–0","2–0","2–0","3–1","1–0","0–4","3–0","2–3"
"Ipswich Town","4–0","2–1","2–3","2–1","3–0","4–1","2–0","1–1","6–1","","3–1","1–1","1–2","2–1","1–1","2–1","0–1","0–0","2–1","1–1","2–0","2–1","3–0","1–0"
"Leyton Orient","1–2","5–0","0–2","4–1","3–1","1–0","2–0","3–1","3–1","1–2","","2–2","3–0","2–0","3–1","2–2","2–1","2–0","1–4","1–1","1–1","3–2","2–1","1–1"
"Millwall","2–0","2–1","0–2","1–0","0–0","1–2","2–2","2–1","3–1","1–2","0–3","","3–1","1–0","1–3","4–0","2–0","3–1","2–1","2–1","6–1","2–2","3–0","1–0"
"Newport County","2–2","4–0","1–0","3–2","1–1","2–1","1–3","0–3","1–0","1–2","1–1","0–0","","2–0","4–1","2–1","4–1","2–1","0–4","3–2","2–0","2–0","4–2","0–1"
"Northampton Town","6–2","2–1","4–2","3–0","3–0","0–1","6–0","2–2","1–1","1–0","2–2","4–2","1–0","","2–0","2–1","1–1","1–0","3–0","5–0","2–0","3–1","5–1","4–1"
"Norwich City","3–3","1–3","1–0","1–1","2–1","2–1","2–1","1–2","0–0","1–2","3–1","4–3","2–0","4–1","","2–2","2–3","1–0","1–0","1–0","2–2","0–1","3–0","4–1"
"Queens Park Rangers","0–2","2–1","1–2","0–1","0–0","0–3","1–1","0–0","3–1","3–1","2–1","4–0","5–1","1–1","0–2","","2–0","0–0","0–1","1–0","0–2","5–1","2–0","0–4"
"Reading","6–1","0–1","2–1","0–2","2–0","4–3","4–1","4–1","0–1","3–1","1–1","2–4","4–1","2–0","4–4","3–1","","1–1","4–1","2–0","3–1","2–4","0–2","4–1"
"Shrewsbury Town","0–2","1–1","3–1","4–3","3–1","1–1","1–1","1–1","0–0","1–1","3–3","3–1","2–1","2–4","4–0","1–1","0–3","","3–2","2–1","1–0","2–1","4–1","6–4"
"Southampton","2–0","2–1","1–0","4–2","2–1","2–1","3–1","2–0","1–0","1–1","4–1","4–2","4–0","1–0","0–0","3–1","1–1","4–2","","3–5","3–1","2–2","0–0","2–0"
"Southend","2–1","2–1","2–0","0–1","3–0","2–2","1–2","0–1","1–1","3–1","2–1","1–2","0–1","2–0","5–2","4–1","1–2","3–0","2–1","","3–1","1–0","3–1","3–0"
"Swindon Town","3–1","2–1","0–1","5–0","3–0","1–1","1–1","2–4","2–1","1–2","2–1","2–1","7–1","0–0","0–0","0–1","1–0","2–1","0–1","3–0","","6–1","3–0","2–2"
"Torquay United","3–0","2–0","2–3","4–0","3–1","1–1","1–0","3–2","3–3","1–1","2–3","2–2","3–2","1–1","2–4","2–2","2–2","2–0","1–1","1–1","2–1","","3–1","2–2"
"Walsall","0–2","1–0","3–1","0–0","2–3","1–0","1–0","1–1","1–1","0–2","4–2","0–2","0–1","0–1","1–4","2–0","1–3","0–0","1–0","2–0","0–1","1–3","","0–0"
"Watford","6–1","2–3","1–1","2–0","3–0","1–0","4–1","0–2","6–1","1–0","3–1","2–1","1–0","1–1","1–3","0–2","3–0","3–1","2–0","2–2","2–1","3–1","3–1",""
