"Home \ Away","ARS","AST","BLP","BOL","BUR","CAR","CHA","CHE","EVE","HUD","LEI","MCI","MUN","NEW","POR","PNE","SHU","SHW","SUN","TOT","WBA","WOL"
"Arsenal","","2–0","3–0","3–0","4–0","2–0","3–1","1–0","2–0","3–5","1–1","2–3","2–3","1–3","0–1","2–0","4–0","3–2","1–3","2–0","2–2","1–1"
"Aston Villa","2–1","","3–1","3–0","3–1","0–2","1–2","3–2","0–2","0–0","2–5","2–0","2–1","1–2","1–0","1–3","3–1","0–0","2–2","2–4","3–0","4–2"
"Blackpool","2–2","0–1","","2–3","1–0","0–0","1–1","1–0","4–0","1–1","2–0","1–3","2–4","2–0","2–2","1–2","1–2","2–1","0–0","5–1","3–1","0–2"
"Bolton Wanderers","2–2","3–3","3–0","","0–1","0–0","3–2","2–5","2–0","1–0","4–1","2–2","1–1","2–1","3–1","2–1","1–0","2–2","3–0","1–2","2–4","6–1"
"Burnley","3–0","2–0","0–1","2–0","","1–0","3–0","1–1","0–2","1–1","3–1","2–0","2–4","0–1","1–0","2–2","2–1","2–0","0–1","1–2","0–2","1–0"
"Cardiff City","1–2","0–1","1–2","2–2","0–3","","4–3","0–1","4–3","1–1","2–1","3–0","3–0","4–2","1–1","2–5","1–1","5–3","0–1","1–2","3–2","3–2"
"Charlton Athletic","1–1","6–1","3–3","2–0","3–1","4–1","","0–2","5–0","2–1","2–3","1–1","1–1","1–1","2–2","0–4","3–1","3–0","1–3","1–2","1–3","1–3"
"Chelsea","1–1","4–0","0–0","3–2","1–0","1–1","1–2","","0–2","4–1","3–1","0–2","5–6","4–3","4–1","0–1","1–1","3–0","2–1","2–1","3–3","1–0"
"Everton","1–0","0–1","0–1","0–0","1–1","1–1","2–2","1–1","","4–0","2–2","1–0","4–2","1–2","2–3","1–0","2–3","3–1","1–0","1–0","1–2","3–2"
"Huddersfield Town","0–1","1–2","1–3","2–0","0–1","2–0","0–0","1–0","2–1","","3–1","0–0","1–3","2–0","2–1","0–4","1–2","3–0","1–1","1–0","3–3","2–0"
"Leicester City","3–3","4–2","2–2","4–0","2–2","2–1","0–1","1–1","2–2","1–3","","0–2","1–0","3–2","4–0","0–1","0–1","4–3","1–1","2–0","6–3","1–2"
"Manchester City","2–1","2–4","1–6","4–2","0–0","4–1","1–5","1–1","1–0","2–4","2–2","","3–2","3–1","1–2","3–1","5–2","2–2","1–0","0–0","4–0","3–0"
"Manchester United","2–1","0–1","4–1","1–1","1–0","5–2","3–1","2–1","1–2","1–1","3–1","0–5","","2–2","1–3","2–1","5–0","2–0","2–2","2–1","3–0","2–4"
"Newcastle United","5–1","5–3","1–1","0–0","2–1","3–0","3–1","1–3","4–0","2–2","2–0","2–0","2–0","","2–1","3–3","1–2","5–0","1–2","4–4","3–0","2–3"
"Portsmouth","2–1","2–2","3–0","1–0","0–2","1–3","2–0","0–0","5–0","4–2","2–1","1–0","0–0","3–1","","2–0","6–2","2–1","2–2","0–3","6–1","0–0"
"Preston North End","3–1","0–3","3–1","2–2","0–1","7–1","1–2","1–2","0–0","2–3","2–4","5–0","0–2","3–3","1–1","","1–2","6–0","3–1","1–0","3–1","3–3"
"Sheffield United","1–1","1–3","2–1","2–0","1–0","1–3","5–0","1–2","2–5","2–2","1–1","0–2","3–0","6–2","5–2","0–5","","1–0","1–0","4–1","1–2","1–2"
"Sheffield Wednesday","1–2","6–3","2–1","3–2","1–1","1–1","2–2","1–1","2–2","4–1","1–0","2–4","2–4","0–3","1–3","2–0","1–2","","1–2","2–2","5–0","2–2"
"Sunderland","0–1","0–0","2–0","1–1","2–2","1–1","1–2","3–3","3–0","1–1","1–1","3–2","4–3","4–2","2–2","2–1","2–2","2–0","","1–1","4–2","0–0"
"Tottenham Hotspur","0–1","1–1","3–2","2–0","0–3","0–2","1–4","2–4","1–3","1–1","5–1","2–2","0–2","2–1","1–1","3–1","5–0","7–2","0–1","","3–1","3–2"
"West Bromwich Albion","3–1","2–3","0–1","0–0","2–2","1–0","2–1","2–4","3–3","2–1","6–4","2–1","2–0","4–2","3–1","2–0","3–3","1–2","2–2","1–2","","1–0"
"Wolverhampton Wanderers","3–1","1–0","1–0","1–2","5–0","1–1","2–1","3–4","1–3","6–4","5–0","2–2","4–2","2–2","2–2","1–1","4–1","4–2","2–0","4–2","4–0",""
