"Home \ Away","BIR","BLB","BRR","BRY","DER","DON","FUL","HUL","IPS","LEE","LIN","LIV","LUT","MID","NOT","NTC","PLY","PTV","ROT","STK","SWA","WHU"
"Birmingham","","3–1","2–1","1–3","1–1","4–1","3–2","0–0","4–0","2–0","3–3","9–1","2–1","3–0","0–1","1–1","3–1","7–2","3–1","2–0","2–0","1–2"
"Blackburn Rovers","3–3","","8–3","1–1","5–2","7–2","3–1","4–0","4–1","1–2","1–0","4–3","0–0","9–0","0–1","4–5","2–2","2–1","4–1","2–0","4–1","5–2"
"Bristol Rovers","1–1","2–1","","2–1","4–1","1–0","4–1","1–0","4–0","5–1","2–2","3–0","3–2","2–2","2–1","1–4","3–1","1–0","1–0","1–1","7–0","2–4"
"Bury","0–1","2–1","3–1","","2–2","1–4","1–3","4–1","2–1","5–3","3–1","3–4","2–1","0–1","1–1","1–2","3–1","2–2","2–2","1–1","2–1","4–1"
"Derby County","0–0","0–3","1–1","2–3","","5–0","3–4","3–0","2–0","2–4","3–0","3–2","0–0","1–2","1–2","1–1","2–2","6–1","2–3","1–2","1–4","0–0"
"Doncaster Rovers","1–5","1–3","2–2","1–0","2–0","","4–0","2–2","1–1","0–1","1–1","4–1","0–3","3–1","0–3","4–2","3–2","1–0","0–4","1–1","2–1","2–1"
"Fulham","2–1","5–1","2–3","0–0","2–0","5–2","","0–1","4–1","1–3","3–2","1–2","3–1","1–2","1–1","3–1","2–3","3–1","1–1","2–2","5–1","0–0"
"Hull City","0–3","1–4","0–1","1–0","1–1","1–1","0–0","","4–2","0–2","4–0","2–2","0–4","1–0","2–3","5–2","0–2","2–1","1–2","1–1","4–3","0–1"
"Ipswich Town","1–2","1–1","1–0","2–3","2–1","5–1","2–4","2–0","","1–2","1–2","2–0","3–1","6–1","2–1","0–1","2–1","1–0","2–2","0–1","1–1","0–3"
"Leeds United","1–0","2–0","2–0","1–0","1–0","1–0","1–1","3–0","4–1","","2–3","2–2","4–0","1–1","1–1","2–0","3–2","3–0","2–4","0–1","5–2","2–1"
"Lincoln City","1–1","2–1","0–2","3–2","3–0","5–1","2–2","0–1","1–1","2–0","","3–3","1–2","3–3","2–1","1–2","3–2","0–1","2–3","1–4","2–2","2–1"
"Liverpool","2–2","4–1","5–3","1–1","2–0","3–2","4–1","2–1","6–2","2–2","2–4","","4–4","3–1","1–0","3–1","3–3","1–1","3–1","2–4","1–1","1–2"
"Luton Town","1–0","7–3","2–0","3–2","2–0","3–0","3–0","1–1","3–2","0–0","2–1","3–2","","2–0","3–0","3–1","3–1","4–2","4–0","3–1","1–2","2–0"
"Middlesbrough","2–5","4–3","1–0","1–1","3–1","3–1","4–2","1–2","0–1","1–0","2–1","1–2","0–2","","1–4","2–0","4–1","2–0","5–1","1–2","4–2","6–0"
"Nottingham Forest","0–2","1–2","1–0","2–3","3–0","3–1","2–0","0–1","2–0","1–1","1–1","3–1","1–5","4–2","","0–1","2–0","2–3","0–2","0–3","0–0","1–1"
"Notts County","3–2","3–1","2–0","2–1","2–3","4–0","0–0","3–1","2–1","1–2","2–1","0–3","3–3","1–3","4–1","","2–0","1–1","3–2","1–0","2–1","5–1"
"Plymouth Argyle","1–0","0–2","0–1","2–4","1–0","1–2","3–2","1–2","2–0","3–1","1–0","1–0","2–1","2–2","1–2","1–3","","0–0","2–1","2–0","2–2","1–1"
"Port Vale","2–0","0–3","1–0","1–0","3–0","1–1","4–0","3–0","3–3","0–1","1–3","4–3","1–1","1–1","1–2","1–1","1–0","","1–0","0–1","1–0","1–1"
"Rotherham United","0–2","5–1","6–2","4–2","2–1","2–3","2–3","2–0","3–2","3–0","3–0","6–1","2–0","3–0","3–2","2–0","2–0","3–0","","2–1","2–0","2–2"
"Stoke City","2–1","1–1","2–0","3–2","3–1","3–0","1–1","0–0","3–0","0–1","4–2","2–0","0–0","1–2","2–0","3–0","3–1","0–0","1–2","","4–1","0–2"
"Swansea Town","0–3","2–3","1–1","1–1","3–0","3–0","2–2","1–0","6–1","2–0","3–1","3–2","2–1","2–0","3–2","3–0","4–2","7–1","2–1","3–5","","5–2"
"West Ham United","2–2","2–5","5–2","3–3","1–0","0–1","2–1","1–1","4–0","2–1","0–1","0–3","2–1","2–1","2–0","3–0","6–1","2–0","1–2","3–0","3–3",""
