"Home \ Away","ACC","BAR","BRW","BRA","BPA","CRL","CHE","CHF","CRE","DAR","GAT","GRI","HAL","HAR","MAN","OLD","ROC","SCU","SOU","STP","TRA","WRK","WRE","YOR"
"Accrington Stanley","","2–3","6–3","1–0","4–3","3–2","3–0","4–1","1–0","3–0","6–2","3–0","3–1","2–5","3–2","4–0","5–4","2–1","1–1","0–1","3–1","2–0","2–0","2–2"
"Barnsley","1–2","","3–0","1–0","2–1","3–1","4–2","3–0","3–1","4–1","3–0","1–3","3–0","0–0","1–0","2–2","2–0","1–0","0–0","2–0","4–1","3–1","4–2","1–0"
"Barrow","1–2","3–1","","3–2","3–1","2–1","2–0","2–0","0–3","1–1","0–1","2–0","1–3","0–2","2–2","3–1","4–2","1–3","2–1","2–0","1–0","2–2","1–1","1–5"
"Bradford City","0–3","0–2","2–1","","1–1","2–0","0–0","1–1","2–0","3–0","1–1","4–0","2–0","0–1","1–0","0–1","1–0","2–4","0–1","2–3","2–1","0–1","2–2","2–3"
"Bradford Park Avenue","3–2","1–0","3–0","2–0","","0–2","3–0","1–3","2–1","1–1","2–2","2–1","0–1","1–0","0–0","0–2","1–1","0–0","1–0","2–1","0–0","3–1","0–0","1–3"
"Carlisle United","1–0","2–4","4–0","1–0","3–2","","1–2","1–2","4–0","0–1","1–2","3–1","4–0","3–2","1–2","5–2","7–2","1–2","2–1","3–3","1–2","0–4","1–0","4–5"
"Chester","1–1","0–2","3–1","1–0","2–0","1–2","","1–0","3–1","0–2","1–2","1–0","1–3","1–0","1–0","0–0","1–2","2–4","0–0","1–0","0–1","0–2","1–0","1–2"
"Chesterfield","6–1","3–1","4–1","2–1","1–3","2–1","5–3","","0–0","2–0","1–3","1–0","2–1","3–0","4–1","1–3","3–1","2–0","2–1","3–7","2–1","2–0","3–1","0–3"
"Crewe Alexandra","0–3","1–2","5–1","1–0","2–1","4–1","1–3","2–2","","2–2","1–1","2–0","0–0","1–1","2–1","4–1","2–2","1–1","2–3","4–4","3–0","1–1","2–2","2–3"
"Darlington","3–3","0–1","3–2","4–0","3–0","1–1","4–1","0–2","2–1","","5–1","1–3","1–0","0–1","3–1","0–2","2–2","1–1","2–0","0–0","2–2","1–2","2–2","1–0"
"Gateshead","1–1","0–4","3–1","2–1","3–2","0–0","0–0","1–3","1–0","1–1","","1–0","4–0","3–0","4–0","2–2","0–1","0–1","1–0","4–4","3–1","3–2","0–1","1–1"
"Grimsby Town","2–1","1–3","1–0","1–4","1–0","2–0","3–1","1–2","2–1","0–2","1–1","","0–1","1–0","3–2","1–1","1–1","1–4","0–1","1–0","2–2","0–1","1–3","2–1"
"Halifax Town","1–1","1–1","1–2","0–0","0–0","5–3","3–1","2–0","3–3","4–1","4–0","3–2","","1–0","1–2","0–0","1–2","3–1","0–1","1–2","0–0","2–2","2–0","3–3"
"Hartlepool","1–3","0–3","0–0","0–0","0–1","1–0","3–1","2–0","2–1","1–0","0–0","3–2","1–0","","1–2","2–0","3–1","4–2","2–1","2–1","4–0","3–2","3–0","1–0"
"Mansfield Town","2–2","1–1","0–5","1–0","2–1","1–1","2–1","2–0","4–2","3–1","0–1","3–0","2–1","0–2","","1–3","3–2","2–1","3–0","0–0","3–1","2–0","2–1","1–2"
"Oldham Athletic","0–1","4–1","3–2","1–1","5–0","2–1","2–1","4–1","4–0","3–1","1–2","4–0","1–2","0–1","1–1","","0–0","1–1","1–0","1–1","2–1","2–1","2–1","3–2"
"Rochdale","0–0","3–0","4–1","1–2","3–2","1–2","2–0","0–0","1–1","2–2","4–0","0–3","2–2","2–1","2–0","2–1","","2–0","0–0","1–0","2–0","2–1","2–1","1–1"
"Scunthorpe & Lindsey United","4–0","1–0","3–0","1–0","1–1","1–1","1–1","2–1","3–1","1–0","0–2","1–0","2–2","5–1","2–0","6–1","2–2","","2–0","3–0","1–2","1–1","1–0","1–2"
"Southport","1–1","0–2","2–1","1–0","1–0","4–1","1–1","0–0","1–0","0–0","1–2","2–2","4–0","1–0","1–0","1–0","1–0","1–1","","1–1","0–0","1–2","1–2","2–2"
"Stockport County","0–0","1–0","1–2","1–1","6–0","5–2","3–0","3–2","6–1","3–0","2–1","0–0","2–1","0–2","2–2","3–2","1–4","4–2","0–2","","2–0","0–1","4–0","1–2"
"Tranmere","3–1","0–1","0–4","2–0","3–3","6–1","1–1","0–0","1–2","0–1","1–2","2–0","1–2","3–1","2–1","2–1","3–1","1–2","2–2","1–1","","1–1","1–2","1–0"
"Workington","0–1","1–0","0–0","1–1","1–3","1–0","1–1","2–3","3–3","6–1","4–0","2–2","1–0","0–1","2–2","3–0","1–0","1–1","0–1","4–1","1–0","","2–1","2–1"
"Wrexham","3–1","3–0","3–0","1–3","1–0","1–1","2–1","0–2","5–0","2–2","2–0","5–0","1–1","1–4","1–3","2–1","0–0","0–1","2–2","1–4","1–2","1–1","","2–6"
"York City","1–1","1–3","1–4","0–1","1–2","2–1","5–0","3–2","3–1","3–1","2–1","0–0","2–1","1–0","3–1","2–1","2–0","2–3","1–1","4–0","1–0","0–0","3–3",""
