"Home \ Away","ALD","B&BA","BRE","B&HA","BRI","COL","COV","CRY","EXE","GIL","LEY","MIL","NPC","NOR","NWC","QPR","REA","SHR","SOU","STD","SWI","TOR","WAL","WAT"
"Aldershot","","1–1","2–3","2–2","0–2","2–2","1–1","3–0","4–2","0–2","0–1","3–0","0–0","3–4","4–1","2–0","3–1","2–0","2–0","1–0","0–0","2–1","4–0","3–0"
"Bournemouth & Boscombe Athletic","4–0","","1–2","1–1","0–1","2–0","2–1","4–1","2–0","1–2","0–3","0–1","3–3","0–1","1–3","2–2","0–0","3–1","1–1","2–1","1–1","0–2","1–1","1–1"
"Brentford","1–1","1–3","","2–3","2–2","3–2","2–3","3–0","1–0","3–0","2–0","3–1","1–0","1–3","1–0","1–1","2–2","2–2","0–3","2–2","4–2","4–2","0–2","3–2"
"Brighton & Hove Albion","5–3","1–1","3–4","","0–1","1–1","2–0","1–0","5–3","1–0","1–0","1–2","4–1","2–1","0–1","4–1","3–2","0–0","1–2","2–1","3–1","1–1","3–0","3–1"
"Bristol City","6–1","2–2","2–1","3–2","","4–0","2–0","3–0","2–0","1–4","5–0","5–1","0–0","5–1","0–1","1–1","2–1","4–1","2–0","3–2","3–0","1–1","5–3","1–0"
"Colchester United","1–1","3–3","3–2","2–4","0–2","","0–1","2–0","1–2","2–2","2–2","0–2","1–0","4–1","1–0","1–0","0–2","2–4","3–5","2–0","0–0","0–2","2–2","1–3"
"Coventry City","2–1","1–0","1–0","2–1","1–3","0–0","","4–1","1–1","4–1","2–2","4–1","3–2","0–0","4–0","5–1","2–1","3–0","1–1","1–4","1–0","0–1","5–3","3–2"
"Crystal Palace","3–2","2–1","1–1","1–0","1–2","0–0","1–0","","1–1","0–2","1–1","1–1","2–1","3–1","2–0","2–1","1–1","2–2","1–2","2–2","0–0","1–1","3–1","1–1"
"Exeter City","0–1","1–1","3–2","3–1","0–1","2–2","0–0","2–0","","1–1","1–7","1–4","1–1","3–1","0–1","2–1","3–1","1–0","0–1","2–1","2–1","1–2","1–1","0–0"
"Gillingham","0–2","0–2","2–1","1–1","1–1","2–1","2–1","2–1","1–1","","0–0","1–1","4–2","2–2","2–1","3–1","5–1","3–3","1–0","1–1","2–1","3–1","3–2","0–1"
"Leyton Orient","1–5","3–1","0–1","0–0","4–1","2–0","1–0","2–1","5–0","2–2","","1–0","1–2","2–1","1–2","3–0","2–0","5–0","4–1","5–1","1–0","2–1","1–0","0–1"
"Millwall","3–1","1–1","2–2","2–0","1–3","5–2","3–1","5–2","2–2","3–2","1–0","","1–1","1–0","0–0","0–1","2–2","2–0","2–0","1–4","1–0","4–1","1–0","1–0"
"Newport County","2–1","1–1","3–1","1–3","2–2","0–0","1–1","0–1","2–1","1–3","1–2","2–1","","0–1","1–1","4–0","3–1","1–1","0–1","3–2","2–2","1–1","1–0","0–2"
"Northampton Town","2–1","5–0","1–2","1–0","2–0","6–1","1–0","1–1","2–0","4–1","2–2","0–1","2–2","","1–1","1–3","2–6","3–1","2–1","6–2","1–0","1–0","1–1","0–1"
"Norwich City","4–3","0–1","1–0","0–0","0–1","0–2","1–1","2–0","3–0","1–2","1–1","2–1","2–0","3–2","","1–1","0–1","2–0","2–0","3–3","2–1","5–1","2–1","3–1"
"Queens Park Rangers","5–0","1–1","1–1","3–2","1–1","4–1","3–2","1–0","1–2","1–1","2–0","1–2","2–0","1–0","2–1","","2–3","2–0","2–2","1–1","3–1","4–2","1–1","2–1"
"Reading","2–2","1–0","0–0","0–2","0–2","4–0","2–2","5–0","0–0","2–2","0–2","0–0","2–1","0–1","1–1","3–1","","1–2","0–1","1–1","2–1","3–2","2–2","1–1"
"Shrewsbury Town","1–0","3–0","2–2","3–0","0–2","2–0","1–0","1–1","1–1","1–1","0–2","3–2","3–0","4–0","2–1","1–0","2–3","","3–1","2–3","7–0","3–2","2–2","2–1"
"Southampton","1–1","0–0","6–4","3–2","2–1","0–1","1–0","2–2","3–0","3–1","1–0","3–0","2–0","4–0","3–1","2–2","3–1","2–1","","3–0","1–1","0–0","2–1","2–0"
"Southend","0–1","2–2","3–2","4–0","3–2","4–2","1–0","3–2","0–0","3–1","1–2","1–0","1–1","4–1","4–1","2–2","0–0","4–1","0–1","","4–1","1–2","2–1","1–3"
"Swindon Town","1–0","0–2","1–1","0–2","2–2","1–1","3–0","0–0","2–0","2–1","0–0","1–1","1–3","0–1","1–0","2–0","2–0","2–1","1–0","0–1","","0–0","2–2","6–1"
"Torquay United","2–2","0–1","4–2","2–1","2–2","2–1","1–2","2–2","1–0","1–3","2–7","4–2","2–3","5–2","2–0","3–2","3–1","2–0","2–2","4–1","1–1","","2–0","2–2"
"Walsall","2–2","6–1","2–2","0–2","1–3","3–1","1–1","1–4","1–0","0–1","1–4","1–1","3–3","6–1","2–1","4–1","4–0","4–0","0–0","4–1","1–2","2–4","","0–1"
"Watford","0–0","1–0","2–2","0–0","0–2","2–0","1–0","7–1","1–1","1–1","1–3","5–3","3–2","1–1","2–2","1–1","1–3","2–1","2–1","1–1","3–0","4–1","4–0",""
