"Home \ Away","ARS","AST","BIR","BLP","BOL","BUR","CAR","CHA","CHE","EVE","HUD","LUT","MCI","MUN","NEW","POR","PNE","SHU","SUN","TOT","WBA","WOL"
"Arsenal","","1–0","1–0","4–1","3–1","0–1","3–1","2–4","1–1","3–2","2–0","3–0","0–0","1–1","1–0","1–3","3–2","2–1","3–1","0–1","2–0","2–2"
"Aston Villa","1–1","","0–0","1–1","0–2","2–0","2–0","1–1","1–4","2–0","3–0","1–0","0–3","4–4","3–0","1–3","3–2","3–2","1–4","0–2","3–0","0–0"
"Birmingham City","4–0","2–2","","1–2","5–2","1–2","2–1","4–0","3–0","6–2","5–0","0–0","4–3","2–2","3–1","3–2","0–3","0–2","1–2","3–0","2–0","0–0"
"Blackpool","3–1","6–0","2–0","","0–0","1–1","2–1","5–0","2–1","4–0","4–2","3–2","0–1","0–0","5–1","2–3","2–6","1–1","7–3","0–2","5–1","2–1"
"Bolton Wanderers","4–1","1–0","6–0","1–3","","0–1","4–0","1–3","4–0","1–1","2–2","4–0","1–3","3–1","3–2","4–0","0–0","2–1","0–3","3–2","4–0","2–1"
"Burnley","0–1","2–0","3–2","0–2","2–0","","0–2","2–1","5–0","0–1","2–0","3–1","2–2","0–0","3–1","3–0","1–2","1–1","4–0","2–0","1–2","1–2"
"Cardiff City","1–2","1–0","2–1","1–0","1–0","2–2","","3–1","1–1","3–1","1–2","2–0","4–1","0–1","1–1","2–3","3–1","3–2","3–1","0–0","1–3","1–9"
"Charlton Athletic","2–0","3–1","2–0","1–2","3–1","2–1","0–0","","1–2","0–2","4–1","2–2","5–2","3–0","0–2","6–1","2–1","3–2","2–1","1–2","5–1","0–2"
"Chelsea","2–0","0–0","1–2","2–1","0–2","0–0","2–1","3–1","","6–1","0–0","0–0","2–1","2–4","2–1","1–5","0–1","1–0","2–3","2–0","2–0","2–3"
"Everton","1–1","2–1","5–1","1–0","1–0","1–1","2–0","3–2","3–3","","5–2","0–1","1–1","4–2","0–0","0–2","0–4","1–4","1–2","2–1","2–0","2–1"
"Huddersfield Town","0–1","1–1","1–1","3–1","3–1","1–0","1–2","4–0","1–3","1–0","","0–2","3–3","0–2","2–6","1–0","2–2","1–2","4–0","1–0","1–0","1–3"
"Luton Town","0–0","2–1","0–1","3–1","0–0","2–3","3–0","2–1","2–2","2–2","1–2","","3–2","0–2","4–2","1–0","2–1","2–1","8–2","2–1","0–2","5–1"
"Manchester City","2–2","2–2","1–1","2–0","2–0","1–3","3–1","0–2","2–2","3–0","1–0","3–2","","1–0","1–2","4–1","0–2","3–1","4–2","1–2","2–0","2–2"
"Manchester United","1–1","1–0","2–1","2–1","1–0","2–0","1–1","5–1","3–0","2–1","3–0","3–1","2–1","","5–2","1–0","3–2","3–1","2–1","2–2","3–1","4–3"
"Newcastle United","2–0","2–3","2–2","1–2","3–0","3–1","4–0","4–1","1–1","1–2","1–1","4–0","3–1","0–0","","2–1","5–0","4–2","3–1","1–2","0–3","3–1"
"Portsmouth","5–2","2–2","0–5","3–3","3–3","3–1","1–1","4–0","4–4","1–0","5–2","0–0","2–4","3–2","0–2","","0–2","1–1","2–1","4–1","1–1","2–1"
"Preston North End","0–1","0–1","1–1","3–3","0–1","4–2","1–2","2–2","2–3","0–1","1–2","2–1","0–3","3–1","4–3","2–1","","0–2","2–2","3–3","0–1","2–0"
"Sheffield United","0–2","2–2","0–3","2–1","1–3","1–2","2–1","0–0","2–1","1–1","3–1","0–4","1–1","1–0","2–1","1–3","3–1","","2–3","2–0","2–2","3–3"
"Sunderland","3–1","5–1","1–0","0–0","0–0","4–4","1–1","3–2","4–3","0–0","4–1","1–2","0–3","2–2","1–6","4–2","2–2","3–2","","3–2","2–1","1–1"
"Tottenham Hotspur","3–1","4–3","0–1","1–1","0–3","0–1","1–1","2–3","4–0","1–1","1–2","2–1","2–1","1–2","3–1","1–1","0–4","3–1","2–3","","4–1","2–1"
"West Bromwich Albion","2–1","1–0","0–2","1–2","2–0","1–0","2–1","3–3","3–0","2–0","1–2","3–1","0–4","1–4","1–1","4–0","3–2","2–1","3–0","1–0","","1–1"
"Wolverhampton Wanderers","3–3","0–0","1–0","2–3","4–2","3–1","0–2","2–0","2–1","1–0","4–0","1–2","7–2","0–2","2–1","3–1","2–1","3–2","3–1","5–1","3–2",""
