"Home \ Away","BAR","BLB","BRI","BRR","BRY","DON","FUL","HUL","LEE","LEI","LIN","LIV","MID","NOT","NTC","PLY","PTV","ROT","SHW","STK","SWA","WHU"
"Barnsley","","2–1","0–0","4–3","3–3","2–2","3–0","2–1","2–1","0–1","1–0","0–5","0–4","1–1","3–1","1–2","1–2","3–2","0–3","1–0","3–2","1–1"
"Blackburn Rovers","5–1","","4–6","2–0","3–1","1–1","1–0","2–0","2–3","2–3","0–2","3–3","2–1","2–2","2–0","2–1","7–1","3–1","2–2","3–0","3–0","4–1"
"Bristol City","2–0","2–0","","1–1","3–1","4–1","2–1","5–2","0–1","1–1","5–1","2–1","2–0","0–0","1–3","6–0","0–0","5–2","3–2","0–1","2–1","3–1"
"Bristol Rovers","1–1","1–0","0–3","","4–2","4–2","2–2","4–2","4–1","2–1","3–0","1–2","7–2","4–1","2–0","2–1","1–2","1–4","4–2","4–2","1–2","1–1"
"Bury","3–0","0–4","1–1","0–1","","5–1","1–5","3–2","1–0","3–1","3–3","1–4","1–1","1–2","4–0","7–1","2–2","2–1","2–5","1–0","2–4","1–1"
"Doncaster Rovers","1–1","2–2","3–2","2–1","2–3","","4–2","3–0","1–2","6–2","2–0","1–0","0–1","1–3","1–1","3–1","3–0","1–1","2–2","2–4","3–1","2–1"
"Fulham","5–1","3–0","3–0","3–5","3–1","4–0","","5–0","1–2","3–2","3–0","3–1","4–1","4–3","1–1","2–1","1–4","1–1","1–2","2–0","4–1","3–1"
"Hull City","4–1","0–3","1–3","1–2","2–3","1–1","2–2","","1–4","2–4","2–1","1–2","2–2","0–3","2–0","0–1","2–1","0–3","2–2","3–2","1–4","3–1"
"Leeds United","3–1","1–2","2–1","2–1","1–0","3–0","6–1","1–0","","4–0","1–0","4–2","2–0","3–0","1–0","4–2","1–1","4–1","2–1","1–0","2–2","3–3"
"Leicester City","0–0","0–2","2–2","4–2","5–0","3–0","2–1","1–2","5–2","","4–0","3–1","1–1","5–2","4–0","5–1","4–1","3–1","1–2","3–1","6–1","2–1"
"Lincoln City","4–0","3–0","2–0","2–0","4–2","1–1","6–1","2–0","1–1","7–1","","2–0","1–2","1–3","2–0","1–0","1–0","1–1","2–2","2–1","3–1","1–1"
"Liverpool","1–1","1–2","2–1","0–2","4–2","1–2","7–0","3–0","1–0","3–1","2–1","","1–1","5–2","2–1","4–1","4–1","2–0","0–3","2–2","4–1","3–1"
"Middlesbrough","1–1","1–0","2–1","0–1","1–3","4–1","1–1","5–1","5–3","4–3","4–2","1–2","","3–2","3–0","1–2","1–1","0–1","2–2","1–3","4–1","2–0"
"Nottingham Forest","1–0","1–1","0–2","1–1","0–2","5–0","1–0","2–1","2–0","2–0","2–2","1–3","2–4","","0–2","3–1","2–2","1–0","0–1","2–3","2–1","0–0"
"Notts County","2–2","1–2","3–2","5–2","2–1","3–2","3–4","0–2","2–1","1–1","2–2","2–1","5–0","1–3","","3–0","0–0","1–2","1–1","1–3","1–5","0–1"
"Plymouth Argyle","3–0","1–0","5–0","0–1","1–4","2–2","0–0","1–1","4–3","0–1","1–4","4–0","4–0","1–2","1–1","","1–1","3–1","1–1","0–1","0–1","0–1"
"Port Vale","1–2","4–1","2–0","1–1","1–1","2–0","2–1","0–1","2–0","2–3","1–1","1–1","3–2","0–2","3–1","3–1","","4–1","0–1","1–0","3–0","2–1"
"Rotherham United","0–0","3–2","1–3","1–0","1–3","3–3","2–3","0–2","0–2","3–1","2–2","0–1","2–1","2–1","1–1","0–0","1–0","","2–3","0–1","2–3","3–2"
"Sheffield Wednesday","3–0","5–1","2–1","4–2","3–3","5–2","2–3","4–1","4–0","1–1","5–3","1–1","3–1","1–2","1–0","5–2","4–0","0–2","","4–0","2–2","1–1"
"Stoke City","2–1","1–2","4–2","1–2","0–2","5–2","1–2","4–1","2–1","2–0","3–0","3–2","2–5","1–1","0–2","4–1","1–1","1–0","2–0","","5–0","3–0"
"Swansea Town","3–1","2–1","2–1","1–2","5–3","2–0","2–0","4–1","1–1","6–1","0–2","2–1","2–1","0–1","5–1","2–2","0–0","4–1","2–1","0–0","","4–2"
"West Ham United","4–0","2–3","3–0","2–1","3–2","6–1","2–1","1–1","1–1","1–3","2–4","2–0","1–0","1–2","6–1","4–0","0–2","1–1","3–3","2–0","5–1",""
