"Home \ Away","ALD","B&BA","BRE","B&HA","COL","COV","CRY","EXE","GIL","IPS","LEY","MIL","NPC","NOR","NWC","QPR","REA","SHR","SOU","STD","SWI","TOR","WAL","WAT"
"Aldershot","","1–3","4–1","0–3","1–0","2–2","1–1","1–0","2–2","0–3","1–1","2–1","1–0","2–0","0–0","1–2","4–4","2–0","3–2","3–3","1–1","1–2","2–1","1–1"
"Bournemouth & Boscombe Athletic","2–2","","0–0","2–0","3–1","0–1","1–0","0–0","1–2","1–1","3–1","4–0","0–0","0–0","0–1","1–0","2–1","2–0","1–3","4–1","4–0","2–0","2–0","4–0"
"Brentford","2–0","2–1","","4–2","2–2","1–1","3–0","2–0","1–4","3–2","1–0","2–2","1–1","2–1","1–2","2–0","2–2","1–1","2–1","2–1","1–2","1–3","2–2","0–0"
"Brighton & Hove Albion","5–2","4–1","3–0","","2–0","2–1","5–0","1–0","5–0","3–0","1–1","2–1","4–1","4–0","6–0","1–1","3–1","3–2","5–0","4–0","2–0","3–2","3–0","2–3"
"Colchester United","4–0","1–0","0–3","3–3","","2–0","2–4","5–1","1–1","3–3","2–1","1–2","2–1","2–0","3–2","4–1","0–3","2–0","3–2","3–6","5–0","3–2","1–1","4–1"
"Coventry City","1–1","3–1","2–1","3–2","2–0","","1–3","2–2","2–0","3–1","3–0","5–1","3–0","0–1","5–3","4–1","0–0","2–1","2–0","0–0","6–0","1–2","1–0","3–0"
"Crystal Palace","1–0","1–3","0–2","1–2","1–1","3–0","","0–1","1–3","1–0","1–2","2–2","1–0","2–3","2–0","1–1","2–3","0–1","0–2","1–2","0–2","3–0","2–0","1–2"
"Exeter City","2–1","2–0","2–3","0–5","0–0","2–3","6–1","","2–1","2–2","1–1","3–1","2–0","3–1","1–1","2–0","0–2","3–0","3–2","0–1","1–2","0–0","1–1","1–2"
"Gillingham","2–0","2–1","1–2","1–0","2–1","1–1","1–1","2–1","","0–0","0–1","4–3","3–2","0–2","3–1","0–2","2–0","3–1","1–2","2–3","4–0","1–3","0–1","3–0"
"Ipswich Town","2–1","1–0","1–1","2–1","3–1","1–0","3–3","2–2","1–1","","2–0","6–2","3–2","1–0","4–1","4–1","3–3","2–1","4–2","3–0","6–2","0–2","5–2","0–0"
"Leyton Orient","8–3","3–0","2–1","0–1","6–0","3–1","8–0","1–1","2–0","1–2","","2–1","3–1","1–1","2–2","7–1","1–0","5–2","4–0","3–0","4–0","3–2","4–0","3–1"
"Millwall","3–3","4–0","4–0","2–4","0–1","0–2","1–1","2–0","5–0","0–5","5–0","","2–4","4–1","1–0","2–0","4–0","1–2","3–2","5–0","1–1","3–2","3–2","1–1"
"Newport County","0–1","1–0","1–2","1–0","0–0","4–2","0–1","1–2","3–2","2–1","3–0","1–4","","0–1","2–2","2–1","2–3","1–2","1–0","2–0","1–0","2–1","2–0","0–1"
"Northampton Town","3–2","2–1","1–0","3–0","0–2","2–1","1–1","3–0","0–2","0–5","0–1","4–0","5–0","","1–1","5–2","1–2","1–0","3–1","1–1","2–1","2–0","3–1","1–3"
"Norwich City","0–1","0–2","1–0","3–3","1–1","1–0","3–1","2–1","5–1","3–2","2–2","4–1","2–3","4–1","","1–0","2–1","3–1","1–4","7–2","4–1","0–0","3–2","4–1"
"Queens Park Rangers","2–2","0–1","1–1","2–1","6–2","1–2","0–3","1–0","2–2","1–1","0–1","4–0","0–0","3–2","2–3","","3–3","1–1","4–0","1–2","1–0","3–1","3–2","3–2"
"Reading","0–5","0–2","5–2","0–2","1–3","1–0","1–0","1–2","1–2","1–5","0–1","4–1","3–0","4–1","2–2","3–1","","0–1","1–1","4–1","0–1","0–3","2–0","6–1"
"Shrewsbury Town","3–3","1–1","1–1","2–1","2–1","3–0","2–0","2–0","3–1","1–1","1–4","3–1","5–0","1–1","6–0","1–1","3–0","","2–0","1–1","1–1","1–2","2–1","0–0"
"Southampton","3–1","3–2","1–1","1–2","3–0","3–0","3–1","5–0","1–1","2–2","1–2","3–0","3–3","2–3","2–5","4–0","5–2","1–1","","0–0","2–1","6–2","4–1","2–0"
"Southend United","3–2","4–1","2–2","1–2","4–0","3–0","4–3","6–0","2–2","2–3","0–0","3–1","4–1","2–0","3–1","5–1","1–0","1–0","2–1","","0–0","2–3","3–2","1–0"
"Swindon Town","1–1","2–2","0–1","0–0","3–1","1–1","0–0","0–1","0–1","0–1","1–2","1–0","1–2","0–1","1–1","0–1","0–0","2–1","1–1","1–1","","2–1","1–2","0–0"
"Torquay United","5–0","0–0","3–1","0–0","1–2","0–0","1–1","3–1","1–1","2–2","1–3","3–0","1–1","3–1","1–1","2–0","0–0","5–0","3–2","2–2","4–0","","3–2","4–1"
"Walsall","4–2","0–0","1–2","2–2","0–0","2–0","4–0","3–1","2–1","1–3","0–2","2–1","3–3","2–0","2–0","2–2","1–0","1–0","1–3","3–1","4–0","1–4","","2–1"
"Watford","1–1","0–2","0–2","1–3","1–1","2–1","0–2","2–3","0–1","0–2","0–4","4–2","1–1","2–2","1–1","0–1","1–0","3–4","1–0","3–2","2–1","2–1","4–2",""
