"Home \ Away","ARS","AST","BIR","BLP","BOL","BUR","CAR","CHA","CHE","EVE","LEE","LUT","MCI","MUN","NEW","POR","PNE","SHW","SUN","TOT","WBA","WOL"
"Arsenal","","2–1","4–0","1–1","3–0","2–0","0–0","3–1","2–0","2–0","1–0","1–3","7–3","1–2","0–1","1–1","1–2","6–3","1–1","3–1","4–1","0–0"
"Aston Villa","0–0","","3–1","3–2","0–0","1–0","4–1","3–1","1–1","5–1","1–1","1–3","2–2","1–3","3–1","2–2","2–0","5–0","2–2","2–4","0–0","4–0"
"Birmingham City","4–2","1–2","","2–2","0–0","2–0","2–1","4–2","0–1","1–3","6–2","3–0","3–3","3–1","6–1","3–1","3–0","4–0","1–2","0–0","2–0","2–2"
"Blackpool","2–4","0–0","3–1","","4–2","1–0","3–1","3–2","1–0","5–2","1–1","4–0","4–1","2–2","2–3","5–0","4–0","3–1","1–2","4–1","0–1","3–2"
"Bolton Wanderers","2–1","0–0","3–1","4–1","","3–0","2–0","2–0","2–2","1–1","5–3","2–2","1–0","2–0","3–1","1–1","2–3","3–2","2–1","1–0","1–1","0–3"
"Burnley","3–1","2–1","2–0","2–2","1–0","","6–2","2–1","2–0","2–1","0–0","1–1","0–3","1–3","3–2","1–1","2–2","4–1","2–0","1–0","1–0","3–0"
"Cardiff City","2–3","1–0","1–2","3–4","2–0","3–3","","2–3","1–1","1–0","4–1","0–0","1–1","2–3","5–2","0–2","2–3","2–1","1–0","0–3","0–0","2–2"
"Charlton Athletic","1–3","0–2","1–0","0–4","2–1","1–2","0–2","","3–1","1–2","1–2","1–2","1–0","1–5","1–1","1–3","3–4","4–4","3–2","1–1","3–2","2–1"
"Chelsea","1–1","1–1","1–0","2–2","2–2","2–0","1–2","1–3","","5–1","1–1","4–1","4–2","1–2","6–2","3–3","1–0","0–0","0–2","2–4","2–4","3–3"
"Everton","4–0","0–4","2–0","2–3","2–2","1–0","0–0","5–0","0–3","","2–1","2–1","1–1","1–2","2–1","2–2","1–4","1–0","2–1","1–1","0–1","3–1"
"Leeds United","3–3","1–0","1–1","5–0","3–2","1–1","3–0","4–0","0–0","5–1","","1–2","2–0","1–2","0–0","4–1","1–2","3–1","3–1","1–1","0–0","0–0"
"Luton Town","1–2","0–0","0–0","0–2","1–0","0–2","3–0","4–2","0–4","2–0","2–2","","3–2","0–2","4–1","1–0","1–1","2–0","6–2","1–3","0–1","1–0"
"Manchester City","2–3","1–1","3–1","0–3","1–3","0–1","4–1","5–1","5–4","2–4","1–0","3–2","","2–4","1–2","5–1","0–2","4–2","3–1","2–2","2–1","2–3"
"Manchester United","6–2","1–1","2–2","0–2","0–2","2–0","3–1","4–2","3–0","2–5","3–2","3–1","2–0","","6–1","3–0","3–2","4–1","4–0","0–0","1–1","3–0"
"Newcastle United","3–1","1–2","3–2","2–1","4–0","1–1","1–0","3–1","1–2","0–0","2–3","2–2","0–3","1–1","","2–1","1–2","1–2","6–2","2–2","5–2","2–1"
"Portsmouth","2–3","5–1","3–4","0–0","1–1","1–0","1–0","1–0","2–2","3–2","2–5","2–2","0–1","1–3","2–2","","2–2","3–1","3–2","2–3","0–1","1–0"
"Preston North End","3–0","3–3","1–0","0–0","2–2","1–0","6–0","4–3","1–0","0–0","3–0","2–0","3–1","1–3","1–0","7–1","","1–0","6–0","1–4","3–2","1–0"
"Sheffield Wednesday","2–4","2–1","3–0","1–2","1–2","0–0","5–3","3–1","4–0","2–2","2–3","3–0","2–2","2–1","4–0","3–1","3–1","","3–2","4–1","4–2","2–1"
"Sunderland","1–0","1–0","0–1","5–2","3–0","2–1","1–1","8–1","1–3","1–1","2–0","1–0","1–1","1–3","1–2","3–3","0–0","5–2","","0–2","1–4","2–3"
"Tottenham Hotspur","1–3","3–0","5–1","2–1","4–0","2–0","5–0","6–2","3–4","6–0","5–1","5–0","3–2","2–2","3–1","2–0","1–1","1–1","5–2","","2–2","4–1"
"West Bromwich Albion","0–2","2–0","0–0","1–3","3–2","2–2","1–2","2–2","2–1","3–0","0–0","4–0","1–1","2–3","1–0","2–1","0–0","1–4","2–0","1–1","","1–1"
"Wolverhampton Wanderers","5–2","3–0","3–0","4–1","3–2","1–2","3–1","7–3","3–1","2–1","1–2","5–4","5–1","1–1","2–0","6–0","4–3","2–1","2–2","3–0","5–2",""
