"Home \ Away","BAR","BLB","BRI","BRR","BRY","DON","FUL","GRI","HUD","LEI","LEY","LIN","LIV","MID","NOT","NTC","PTV","ROT","SHU","STK","SWA","WHU"
"Barnsley","","3–3","3–0","0–2","1–1","3–1","1–1","2–0","0–5","2–0","3–0","5–2","4–1","1–3","1–1","1–1","2–0","1–1","1–6","2–2","2–3","1–2"
"Blackburn Rovers","2–0","","3–1","2–0","6–2","2–2","2–0","2–0","3–2","1–1","3–3","3–4","2–2","1–0","2–2","1–1","2–4","3–2","3–1","1–0","5–3","0–2"
"Bristol City","1–2","3–0","","5–3","2–0","4–0","0–3","0–2","2–1","0–2","4–2","5–1","2–1","2–1","1–5","3–0","3–3","2–1","5–1","1–2","3–1","1–1"
"Bristol Rovers","1–1","0–1","0–0","","6–1","6–1","4–0","1–0","4–0","1–2","3–2","0–1","0–0","0–2","3–2","3–0","2–1","4–2","3–1","4–0","1–1","1–1"
"Bury","1–2","2–2","2–3","7–2","","4–4","0–1","2–3","1–3","4–5","1–3","1–0","0–2","3–2","1–2","2–1","1–0","1–4","0–1","0–1","1–3","3–3"
"Doncaster Rovers","5–2","1–1","4–1","2–4","1–1","","4–0","0–1","4–0","0–2","6–1","3–1","1–1","2–1","1–1","4–2","4–0","1–1","1–0","4–0","0–1","3–0"
"Fulham","2–0","7–2","2–1","3–2","1–3","3–0","","3–1","1–0","2–2","3–1","0–1","1–2","1–2","0–1","5–1","6–3","3–1","1–2","1–0","7–3","1–4"
"Grimsby Town","4–1","1–3","0–3","3–2","0–1","4–2","3–1","","1–2","2–2","0–0","2–0","0–0","3–2","0–0","2–1","1–0","3–2","1–2","4–1","5–0","2–1"
"Huddersfield Town","2–0","0–2","2–1","2–1","1–2","0–1","1–1","2–1","","1–2","3–0","0–1","0–3","0–1","1–0","3–0","3–1","1–0","1–4","2–2","2–2","6–2"
"Leicester City","5–2","6–0","1–1","7–2","3–0","3–1","1–3","4–3","2–2","","1–4","4–3","3–2","1–1","0–0","6–3","2–1","5–2","5–0","3–2","1–1","5–3"
"Leyton Orient","2–0","1–1","2–2","1–1","4–3","1–1","0–2","1–1","3–1","1–5","","2–1","0–4","1–1","1–4","2–2","3–2","2–1","1–2","2–2","3–0","1–2"
"Lincoln City","4–1","1–2","1–1","1–0","2–0","4–1","1–0","1–0","1–2","2–3","0–2","","3–3","1–1","0–2","1–0","4–0","3–3","4–1","0–1","0–2","0–2"
"Liverpool","2–1","2–3","2–1","4–1","2–0","2–1","4–3","3–2","2–3","2–0","1–0","4–0","","1–2","3–1","3–3","4–1","4–1","5–1","0–2","2–0","1–0"
"Middlesbrough","1–2","2–1","4–1","3–2","2–2","3–2","3–1","2–1","7–2","1–3","1–2","3–0","1–1","","2–2","0–0","3–1","0–1","3–1","1–1","6–2","3–1"
"Nottingham Forest","7–1","2–1","2–2","1–1","5–1","2–1","3–1","2–1","0–0","1–2","1–2","1–1","1–0","0–4","","2–4","4–2","3–1","2–1","4–0","4–3","3–0"
"Notts County","3–2","2–0","1–1","0–2","2–2","1–2","0–0","0–1","1–2","0–0","1–3","3–0","1–1","2–1","1–2","","3–1","1–5","2–2","5–0","1–4","4–1"
"Port Vale","0–0","0–3","3–1","2–3","3–2","4–1","2–1","3–0","1–2","2–3","1–2","1–1","1–2","2–1","1–7","1–2","","2–1","0–6","2–2","0–2","0–0"
"Rotherham United","0–0","0–2","6–1","0–0","1–1","0–1","4–3","2–1","3–3","1–1","2–0","3–0","2–2","2–3","3–2","0–0","1–0","","0–4","1–0","6–1","0–1"
"Sheffield United","5–0","0–2","1–1","0–0","1–1","4–0","5–2","2–0","2–0","1–1","2–3","2–0","3–0","2–1","0–4","5–1","4–2","2–7","","1–1","2–2","1–0"
"Stoke City","3–0","4–1","0–2","2–1","2–0","1–1","0–2","1–0","5–1","3–1","7–1","8–0","1–0","3–1","2–1","6–0","3–1","6–0","3–3","","4–1","0–1"
"Swansea Town","2–3","5–1","5–0","2–3","3–0","4–2","4–5","3–1","4–2","2–3","1–0","1–2","1–1","2–2","1–4","2–1","2–2","1–0","4–1","1–0","","3–1"
"West Ham United","2–0","1–3","3–1","1–2","1–0","1–1","2–1","0–1","0–2","2–1","2–1","2–1","1–1","1–1","2–1","2–1","2–1","1–1","3–2","1–0","1–2",""
