"Home \ Away","ACC","BRW","BRA","BPA","CRL","CHE","CHF","CRE","DAR","DER","GAT","HAL","HAR","HUL","MAN","OLD","ROC","SCU","SOU","STP","TRA","WRK","WRE","YOR"
"Accrington Stanley","","4–1","0–2","5–0","1–2","4–0","1–1","5–0","4–2","0–0","2–0","4–0","2–1","0–3","3–3","2–2","2–1","0–1","4–2","4–0","1–0","2–1","1–0","3–0"
"Barrow","3–1","","4–0","1–0","3–0","3–0","2–1","3–0","3–1","2–2","1–2","1–0","3–1","1–2","2–0","2–1","2–0","1–2","1–1","0–3","5–0","5–2","2–1","1–2"
"Bradford City","1–2","0–2","","2–0","3–2","1–0","3–2","5–1","1–2","0–2","3–1","1–0","1–1","2–1","4–3","4–1","1–1","3–1","3–1","1–1","4–1","2–3","2–1","0–2"
"Bradford Park Avenue","2–0","4–1","2–0","","1–3","3–1","2–0","4–3","3–1","3–2","0–1","2–1","0–2","4–1","1–4","2–2","0–0","1–2","2–3","3–2","1–2","1–3","0–4","0–2"
"Carlisle United","2–2","1–1","1–4","2–1","","3–0","4–2","2–1","1–2","1–3","3–2","0–0","2–1","1–3","6–1","2–2","2–1","0–0","1–2","3–3","2–2","1–1","2–2","2–0"
"Chester","0–2","2–0","1–2","2–0","1–2","","3–4","4–1","0–3","2–2","4–1","1–1","0–1","1–1","6–2","1–0","2–2","2–2","2–0","1–4","1–1","1–0","0–0","3–4"
"Chesterfield","1–0","3–2","1–1","4–1","2–2","3–0","","2–0","4–1","2–2","6–0","2–1","5–1","3–1","1–0","1–0","2–2","1–0","6–0","1–0","3–1","2–2","2–1","3–4"
"Crewe Alexandra","3–4","1–1","1–0","2–0","2–2","0–0","0–4","","1–3","2–5","0–3","1–3","1–2","2–3","6–4","2–2","1–6","2–1","0–0","0–1","0–0","0–1","3–0","1–1"
"Darlington","0–0","1–1","3–2","0–5","0–1","5–1","4–1","3–0","","1–1","7–0","0–1","3–1","1–1","1–3","1–0","4–3","1–2","1–0","3–1","1–1","4–2","1–5","2–4"
"Derby County","2–2","3–3","0–2","6–1","3–0","3–0","7–1","4–0","1–1","","5–3","6–0","2–0","1–0","4–0","3–2","3–0","4–0","2–0","2–0","4–0","2–3","1–0","1–0"
"Gateshead","1–1","2–2","1–2","1–3","4–2","4–1","1–3","1–1","1–2","1–1","","2–1","4–3","2–0","1–1","2–3","2–1","0–0","3–1","1–5","3–1","1–2","4–0","0–2"
"Halifax Town","0–1","3–2","0–2","3–1","1–3","2–1","2–1","1–0","3–2","1–0","0–1","","2–0","1–0","2–1","1–1","2–1","1–0","3–1","3–2","4–0","4–2","1–2","0–0"
"Hartlepools United","2–1","2–0","2–0","2–1","2–1","2–2","5–1","2–0","2–1","2–1","4–1","0–1","","3–3","2–1","4–1","0–0","0–0","5–2","4–1","5–1","2–1","2–1","2–0"
"Hull City","2–1","3–0","1–0","2–0","0–0","2–0","3–2","2–0","1–1","3–3","1–1","3–1","2–0","","1–2","2–1","2–0","2–2","2–1","5–3","4–1","0–2","1–2","1–1"
"Mansfield Town","1–3","1–3","3–1","2–1","5–1","1–1","3–0","2–1","7–3","1–2","2–4","2–0","4–1","2–1","","2–4","2–3","1–1","1–2","4–2","3–0","2–2","3–1","4–1"
"Oldham Athletic","2–4","0–1","1–1","3–1","2–2","0–0","3–3","2–0","3–2","1–2","1–2","4–3","0–0","1–3","1–1","","0–1","1–1","2–1","2–0","1–0","1–0","1–2","3–1"
"Rochdale","0–2","1–0","4–1","2–1","2–1","2–1","1–0","1–1","3–0","3–1","0–0","1–1","1–0","4–3","0–0","0–2","","3–0","6–1","2–2","1–0","0–0","0–2","1–0"
"Scunthorpe & Lindsey United","2–3","1–1","1–1","2–2","1–2","3–0","5–1","5–1","1–2","1–4","1–2","6–1","1–2","1–1","0–1","0–0","1–0","","1–0","2–3","1–4","2–1","4–3","2–1"
"Southport","3–5","0–0","1–5","5–1","4–1","1–1","0–0","0–1","1–0","3–2","2–3","1–1","1–6","1–0","1–1","2–0","0–1","2–2","","0–1","1–0","0–1","1–1","1–1"
"Stockport County","2–1","2–1","1–1","4–0","2–0","2–1","2–1","2–0","5–2","3–2","1–1","2–2","2–4","1–2","2–1","2–1","3–1","1–3","2–0","","3–1","0–1","4–0","3–0"
"Tranmere Rovers","1–2","0–2","0–0","0–3","0–1","3–1","2–2","3–0","2–2","0–1","0–0","0–2","0–1","2–4","3–1","2–1","2–2","4–2","1–1","2–2","","1–1","2–4","3–3"
"Workington","4–1","0–1","5–1","0–1","2–0","0–1","2–1","4–0","6–2","2–1","2–1","3–1","1–1","4–3","3–3","0–0","5–0","2–2","2–0","4–1","3–2","","3–0","3–2"
"Wrexham","5–2","5–0","1–2","2–0","6–4","2–2","1–3","5–0","5–0","0–2","4–1","3–2","2–2","5–2","0–0","4–4","4–1","1–1","1–1","2–3","1–0","3–0","","1–1"
"York City","3–1","1–0","3–1","1–2","2–0","0–1","1–2","2–1","1–0","1–1","1–0","1–2","3–3","2–1","2–0","2–1","4–0","0–2","9–1","0–0","1–0","2–2","1–0",""
