"Home \ Away","ALD","B&BA","BRE","B&HA","COL","COV","CRY","EXE","GIL","IPS","MIL","NPC","NOR","NWC","PLY","QPR","REA","SHR","SOU","STD","SWI","TOR","WAL","WAT"
"Aldershot","","3–2","0–2","1–4","2–1","0–1","2–1","1–4","0–0","3–1","3–0","3–1","4–0","0–0","0–2","4–2","1–4","1–1","1–1","5–3","2–2","0–1","4–1","3–1"
"Bournemouth & Boscombe Athletic","3–2","","3–0","1–1","1–1","1–2","2–2","3–1","3–1","1–0","6–1","2–1","4–1","1–1","2–1","1–0","2–1","6–1","1–0","1–1","7–0","0–0","2–2","4–0"
"Brentford","2–2","2–2","","2–5","1–1","1–1","1–1","3–0","3–2","1–1","5–0","0–0","2–1","1–1","4–1","2–0","4–0","3–1","4–0","3–2","4–1","0–0","6–2","1–5"
"Brighton & Hove Albion","2–2","2–2","1–2","","0–0","2–1","1–1","3–0","3–1","3–2","3–2","2–0","5–0","3–0","3–1","1–0","8–3","4–3","1–0","1–1","2–0","6–0","1–3","2–2"
"Colchester United","1–1","3–0","1–0","0–0","","3–2","3–3","4–0","0–0","0–0","2–1","1–0","5–1","1–1","2–1","1–1","3–2","6–0","3–1","3–2","1–1","2–1","2–1","2–0"
"Coventry City","5–1","4–2","1–1","1–2","2–4","","3–3","1–0","4–1","1–1","1–2","2–0","3–1","3–2","1–4","5–1","0–1","3–3","2–1","2–0","3–0","3–2","2–2","0–2"
"Crystal Palace","2–1","1–1","0–2","2–2","2–4","1–1","","0–0","1–2","1–3","2–2","2–1","1–1","4–1","2–1","2–1","1–1","0–1","1–2","2–0","0–0","1–1","3–0","0–0"
"Exeter City","1–1","1–2","1–1","1–3","0–2","4–2","2–1","","4–0","1–2","1–1","2–0","0–0","0–0","2–1","0–0","1–1","5–1","0–4","6–1","3–2","1–1","0–1","1–2"
"Gillingham","6–2","1–0","2–1","0–0","1–2","1–2","4–1","2–1","","1–1","1–3","1–1","1–2","1–1","0–3","0–1","0–0","1–1","0–0","0–2","3–0","1–1","2–1","0–3"
"Ipswich Town","4–1","1–0","4–0","4–0","3–1","4–0","4–2","3–0","1–1","","0–2","5–0","0–1","3–1","2–1","4–0","4–2","5–1","2–0","3–3","4–1","6–0","2–2","4–1"
"Millwall","1–5","3–4","1–1","4–3","3–1","3–2","3–0","1–3","2–1","2–2","","1–0","1–0","5–1","2–2","2–0","1–0","0–0","0–0","0–0","2–1","7–2","1–0","1–1"
"Newport County","3–0","5–3","3–0","0–0","1–0","3–0","2–2","1–1","4–0","1–0","0–0","","3–0","3–1","4–1","1–1","1–2","2–0","2–3","2–1","2–1","3–0","2–2","3–0"
"Northampton Town","4–2","2–2","5–1","1–0","1–0","4–0","1–0","1–1","4–1","2–1","2–1","0–3","","1–1","2–0","3–0","3–0","1–1","2–1","2–2","2–0","3–0","2–3","1–2"
"Norwich City","1–1","1–3","1–1","1–1","1–2","3–0","1–0","1–0","1–3","1–2","2–0","1–1","2–1","","3–0","1–2","2–5","3–0","0–3","1–2","2–4","1–2","2–2","1–2"
"Plymouth Argyle","2–2","2–0","2–0","2–0","2–2","0–0","0–1","5–0","2–0","1–2","0–0","3–2","4–3","3–2","","1–2","0–6","1–1","2–1","0–0","1–0","0–0","2–4","3–3"
"Queens Park Rangers","0–1","2–1","2–2","0–0","1–1","1–1","4–2","5–3","5–0","0–2","0–0","1–1","1–0","3–1","3–0","","1–1","2–1","1–2","3–0","3–0","0–1","1–0","3–1"
"Reading","2–1","0–4","2–0","2–2","0–3","3–0","1–2","4–0","4–0","1–3","3–0","0–0","1–1","2–1","3–2","1–0","","2–2","2–4","3–2","1–0","3–1","3–0","1–2"
"Shrewsbury Town","2–2","0–0","3–2","4–0","1–3","5–0","1–1","1–2","1–0","1–1","2–0","2–0","2–0","4–5","3–1","0–0","1–1","","0–0","0–0","7–3","1–1","3–2","1–0"
"Southampton","1–0","3–0","3–3","1–0","2–1","1–1","3–0","2–2","0–1","0–2","4–0","3–0","2–0","2–0","2–2","1–2","4–1","4–0","","1–2","2–1","1–0","3–1","3–1"
"Southend United","2–4","2–1","1–0","3–1","3–2","1–2","1–1","2–0","5–0","2–0","1–0","3–3","0–1","0–0","0–1","3–0","4–0","1–2","1–2","","1–0","2–0","2–0","2–0"
"Swindon Town","1–2","2–1","1–3","3–0","4–1","2–2","3–1","3–5","2–3","3–1","1–0","1–0","4–0","1–1","0–3","1–0","3–2","1–2","0–0","3–2","","1–2","1–2","2–0"
"Torquay United","4–2","1–0","2–0","1–0","4–2","3–1","3–0","1–0","3–3","4–1","7–2","4–0","2–0","7–1","1–1","3–0","3–1","1–1","2–0","3–3","7–0","","2–0","3–0"
"Walsall","5–1","0–0","7–0","3–2","2–1","1–1","1–2","2–0","2–2","2–0","7–1","0–0","2–2","6–3","1–0","0–2","3–2","1–1","1–1","0–1","1–2","0–1","","2–0"
"Watford","3–0","1–1","1–1","2–1","0–0","1–0","1–4","1–1","2–3","2–1","2–0","5–0","2–1","3–3","0–1","2–4","1–0","2–3","4–2","1–1","3–4","4–1","1–0",""
