"Home \ Away","ARS","AST","BIR","BLP","BOL","BUR","CHE","EVE","LEE","LEI","LUT","MCI","MUN","NEW","NOT","POR","PNE","SHW","SUN","TOT","WBA","WOL"
"Arsenal","","4–0","1–3","2–3","1–2","0–0","5–4","2–3","2–1","3–1","2–0","2–1","4–5","2–3","1–1","3–2","4–2","1–0","3–0","4–4","2–2","0–2"
"Aston Villa","3–0","","0–2","1–1","4–0","3–0","1–3","0–1","2–0","5–1","2–0","1–2","3–2","4–3","1–1","2–1","2–2","2–0","5–2","1–1","2–1","2–3"
"Birmingham City","4–1","3–1","","0–0","5–1","2–3","3–3","2–1","1–1","0–1","1–1","4–0","3–3","1–4","0–2","4–1","3–1","1–0","2–3","0–0","3–5","1–5"
"Blackpool","1–0","1–1","4–2","","2–3","2–4","2–1","0–1","3–0","5–1","1–2","2–5","1–4","3–2","3–0","2–1","1–2","2–2","7–0","0–2","2–0","3–2"
"Bolton Wanderers","0–1","4–0","1–0","3–0","","2–1","3–3","1–5","0–2","2–3","1–2","0–2","4–0","1–1","2–0","1–0","0–4","5–4","2–2","3–2","2–2","1–1"
"Burnley","2–1","3–0","3–1","2–1","3–1","","2–1","0–2","3–1","7–3","1–2","2–1","3–0","0–2","3–1","3–1","2–0","2–0","6–0","2–0","2–2","1–1"
"Chelsea","0–0","4–2","5–1","1–4","2–2","6–1","","3–1","2–1","4–0","1–3","2–3","2–1","2–1","0–0","7–4","0–2","1–0","0–0","2–4","2–2","1–2"
"Everton","2–2","1–2","0–2","0–0","1–1","1–1","3–0","","0–1","2–2","0–2","2–5","3–3","1–2","1–1","4–2","4–2","1–1","3–1","3–4","1–1","1–0"
"Leeds United","2–0","4–0","1–1","2–1","2–1","1–0","0–0","1–0","","2–1","0–2","2–4","1–1","3–0","1–2","2–0","2–3","2–2","2–1","1–2","1–1","1–1"
"Leicester City","0–1","6–1","2–2","2–1","2–3","5–3","3–2","2–2","3–0","","4–1","8–4","0–3","2–1","3–1","2–2","1–3","4–1","4–1","1–3","3–3","2–3"
"Luton Town","4–0","3–0","3–0","2–0","1–0","3–2","0–2","0–1","1–1","2–1","","1–2","2–2","0–3","3–1","2–1","1–3","2–0","7–1","0–0","5–1","3–1"
"Manchester City","2–4","1–2","1–1","4–3","2–1","4–1","5–2","6–2","1–0","4–3","2–2","","2–2","2–1","1–1","2–1","2–0","2–0","3–1","5–1","4–1","3–4"
"Manchester United","4–2","4–1","0–2","1–2","7–2","1–0","0–1","3–0","5–0","4–0","3–0","4–1","","1–1","1–1","0–3","0–0","2–1","2–2","3–4","0–4","0–4"
"Newcastle United","3–3","2–4","1–2","1–2","1–2","1–3","1–3","2–3","1–2","5–3","3–2","4–1","1–2","","1–4","2–0","0–2","0–0","2–2","3–1","3–0","1–1"
"Nottingham Forest","4–0","4–1","1–1","1–2","0–0","7–0","1–1","0–3","1–1","3–1","1–0","2–1","1–2","2–3","","2–0","2–1","5–2","2–0","1–2","0–2","1–4"
"Portsmouth","5–4","1–0","3–2","1–2","2–2","0–0","3–0","3–2","1–2","2–0","5–0","2–1","3–3","2–2","1–4","","0–2","3–2","0–2","5–1","2–2","1–1"
"Preston North End","3–0","1–1","8–0","2–1","3–0","2–1","5–2","3–1","3–0","4–1","1–0","6–1","1–1","2–1","2–0","4–0","","3–0","3–0","3–1","3–1","1–2"
"Sheffield Wednesday","2–0","2–5","5–3","0–3","1–0","1–2","2–3","2–1","3–2","2–1","2–1","4–5","1–0","1–0","1–2","4–2","4–4","","3–3","2–0","1–2","2–1"
"Sunderland","0–1","1–1","1–6","1–4","1–2","2–3","2–2","1–1","2–1","3–2","3–0","2–1","1–2","2–0","3–0","1–1","0–0","3–3","","1–1","2–0","0–2"
"Tottenham Hotspur","3–1","6–2","7–1","2–1","4–1","3–1","1–1","3–1","2–0","1–4","3–1","5–1","1–0","3–3","3–4","3–5","3–3","4–2","0–1","","0–0","1–0"
"West Bromwich Albion","1–2","3–2","0–0","1–1","2–2","5–1","1–1","4–0","1–0","6–2","4–2","9–2","4–3","2–1","3–2","3–1","4–1","3–1","3–0","0–2","","0–3"
"Wolverhampton Wanderers","1–2","2–1","5–1","3–1","6–1","2–1","2–1","2–0","3–2","5–1","1–1","3–3","3–1","3–1","2–0","1–0","2–0","4–3","5–0","4–0","1–1",""
