"Home \ Away","BAR","BLB","BRI","BRR","CAR","CHA","DER","DON","FUL","GRI","HUD","IPS","LEY","LIN","LIV","MID","NTC","ROT","SHU","STK","SWA","WHU"
"Barnsley","","0–2","4–1","2–2","1–1","4–1","3–0","1–1","1–0","3–3","2–3","5–1","3–0","1–3","2–1","1–1","1–1","3–0","0–2","1–2","1–0","1–0"
"Blackburn Rovers","3–1","","5–0","2–0","4–0","1–1","3–1","3–2","1–1","3–0","1–1","0–0","4–1","0–1","3–3","3–3","3–0","5–0","1–0","1–0","2–2","2–1"
"Bristol City","5–0","0–0","","3–2","2–0","1–2","2–1","2–2","0–5","3–2","1–3","1–0","2–2","4–0","1–2","0–0","3–1","0–1","1–4","2–1","1–2","1–1"
"Bristol Rovers","1–1","4–0","3–3","","0–2","1–0","5–2","2–1","2–2","0–7","1–1","3–1","4–0","3–0","3–1","5–0","5–2","1–3","2–2","2–0","3–0","2–3"
"Cardiff City","7–0","4–3","2–3","0–2","","0–3","3–2","3–1","3–0","1–3","1–0","1–1","1–1","3–2","6–1","0–2","2–0","2–2","0–0","5–2","0–0","0–3"
"Charlton Athletic","4–2","3–4","1–0","2–3","3–1","","2–2","2–0","2–2","2–0","7–6","4–1","3–2","4–1","5–1","6–2","4–1","4–0","3–1","3–0","1–1","0–3"
"Derby County","1–4","0–3","5–2","2–1","0–2","1–3","","1–0","3–3","1–0","2–4","2–2","2–0","3–2","2–1","2–1","2–1","3–4","2–0","0–0","1–0","2–3"
"Doncaster Rovers","1–1","1–5","2–1","3–2","0–1","1–2","1–2","","1–6","3–3","0–3","1–1","2–0","1–3","1–1","3–2","4–0","3–2","2–2","0–1","3–0","1–2"
"Fulham","1–1","1–1","3–4","3–0","2–0","3–1","2–0","4–1","","6–0","2–1","0–0","3–1","4–1","2–2","0–1","1–0","3–1","6–3","3–4","2–0","2–2"
"Grimsby Town","2–1","3–4","1–1","3–2","1–1","4–2","3–2","3–1","3–1","","4–1","0–2","7–2","4–0","3–1","4–1","2–0","3–1","1–3","0–0","2–2","1–2"
"Huddersfield Town","0–5","2–1","0–0","0–0","1–1","3–3","0–0","2–2","0–3","1–0","","3–0","2–0","0–1","2–1","1–0","3–0","1–3","1–1","1–0","2–2","3–1"
"Ipswich Town","3–0","2–1","4–2","3–2","3–1","1–4","2–2","2–0","1–1","3–2","4–0","","5–3","1–1","3–1","1–1","2–1","1–2","1–0","1–3","0–1","2–1"
"Leyton Orient","2–1","5–1","4–0","1–3","4–2","3–2","1–1","2–0","1–3","5–1","3–1","2–0","","1–0","1–0","4–0","2–2","6–2","0–1","0–2","5–1","1–4"
"Lincoln City","1–3","1–1","4–0","0–1","3–1","2–3","1–1","1–1","0–1","1–4","1–1","2–1","2–0","","0–1","2–3","2–2","2–0","2–2","1–3","4–0","1–6"
"Liverpool","1–1","2–0","4–3","2–0","3–0","3–1","2–0","5–0","2–1","3–2","1–1","3–1","3–0","1–0","","0–2","4–0","2–0","1–0","3–0","4–0","1–1"
"Middlesbrough","3–1","2–3","0–0","4–3","4–1","2–0","3–2","5–0","2–0","5–1","0–1","5–2","2–0","3–1","2–2","","3–1","2–2","1–2","1–3","2–1","1–3"
"Notts County","2–3","1–1","0–1","0–0","5–2","2–1","1–0","0–5","1–5","2–0","1–1","0–3","0–1","1–0","0–2","2–0","","1–0","1–0","1–2","2–4","1–0"
"Rotherham United","4–1","1–2","4–1","2–0","3–1","1–5","0–2","2–1","3–1","2–0","1–1","1–4","2–2","1–2","2–2","1–4","1–3","","1–6","0–2","5–2","1–2"
"Sheffield United","0–0","4–2","0–3","2–0","3–0","0–3","0–1","3–0","1–1","3–1","3–2","1–1","0–2","4–0","1–1","3–2","1–0","2–0","","3–0","2–2","2–1"
"Stoke City","3–1","2–4","3–0","3–5","3–0","2–2","2–1","0–0","1–2","4–1","1–1","5–1","1–3","1–1","1–2","4–1","0–1","4–1","2–3","","6–2","1–4"
"Swansea Town","4–2","0–4","5–1","6–4","0–1","1–3","7–0","4–3","4–4","0–2","1–1","0–0","1–2","5–1","0–2","1–4","1–3","1–3","0–2","4–1","","3–2"
"West Ham United","1–1","1–1","3–2","6–1","1–1","0–0","2–1","1–1","3–2","2–0","5–2","1–1","3–2","2–2","1–1","2–1","3–1","8–0","0–3","5–0","6–2",""
