"Home \ Away","ACC","BRW","BRA","BPA","BRY","CRL","CHE","CHF","CRE","DAR","GAT","HAL","HAR","HUL","MAN","OLD","ROC","SCU","SOU","STP","TRA","WRK","WRE","YOR"
"Accrington Stanley","","3–2","2–2","5–2","3–0","3–2","1–2","0–4","2–0","0–0","3–0","2–1","1–2","3–0","4–1","1–1","3–2","2–1","2–2","3–2","2–1","3–0","2–1","3–0"
"Barrow","3–1","","1–2","0–0","4–2","2–3","4–1","4–1","0–1","2–1","1–2","0–3","3–3","0–0","2–1","2–2","2–1","0–1","1–0","1–1","1–4","0–0","2–2","1–0"
"Bradford City","1–1","4–1","","2–1","3–3","1–1","5–0","0–0","2–1","3–1","0–1","3–0","0–1","1–0","1–1","0–0","1–0","2–3","2–0","2–1","3–0","0–0","3–1","3–2"
"Bradford Park Avenue","1–3","1–1","0–0","","1–4","4–1","3–0","2–0","3–1","4–1","2–2","0–2","2–3","4–4","0–2","1–3","2–2","1–2","3–5","1–0","1–0","3–3","2–0","0–2"
"Bury","1–1","4–1","1–0","1–0","","3–0","1–2","1–0","2–0","5–0","4–1","1–0","3–3","1–1","0–2","4–0","4–1","2–1","4–1","1–1","8–2","3–0","3–0","4–1"
"Carlisle United","6–1","2–1","0–3","2–3","0–2","","3–2","2–2","2–0","5–2","5–1","2–1","1–2","0–1","3–4","1–1","1–0","3–4","4–0","3–1","3–1","2–2","4–0","2–1"
"Chester","5–1","2–2","0–0","1–2","0–0","0–0","","0–0","3–2","0–1","1–1","1–1","2–1","1–1","1–2","0–0","2–0","1–2","1–1","3–0","1–3","4–3","0–1","9–2"
"Chesterfield","1–0","4–3","0–1","1–1","1–1","1–3","2–1","","1–1","2–0","5–3","1–1","2–1","0–0","1–4","2–1","2–2","1–1","0–0","2–1","2–1","3–0","3–2","2–0"
"Crewe Alexandra","4–1","1–4","2–2","3–0","0–1","0–0","0–3","1–2","","2–2","2–2","1–2","2–1","1–2","1–0","0–2","0–0","0–2","3–2","1–2","0–4","0–3","2–0","3–4"
"Darlington","0–2","3–0","4–0","4–0","3–2","1–2","2–3","2–0","3–0","","2–2","5–0","1–3","2–2","2–0","3–1","4–2","1–1","1–2","1–0","2–1","3–1","2–1","2–0"
"Gateshead","1–3","0–2","0–0","2–4","1–2","3–2","3–2","3–0","3–1","4–0","","0–0","0–0","3–1","2–1","1–0","3–2","1–2","2–1","3–0","2–3","3–0","1–1","0–0"
"Halifax Town","0–2","3–1","3–2","2–0","1–2","5–0","2–1","3–2","2–0","1–0","4–1","","3–0","2–2","4–0","4–0","4–1","0–1","4–1","0–0","1–1","2–2","0–0","2–1"
"Hartlepools United","1–1","4–1","2–0","0–0","2–1","0–1","2–1","0–2","1–1","5–1","2–2","5–0","","5–1","2–0","4–1","1–3","1–2","2–1","1–2","1–1","1–0","1–2","2–2"
"Hull City","1–0","1–1","1–3","3–3","2–1","4–0","3–0","1–0","1–0","2–1","1–1","5–2","1–1","","1–1","9–0","2–1","2–0","3–2","1–0","0–0","3–2","2–0","0–1"
"Mansfield Town","0–2","4–2","5–2","2–1","6–4","2–0","3–1","1–1","2–1","4–2","3–0","2–1","5–1","1–3","","4–4","2–4","3–5","3–0","2–2","4–1","6–3","2–1","2–1"
"Oldham Athletic","0–3","1–1","1–1","4–2","1–3","1–0","5–1","2–1","1–0","2–2","0–0","2–4","4–0","1–1","1–1","","0–0","2–1","3–2","2–4","1–0","4–1","4–1","2–3"
"Rochdale","3–0","1–1","0–2","1–2","1–1","1–0","1–1","3–4","3–0","5–4","0–0","5–1","7–0","2–1","3–0","1–3","","1–4","2–0","3–0","2–0","1–0","2–0","2–1"
"Scunthorpe & Lindsey United","1–0","1–0","0–2","6–2","1–0","3–1","2–1","1–1","3–2","5–0","2–1","1–1","2–0","2–0","3–3","1–1","2–0","","1–0","4–0","1–0","2–2","1–0","1–2"
"Southport","3–3","0–4","0–2","2–1","2–2","2–0","2–4","5–2","2–0","0–3","1–0","0–3","0–0","1–2","4–1","2–1","0–2","1–2","","1–0","0–3","0–1","1–3","0–1"
"Stockport County","0–0","2–0","0–4","3–0","4–0","4–1","2–2","4–1","5–1","4–1","5–1","4–2","2–1","1–0","3–3","3–0","0–3","2–1","1–2","","2–1","0–2","1–1","2–1"
"Tranmere Rovers","0–1","1–1","4–1","5–0","1–1","0–1","2–2","1–2","5–2","2–1","2–1","2–0","3–2","4–4","1–2","1–1","3–1","1–4","2–1","2–2","","1–0","2–1","6–1"
"Workington","0–1","0–1","1–1","1–2","3–0","2–1","5–3","0–2","3–2","2–2","1–1","4–4","1–0","3–2","4–0","4–2","1–2","3–2","2–0","1–1","1–2","","4–2","0–0"
"Wrexham","1–0","0–0","1–1","1–1","2–0","1–0","1–0","2–2","0–1","2–0","1–2","2–1","3–1","6–0","4–2","2–2","2–0","1–0","1–0","1–0","2–2","1–1","","2–2"
"York City","0–3","0–0","2–0","3–0","2–1","0–5","1–2","3–3","3–1","3–0","2–2","1–1","2–2","3–1","3–1","2–2","1–0","0–0","1–0","0–0","4–0","3–0","1–2",""
