"Home \ Away","ALD","B&BA","BRE","B&HA","COL","COV","CRY","EXE","GIL","MIL","NPC","NOR","NWC","PLY","PTV","QPR","REA","SHR","SOU","STD","SWI","TOR","WAL","WAT"
"Aldershot","","0–0","0–2","2–3","2–1","1–1","4–1","2–2","2–0","2–2","2–1","0–0","2–1","3–3","0–1","1–1","1–0","0–1","1–5","0–2","2–1","1–1","1–3","2–2"
"Bournemouth & Boscombe Athletic","5–1","","1–0","1–3","1–1","0–0","3–1","2–1","2–1","4–0","4–3","1–1","3–1","0–0","3–1","4–1","4–1","3–1","5–2","2–1","1–1","2–0","1–2","2–1"
"Brentford","4–2","4–2","","1–0","3–3","1–3","0–3","1–0","1–0","4–1","2–1","7–1","7–1","2–0","4–1","1–1","2–1","2–0","0–0","4–2","0–0","0–1","2–1","0–0"
"Brighton & Hove Albion","0–1","2–1","1–1","","5–2","3–0","3–2","2–2","5–2","4–2","5–3","1–4","0–1","3–2","0–0","1–1","1–2","2–1","1–1","3–1","1–0","1–1","2–0","6–0"
"Colchester United","1–1","3–2","1–1","1–2","","4–1","1–1","3–0","3–2","2–1","1–1","1–0","1–2","1–2","2–1","2–1","1–3","3–0","4–2","1–0","1–3","3–0","1–1","4–0"
"Coventry City","6–0","0–3","0–0","2–2","1–0","","2–2","6–1","1–1","1–4","1–2","1–1","2–1","1–1","1–0","1–1","1–0","5–0","0–0","1–0","0–1","2–1","4–1","2–2"
"Crystal Palace","1–1","3–0","2–1","2–4","1–1","2–0","","2–0","3–0","0–1","2–2","1–3","0–3","3–0","1–0","2–3","2–2","3–0","1–4","2–0","4–1","1–1","4–1","4–2"
"Exeter City","3–0","1–2","3–5","2–0","4–3","1–0","0–1","","1–3","2–0","0–2","0–1","2–2","4–2","1–0","0–0","1–1","2–1","2–2","0–5","0–1","5–1","2–1","1–2"
"Gillingham","1–1","1–1","3–2","0–1","2–3","3–2","3–0","1–1","","1–0","0–1","1–2","1–0","1–0","0–2","1–1","2–1","1–3","2–1","2–0","2–1","1–0","3–0","1–1"
"Millwall","3–3","0–2","0–1","2–2","1–4","4–1","3–0","3–0","3–1","","1–2","0–0","2–2","0–1","2–1","5–0","0–0","1–3","1–2","1–2","1–1","1–2","1–3","2–3"
"Newport County","3–2","3–1","1–2","1–2","2–2","2–2","0–0","0–0","5–0","1–2","","0–1","1–0","0–2","2–1","4–2","0–0","2–0","1–1","1–0","4–1","3–2","2–0","2–1"
"Northampton Town","0–0","4–0","3–1","2–4","4–1","4–0","1–2","9–0","3–1","7–2","0–3","","0–1","5–0","3–2","1–5","1–2","2–0","1–3","1–3","3–0","1–0","3–0","2–3"
"Norwich City","1–3","2–2","3–2","0–0","1–1","1–1","3–2","3–2","2–0","1–1","5–2","2–2","","1–0","3–0","2–0","2–2","2–0","0–2","0–2","1–1","3–1","2–1","1–1"
"Plymouth Argyle","4–2","3–1","0–0","2–1","1–1","4–0","1–0","1–0","2–1","1–0","1–0","3–0","0–1","","1–0","3–1","1–0","2–2","4–0","2–3","2–2","1–0","2–1","2–1"
"Port Vale","6–1","2–3","0–1","2–2","2–0","0–1","4–0","3–2","2–0","1–1","2–2","3–0","2–2","0–0","","2–1","1–2","0–0","4–0","1–3","3–1","2–1","2–1","5–0"
"Queens Park Rangers","0–1","3–0","1–0","0–1","1–0","3–0","4–2","1–1","1–1","3–0","1–1","1–0","1–1","1–0","2–1","","3–0","3–0","3–2","1–1","2–1","1–1","1–0","3–0"
"Reading","3–0","2–0","1–2","1–1","7–0","3–1","2–2","2–0","4–0","4–1","1–0","5–2","1–2","1–3","3–0","3–0","","2–2","1–0","1–1","0–4","1–0","3–1","1–1"
"Shrewsbury Town","5–1","0–4","0–2","2–0","0–0","1–3","0–0","1–0","2–1","0–1","1–1","3–1","0–0","2–0","1–0","2–1","0–2","","1–3","1–1","1–3","3–0","2–0","1–1"
"Southampton","2–2","7–0","4–2","5–0","3–2","7–1","2–1","6–0","5–1","3–2","2–1","2–1","7–3","0–1","0–3","5–0","0–1","2–2","","2–2","1–3","4–2","4–1","5–0"
"Southend United","1–2","2–0","0–0","0–2","2–3","5–1","1–1","2–0","2–0","2–0","1–1","6–3","5–2","2–1","1–1","6–0","2–1","5–1","3–2","","2–3","0–0","4–1","2–1"
"Swindon Town","3–0","1–0","4–1","2–2","4–0","2–1","0–0","5–1","1–1","3–0","4–0","5–1","1–2","1–0","0–0","1–1","1–1","1–0","1–0","2–1","","3–1","2–3","0–0"
"Torquay United","2–1","3–1","0–1","2–0","1–3","1–0","1–1","1–3","3–2","2–3","2–2","1–0","1–1","0–2","1–1","3–1","1–4","0–2","1–1","2–2","2–2","","2–1","1–0"
"Walsall","0–0","3–1","0–2","2–3","3–0","4–1","2–1","3–0","1–1","4–2","3–0","2–1","2–1","0–2","3–0","1–2","0–0","0–1","1–1","1–1","1–1","0–0","","1–3"
"Watford","1–3","1–1","4–1","0–1","1–1","1–0","2–1","5–4","3–0","3–0","2–2","0–2","1–4","0–2","0–2","0–0","1–1","3–0","3–0","1–1","0–0","1–0","1–1",""
