"Home \ Away","ARS","AST","BIR","BLB","BLP","BOL","BUR","CHE","EVE","LEE","LEI","LUT","MCI","MUN","NEW","NOT","POR","PNE","TOT","WBA","WHU","WOL"
"Arsenal","","1–2","2–1","1–1","1–4","6–1","3–0","1–1","3–1","1–0","5–1","1–0","4–1","3–2","3–2","3–1","5–2","1–2","3–1","4–3","1–2","1–1"
"Aston Villa","1–2","","1–1","1–0","1–1","2–1","0–0","3–1","2–4","2–1","1–2","3–1","1–1","0–2","2–1","2–3","3–2","2–0","1–1","1–4","1–2","1–3"
"Birmingham City","4–1","4–1","","3–0","4–2","1–3","2–1","4–1","2–1","4–1","4–2","0–1","6–1","0–4","1–0","0–3","2–2","5–1","5–1","0–6","3–0","0–3"
"Blackburn Rovers","4–2","2–3","3–2","","0–0","1–1","4–1","0–3","2–1","2–4","5–0","3–1","2–1","1–3","3–0","3–0","2–1","4–1","5–0","0–0","1–2","1–2"
"Blackpool","1–2","2–1","2–0","1–1","","4–0","1–1","5–0","1–1","3–0","2–1","3–0","0–0","2–1","3–0","1–0","1–1","4–2","0–0","1–1","2–0","0–1"
"Bolton Wanderers","2–1","1–3","2–0","3–1","4–0","","1–2","6–0","0–3","4–0","3–3","4–2","4–1","6–3","1–1","3–2","2–1","2–1","4–1","2–1","0–2","2–2"
"Burnley","3–1","3–1","0–1","0–0","3–1","0–1","","4–0","3–1","3–1","3–3","2–2","3–4","4–2","2–2","0–2","2–1","1–0","3–1","1–3","1–0","0–2"
"Chelsea","0–3","2–1","1–0","0–2","3–1","0–1","1–3","","3–1","2–0","5–2","3–3","2–0","2–3","6–5","4–1","2–2","3–1","4–2","0–2","3–2","6–2"
"Everton","1–6","2–1","3–1","2–2","3–1","1–0","1–2","3–1","","3–2","0–1","3–1","3–1","3–2","0–2","1–3","2–1","1–4","2–1","3–3","2–2","0–1"
"Leeds United","2–1","0–0","0–0","2–1","1–1","3–4","1–1","4–0","1–0","","1–1","1–1","0–4","1–2","3–2","1–0","1–1","1–3","3–1","0–1","1–0","1–3"
"Leicester City","2–3","6–3","2–4","1–1","0–3","0–0","1–1","0–3","2–0","0–1","","3–1","3–1","2–1","0–1","0–3","3–1","2–2","3–4","2–2","1–1","1–0"
"Luton Town","6–3","2–1","0–1","1–1","1–1","0–0","6–2","2–1","0–1","1–1","4–3","","5–1","0–0","4–2","5–1","3–1","4–1","1–2","1–1","4–1","0–1"
"Manchester City","0–0","0–0","4–1","0–1","0–2","3–3","1–4","5–1","1–3","2–1","3–1","1–1","","1–1","5–1","1–1","3–2","1–1","5–1","0–2","3–1","1–4"
"Manchester United","1–1","2–1","1–0","6–1","3–1","3–0","1–3","5–2","2–1","4–0","4–1","2–1","4–1","","4–4","1–1","6–1","0–2","2–2","1–2","4–1","2–1"
"Newcastle United","1–0","1–0","1–1","1–5","1–0","2–0","5–2","1–2","4–0","2–2","3–1","1–0","4–1","1–1","","1–3","2–0","1–2","1–2","1–2","3–1","3–4"
"Nottingham Forest","1–1","2–0","1–7","1–1","2–0","3–0","1–2","1–3","2–1","0–3","1–4","3–1","4–0","0–3","3–0","","5–0","0–1","1–1","1–1","4–0","1–3"
"Portsmouth","0–1","5–2","1–1","2–1","1–2","0–1","4–2","2–2","2–3","2–0","4–1","2–2","3–4","1–3","1–5","0–1","","1–2","1–1","2–6","1–2","3–5"
"Preston North End","2–1","4–2","3–0","1–2","0–3","0–0","0–4","2–0","3–1","1–2","3–1","0–0","2–0","3–4","3–4","3–5","3–1","","2–2","2–4","2–1","1–2"
"Tottenham Hotspur","1–4","3–2","0–4","3–1","2–3","1–1","2–2","4–0","10–4","2–3","6–0","3–0","3–1","1–3","1–3","1–0","4–4","1–2","","5–0","1–4","2–1"
"West Bromwich Albion","1–1","1–1","2–2","2–3","3–1","1–1","2–4","4–0","2–3","1–2","2–2","2–0","3–0","1–3","2–2","2–0","1–2","1–1","4–3","","2–1","2–1"
"West Ham United","0–0","7–2","1–2","6–3","1–0","4–3","1–0","4–2","3–2","2–3","0–3","0–0","5–1","3–2","3–0","5–3","6–0","1–1","2–1","3–1","","2–0"
"Wolverhampton Wanderers","6–1","4–0","3–1","5–0","2–0","1–2","3–3","1–2","1–0","6–2","3–0","5–0","2–0","4–0","1–3","5–1","7–0","2–0","1–1","5–2","1–1",""
