"Home \ Away","ALD","BRW","BPA","CRL","CHE","COV","CRE","CRY","DAR","EXE","GAT","GIL","HAR","MIL","NOR","OLD","PTV","SHR","SOU","TOR","WAL","WAT","WRK","YOR"
"Aldershot","","0–1","3–3","4–0","1–0","0–4","0–0","1–2","1–4","1–0","8–1","4–2","2–4","4–2","1–3","1–3","0–4","0–0","3–2","1–4","0–5","0–0","2–0","0–1"
"Barrow","3–4","","2–3","1–3","1–2","0–3","0–2","1–0","2–1","1–0","0–3","2–2","1–1","3–1","2–2","2–1","1–2","3–4","3–0","2–2","0–0","0–4","2–2","2–3"
"Bradford Park Avenue","5–1","0–2","","0–3","3–0","2–0","0–2","5–0","1–2","0–3","4–1","2–0","4–1","4–1","1–2","2–1","0–2","3–1","3–0","3–1","3–2","1–1","3–2","2–1"
"Carlisle United","1–0","1–0","1–1","","4–3","1–6","2–0","3–3","1–1","1–2","4–2","1–2","1–0","0–2","2–1","3–0","0–3","0–0","5–0","0–1","1–1","2–0","3–2","0–0"
"Chester","2–2","2–0","2–0","2–1","","1–1","0–1","3–2","1–0","4–2","0–1","1–2","1–1","0–0","2–3","5–2","1–2","3–5","2–1","0–2","2–0","2–1","1–2","2–2"
"Coventry City","7–1","2–0","0–0","1–2","5–1","","3–2","2–0","0–0","2–0","4–1","1–1","4–1","1–0","2–0","1–0","1–0","3–2","1–0","3–0","0–0","1–0","4–0","2–0"
"Crewe Alexandra","5–0","5–0","4–1","3–1","2–4","1–1","","4–1","2–1","0–0","0–0","0–2","0–2","4–1","1–2","5–0","2–0","2–4","1–1","1–1","5–3","1–3","2–0","2–4"
"Crystal Palace","4–1","2–2","2–0","0–2","3–3","1–1","6–2","","4–1","1–1","3–1","4–1","1–2","4–0","1–1","4–0","1–1","4–3","1–0","3–1","1–3","3–0","1–1","0–0"
"Darlington","2–3","5–2","1–1","0–1","0–0","1–4","1–1","1–4","","1–1","3–2","1–2","3–1","0–2","2–2","1–1","2–0","2–1","4–0","3–2","2–3","1–1","1–1","0–1"
"Exeter City","2–0","4–0","4–0","2–1","1–1","2–1","3–0","3–1","2–2","","1–1","3–0","3–0","3–1","3–4","3–2","3–4","1–0","3–2","2–2","3–0","3–0","1–0","0–2"
"Gateshead","1–0","4–0","1–4","4–1","0–1","1–1","0–0","1–3","1–3","1–2","","2–0","3–0","1–2","4–1","2–1","0–4","1–2","1–1","1–0","2–1","1–0","0–3","1–0"
"Gillingham","3–0","4–2","1–1","1–1","3–3","2–0","3–0","1–1","0–0","0–2","3–0","","4–1","1–2","4–1","3–2","0–2","2–1","2–0","3–2","4–2","2–1","5–1","2–2"
"Hartlepool","0–3","10–1","3–0","1–2","1–3","2–1","2–1","4–1","1–0","3–3","0–0","3–1","","3–1","3–0","4–0","1–5","0–2","1–1","2–4","1–1","4–3","0–3","1–5"
"Millwall","4–0","3–0","1–1","1–0","0–1","1–1","2–0","2–1","1–2","1–1","0–2","2–0","3–2","","3–0","4–2","4–2","0–0","1–1","2–0","1–3","4–1","1–1","5–2"
"Northampton Town","1–0","2–0","4–1","0–0","4–0","4–0","3–0","3–0","1–3","1–1","1–0","4–2","2–1","0–1","","2–1","2–4","3–3","3–1","1–1","3–2","2–1","1–1","1–2"
"Oldham Athletic","0–1","2–0","1–0","2–0","3–5","2–0","2–1","3–0","1–3","2–1","3–0","3–1","1–0","1–3","2–1","","0–2","3–1","2–0","1–0","1–4","3–5","1–0","0–1"
"Port Vale","3–2","4–1","4–2","1–1","4–0","3–0","1–1","2–3","1–1","5–3","8–0","3–1","1–1","5–2","1–4","0–0","","2–0","4–1","3–1","2–1","1–3","2–0","2–2"
"Shrewsbury Town","3–1","1–2","0–1","4–1","3–0","4–1","2–2","2–1","1–0","3–0","1–1","3–2","3–0","1–2","4–0","0–0","4–3","","6–2","5–0","2–0","4–2","1–1","2–2"
"Southport","0–1","0–0","1–0","0–1","1–1","1–2","3–0","0–2","2–0","0–1","2–2","2–1","1–1","2–1","1–2","1–1","2–2","0–1","","2–2","1–1","0–3","3–0","1–0"
"Torquay United","1–1","1–0","2–1","0–0","4–0","1–1","6–2","0–2","4–1","3–4","0–1","3–1","1–3","2–0","4–2","2–1","1–1","1–4","1–0","","1–2","2–3","4–1","1–1"
"Walsall","2–4","3–1","3–2","5–0","2–2","3–0","6–0","0–2","0–0","3–0","0–1","1–2","0–0","2–1","2–1","3–0","1–1","2–3","5–1","2–2","","3–2","3–0","5–0"
"Watford","2–1","1–1","2–1","2–2","4–2","1–4","0–1","2–2","0–0","2–1","5–1","2–2","4–1","1–1","3–1","2–1","0–2","1–4","5–1","1–2","1–2","","3–0","2–3"
"Workington","1–0","2–2","2–1","0–1","1–0","2–2","1–0","0–4","3–3","2–2","4–2","0–1","3–0","1–1","3–3","2–0","2–2","1–1","2–0","3–3","0–1","3–1","","2–2"
"York City","0–0","1–0","4–0","1–1","1–1","0–0","4–0","1–1","2–1","0–2","1–0","3–1","1–1","3–3","2–1","3–1","0–0","2–0","2–0","1–0","3–2","0–0","2–2",""
