"Home \ Away","BAR","B&HA","BRI","BRR","CAR","CHA","DER","FUL","GRI","HUD","IPS","LEY","LIN","LIV","MID","ROT","SCU","SHU","SHW","STK","SUN","SWA"
"Barnsley","","0–2","4–7","0–0","3–2","7–1","0–0","2–4","3–1","1–0","3–0","1–3","2–2","0–2","1–0","1–1","0–1","1–3","0–1","2–1","0–2","3–1"
"Brighton & Hove Albion","1–1","","2–2","1–1","2–2","2–2","3–1","3–0","2–0","2–0","4–1","2–2","2–1","2–2","4–6","3–0","2–0","2–0","1–3","2–2","2–0","2–2"
"Bristol City","3–1","3–0","","1–1","2–3","2–4","1–3","1–1","1–0","2–1","3–0","0–1","1–0","1–3","2–2","6–1","0–1","3–1","1–2","2–1","4–1","4–0"
"Bristol Rovers","0–2","2–0","1–2","","2–0","2–1","2–1","0–0","7–3","1–1","1–1","1–3","3–0","3–0","3–1","4–1","4–0","1–1","2–1","1–0","2–1","4–4"
"Cardiff City","0–1","3–1","1–0","2–4","","1–2","0–0","1–2","4–1","3–2","1–2","2–1","3–0","3–0","3–2","1–0","0–2","3–1","2–2","2–1","2–1","0–1"
"Charlton Athletic","4–0","2–3","4–1","4–3","0–0","","1–2","2–1","2–1","2–1","5–1","4–1","3–2","2–3","1–0","5–2","2–3","1–1","3–3","1–2","3–2","2–1"
"Derby County","3–0","1–3","4–1","3–2","1–3","3–2","","2–0","3–0","3–1","3–2","1–2","1–0","3–2","0–3","1–1","3–1","2–1","1–4","3–0","2–0","3–1"
"Fulham","5–2","3–1","1–0","1–0","2–1","2–1","4–2","","3–0","1–0","3–2","5–2","4–2","0–1","3–2","4–0","1–1","4–2","6–2","6–1","6–2","1–2"
"Grimsby Town","3–3","1–1","2–0","1–2","5–1","1–5","3–0","2–2","","2–1","2–3","4–1","4–2","2–3","3–2","1–1","1–1","1–2","0–2","2–2","1–1","0–1"
"Huddersfield Town","2–1","3–2","0–1","1–2","3–0","1–0","1–1","2–1","2–0","","3–0","0–0","2–1","5–0","5–1","3–0","0–1","0–2","1–2","1–2","1–1","3–2"
"Ipswich Town","3–1","5–3","1–1","0–2","3–3","3–1","1–1","1–2","2–1","0–0","","2–1","4–1","2–0","2–1","1–0","3–1","1–0","0–2","0–2","0–2","3–2"
"Leyton Orient","5–1","2–2","4–2","1–3","3–0","6–1","1–3","0–2","0–1","2–5","2–0","","0–0","1–3","5–2","2–0","2–1","1–1","0–2","0–1","6–0","0–0"
"Lincoln City","2–1","4–2","0–2","4–1","4–2","3–3","1–4","2–4","4–4","1–1","3–1","2–0","","2–1","1–1","1–0","3–3","1–2","0–1","3–1","3–1","1–2"
"Liverpool","3–2","5–0","3–2","2–1","1–2","3–0","3–0","0–0","3–3","2–2","3–1","3–0","3–2","","1–2","4–0","3–0","2–1","3–2","3–4","3–1","4–0"
"Middlesbrough","3–1","9–0","0–0","2–2","1–1","1–3","5–0","2–3","1–0","3–1","2–3","4–2","1–2","2–1","","1–2","6–1","0–0","2–2","0–0","0–0","6–2"
"Rotherham United","3–0","0–1","1–2","3–3","1–0","4–3","3–0","4–0","2–1","0–1","1–2","1–1","1–0","0–1","1–4","","1–0","2–2","1–0","0–0","0–4","3–3"
"Scunthorpe United","1–0","2–3","3–3","0–0","1–0","3–3","2–2","1–2","1–3","0–3","1–1","2–0","3–1","1–2","0–3","2–0","","1–3","1–4","1–1","3–2","3–1"
"Sheffield United","5–0","3–1","4–0","5–2","1–1","5–0","1–2","2–0","2–1","0–0","2–0","2–3","6–1","2–0","0–1","2–0","4–1","","1–0","2–1","3–1","2–0"
"Sheffield Wednesday","5–0","2–0","2–3","3–1","3–1","4–1","1–1","2–2","6–0","4–1","3–1","2–0","7–0","1–0","2–0","5–0","2–0","2–0","","4–1","6–0","2–1"
"Stoke City","2–1","3–0","2–1","2–2","0–1","2–1","2–1","4–1","4–0","5–1","1–0","3–2","1–0","0–2","3–1","3–0","4–3","1–2","3–0","","0–0","3–0"
"Sunderland","2–2","4–1","3–1","3–1","0–2","0–3","3–0","1–2","1–0","1–0","0–2","4–0","2–0","2–1","0–0","1–1","3–1","4–1","3–3","3–1","","2–1"
"Swansea Town","2–1","4–2","1–0","2–1","1–3","2–2","4–4","1–2","1–1","0–1","4–2","3–3","3–1","3–3","5–2","3–0","3–0","0–2","4–0","1–0","5–0",""
