"Home \ Away","ACC","B&BA","BRA","BRE","BRY","CHF","COL","DON","HAL","HUL","MAN","NPC","NWC","NTC","PLY","QPR","REA","ROC","SOU","STD","STP","SWI","TRA","WRE"
"Accrington Stanley","","3–2","1–3","1–1","0–2","3–1","1–1","2–0","4–2","0–1","2–0","2–2","0–2","3–0","1–1","2–4","4–3","4–2","0–0","3–0","2–2","0–0","3–1","1–1"
"Bournemouth & Boscombe Athletic","5–2","","4–0","0–0","2–0","2–1","1–1","1–0","3–0","1–0","3–3","1–1","2–0","0–0","1–1","2–0","0–1","0–0","2–1","1–4","2–0","3–3","4–0","0–0"
"Bradford City","0–0","0–1","","3–0","1–0","1–0","1–3","3–0","1–3","2–1","1–1","1–0","2–2","4–1","0–0","1–0","1–2","7–1","2–3","6–1","4–2","1–2","2–0","3–2"
"Brentford","2–1","1–1","4–0","","0–0","1–1","2–1","0–1","2–0","1–1","2–0","3–0","0–4","4–0","3–0","1–0","3–1","2–1","2–0","6–1","1–4","2–2","5–2","2–1"
"Bury","3–1","5–1","2–2","1–1","","1–0","0–0","5–0","3–1","2–1","2–2","0–0","3–2","0–1","1–1","3–1","1–1","6–1","1–0","2–3","3–3","0–0","4–2","3–0"
"Chesterfield","0–1","1–0","2–0","1–2","3–0","","2–2","2–0","2–3","2–1","3–1","3–1","1–1","1–0","1–2","2–3","1–0","0–0","3–3","4–0","1–0","1–3","3–2","1–1"
"Colchester United","1–0","3–1","3–2","0–4","1–3","1–0","","1–0","3–1","1–3","1–3","3–2","2–1","4–1","2–0","3–0","3–1","2–1","1–3","0–1","8–2","1–0","1–1","1–1"
"Doncaster Rovers","3–0","5–1","0–3","1–0","0–1","2–1","2–1","","1–2","0–2","0–2","1–0","0–1","2–1","4–6","2–0","2–5","1–1","3–2","2–1","4–1","2–0","2–0","1–1"
"Halifax Town","0–2","0–1","3–3","0–0","4–2","3–2","4–1","5–1","","1–2","0–0","3–1","1–1","1–1","0–1","2–1","4–1","2–1","2–0","1–0","4–3","1–0","3–0","4–1"
"Hull City","4–2","5–3","4–0","3–1","2–0","3–1","3–0","5–1","4–0","","5–2","2–3","3–3","5–0","1–1","1–0","2–0","2–1","3–0","3–2","3–1","0–0","1–0","1–0"
"Mansfield Town","3–2","1–4","2–1","1–1","0–2","2–1","3–2","3–1","4–3","1–1","","2–1","1–1","3–0","1–4","3–4","1–0","0–0","1–6","1–4","2–1","0–0","0–2","3–1"
"Newport County","2–1","4–1","3–2","0–1","1–1","0–1","0–1","3–1","0–2","1–3","1–0","","2–2","3–1","0–1","3–1","2–1","1–0","4–2","3–1","2–0","3–0","3–0","2–1"
"Norwich City","2–4","2–2","4–2","4–1","3–2","2–1","1–2","3–0","3–1","0–1","1–0","3–0","","3–3","1–1","5–1","1–0","2–1","3–1","4–0","1–3","1–1","0–0","2–2"
"Notts County","1–1","4–3","1–3","0–0","1–1","3–1","0–1","2–2","4–4","1–1","3–4","1–1","1–3","","1–2","0–1","3–1","1–1","1–2","1–4","0–2","1–0","1–1","2–0"
"Plymouth Argyle","2–4","3–1","1–1","1–1","3–0","2–0","1–1","4–0","1–1","1–1","8–3","3–2","0–1","3–0","","3–2","2–2","2–1","1–0","3–1","2–1","3–2","4–0","2–2"
"Queens Park Rangers","3–1","0–4","3–0","1–2","2–1","2–2","4–2","3–1","3–1","1–1","1–1","4–2","2–1","2–1","2–1","","2–0","3–0","2–2","1–3","0–0","2–1","1–1","5–0"
"Reading","5–0","2–0","3–2","3–1","1–0","1–2","0–0","2–0","3–0","2–0","3–3","1–3","3–1","3–1","0–2","2–2","","3–0","4–1","3–0","2–1","3–1","0–0","2–1"
"Rochdale","1–0","2–1","0–3","0–0","1–0","0–0","0–1","1–0","1–0","0–1","2–2","1–1","1–2","1–2","0–2","2–2","1–0","","1–0","1–1","0–2","1–1","1–4","3–1"
"Southampton","3–1","0–0","1–2","0–6","4–2","0–0","3–0","1–1","5–0","6–1","3–2","3–3","1–1","3–0","5–1","1–0","3–3","6–1","","3–2","2–1","1–1","2–3","1–2"
"Southend","4–2","2–0","1–1","2–0","1–0","2–5","1–1","5–0","3–2","1–1","5–1","1–0","1–0","5–2","0–0","4–0","2–2","3–1","1–1","","3–1","0–2","1–3","4–1"
"Stockport County","0–0","3–1","1–1","1–1","0–1","1–1","0–1","2–0","0–1","2–1","4–1","2–1","2–3","1–1","2–2","2–3","0–1","1–0","4–0","0–1","","2–0","1–0","2–2"
"Swindon Town","1–2","0–1","2–2","1–1","0–0","1–2","2–0","0–0","0–2","2–0","2–1","2–1","4–3","3–1","3–4","2–0","2–0","2–1","3–1","2–1","3–0","","1–2","1–0"
"Tranmere","9–0","4–0","3–1","1–2","4–0","2–0","3–3","3–0","1–2","1–0","2–2","2–1","0–1","0–3","2–0","2–0","2–1","2–1","2–0","1–1","3–1","3–1","","1–2"
"Wrexham","2–2","1–0","3–3","2–1","0–0","3–4","2–0","2–1","1–1","5–1","2–1","0–0","1–2","3–2","1–1","1–0","0–1","1–0","1–3","3–1","3–1","1–0","2–5",""
