"Home \ Away","ARS","BIR","BLB","BLP","BOL","BUR","CHE","EVE","FUL","LEE","LEI","LUT","MCI","MUN","NEW","NOT","PNE","SHW","TOT","WBA","WHU","WOL"
"Arsenal","","3–0","5–2","2–1","2–1","2–4","1–4","2–1","2–0","1–1","1–1","0–3","3–1","5–2","1–0","1–1","0–3","0–1","1–1","2–4","1–3","4–4"
"Birmingham City","3–0","","1–0","2–1","2–5","0–1","1–1","2–2","2–4","2–0","3–4","1–1","4–2","1–1","4–3","4–1","2–1","0–0","0–1","1–7","2–0","0–1"
"Blackburn Rovers","1–1","2–1","","1–0","1–0","3–2","1–0","3–1","4–0","3–2","0–1","0–2","2–1","1–1","1–1","1–2","1–4","3–1","1–4","3–2","6–2","0–1"
"Blackpool","2–1","0–1","1–0","","3–2","1–1","3–1","0–0","3–1","3–3","3–3","0–0","1–3","0–6","2–0","0–1","0–2","0–2","2–2","2–0","3–2","3–1"
"Bolton Wanderers","0–1","4–1","0–3","0–3","","2–1","2–0","2–1","3–2","1–1","3–1","2–2","3–1","1–1","1–4","1–1","2–1","1–0","2–1","0–0","5–1","2–1"
"Burnley","3–2","3–1","1–0","1–4","4–0","","2–1","5–2","0–0","0–1","1–0","3–0","4–3","1–4","2–1","8–0","2–1","3–3","2–0","2–1","1–3","4–1"
"Chelsea","1–3","4–2","3–1","2–3","0–2","4–1","","1–0","4–2","1–3","2–2","3–0","3–0","3–6","2–2","1–1","4–4","0–4","1–3","2–2","2–4","1–5"
"Everton","3–1","4–0","2–0","4–0","0–1","1–2","6–1","","0–0","1–0","6–1","2–2","2–1","2–1","1–2","6–1","4–0","2–1","2–1","2–2","0–1","0–2"
"Fulham","3–0","2–2","0–1","1–0","1–1","1–0","1–3","2–0","","5–0","1–1","4–2","5–2","0–5","4–3","3–1","1–2","1–2","1–1","2–1","1–0","3–1"
"Leeds United","3–2","3–3","0–1","2–4","1–0","2–3","2–1","3–3","1–4","","1–1","1–1","4–3","2–2","2–3","1–0","2–1","1–3","2–4","1–4","3–0","0–3"
"Leicester City","2–2","1–3","2–3","1–1","1–2","2–1","3–1","3–3","0–1","3–2","","3–3","5–0","3–1","0–2","0–1","2–2","2–0","1–1","0–1","2–1","2–1"
"Luton Town","0–1","1–1","1–1","0–1","0–0","1–1","1–2","2–1","4–1","0–1","2–0","","1–2","2–3","3–4","1–0","1–3","0–1","1–0","0–0","3–1","1–5"
"Manchester City","1–2","3–0","2–1","2–3","1–0","1–2","1–1","4–0","3–1","3–3","3–2","1–2","","3–0","3–4","2–1","2–1","4–1","1–2","0–1","3–1","4–6"
"Manchester United","4–2","2–1","1–0","3–1","2–0","1–2","0–1","5–0","3–3","6–0","4–1","4–1","0–0","","3–2","3–1","1–1","3–1","1–5","2–3","5–3","0–2"
"Newcastle United","4–1","1–0","3–1","1–1","0–2","1–3","1–1","8–2","3–1","2–1","0–2","3–2","0–1","7–3","","2–1","1–2","3–3","1–5","0–0","0–0","1–0"
"Nottingham Forest","0–3","0–2","2–2","0–0","2–0","0–1","3–1","1–1","2–2","4–1","1–0","2–0","1–2","1–5","3–0","","1–1","2–1","1–3","1–2","3–1","0–0"
"Preston North End","0–3","3–2","5–3","4–1","1–0","1–0","4–5","0–0","4–1","1–1","1–1","2–0","1–5","4–0","1–2","1–0","","3–4","1–1","1–1","1–1","4–3"
"Sheffield Wednesday","5–1","2–4","3–0","5–0","1–0","1–1","1–1","2–2","1–1","1–0","2–2","2–0","1–0","4–2","2–0","0–1","2–2","","2–1","2–0","7–0","2–2"
"Tottenham Hotspur","3–0","0–0","2–1","4–1","0–2","1–1","0–1","3–0","1–1","1–4","1–2","1–1","0–1","2–1","4–0","2–1","5–1","4–1","","2–2","2–2","5–1"
"West Bromwich Albion","1–0","1–1","2–0","2–1","1–1","0–0","1–3","6–2","2–4","3–0","5–0","4–0","2–0","3–2","2–2","2–3","4–0","3–1","1–2","","3–2","0–1"
"West Ham United","0–0","3–1","2–1","1–0","1–2","2–5","4–2","2–2","1–2","1–2","3–0","3–1","4–1","2–1","3–5","4–1","2–1","1–1","1–2","4–1","","3–2"
"Wolverhampton Wanderers","3–3","2–0","3–1","1–1","0–1","6–1","3–1","2–0","9–0","4–2","0–3","3–2","4–2","3–2","2–0","3–1","3–3","3–1","1–3","3–1","5–0",""
