"Home \ Away","ALD","BRW","BPA","CRL","CHE","CRE","CRY","DAR","DON","EXE","GAT","GIL","HAR","MIL","NOR","NTC","OLD","ROC","SOU","STP","TOR","WAL","WAT","WRK"
"Aldershot","","6–1","6–1","0–2","3–2","6–1","1–0","3–0","1–1","1–0","3–2","3–1","3–0","1–2","3–0","1–1","2–0","0–0","0–0","1–0","1–3","0–2","2–2","3–1"
"Barrow","3–0","","3–3","5–1","3–0","0–0","0–1","4–1","1–1","3–3","2–2","0–1","2–2","2–2","0–1","4–3","2–0","3–0","3–1","5–1","1–1","2–3","2–1","2–1"
"Bradford Park Avenue","3–2","2–0","","1–1","1–1","2–2","3–1","1–0","3–3","1–0","4–2","3–0","6–2","1–1","3–0","1–1","2–0","0–0","3–0","1–1","2–2","1–3","1–1","3–2"
"Carlisle United","0–0","0–1","1–3","","2–1","4–2","2–2","1–0","2–0","0–4","4–0","0–1","1–1","3–3","0–2","2–0","0–1","1–1","1–0","0–4","2–0","1–1","1–0","0–1"
"Chester","5–1","3–2","1–1","0–1","","0–0","0–1","1–1","2–0","1–0","4–2","4–2","1–1","2–1","1–1","2–1","0–0","2–1","2–2","1–2","1–1","1–3","0–1","3–1"
"Crewe Alexandra","3–2","3–2","4–1","3–0","2–1","","1–1","5–0","2–0","1–1","4–1","1–2","1–0","2–0","0–1","2–1","2–2","1–3","5–1","4–2","1–2","1–5","1–3","2–0"
"Crystal Palace","1–1","9–0","1–0","2–1","3–4","4–0","","2–0","4–0","1–0","2–2","3–3","5–2","1–2","0–1","1–1","3–2","4–0","2–2","3–1","1–1","1–2","8–1","0–1"
"Darlington","4–0","3–1","4–3","2–1","0–0","1–1","1–1","","2–2","0–1","2–1","2–1","2–0","1–1","3–2","5–2","1–3","0–0","5–0","1–2","1–0","0–2","0–3","0–3"
"Doncaster Rovers","1–2","1–4","2–0","4–1","2–0","4–0","1–2","0–1","","0–1","1–0","3–0","5–1","0–0","3–2","0–4","0–0","2–1","5–0","1–0","1–3","1–1","1–0","2–0"
"Exeter City","3–1","2–2","3–1","1–3","2–0","2–4","2–2","0–0","4–2","","2–1","2–0","5–0","2–2","1–1","3–3","4–3","4–1","1–1","2–1","1–0","1–2","2–0","1–0"
"Gateshead","4–1","3–1","1–2","1–0","0–1","4–2","0–2","1–3","5–0","1–0","","2–2","1–1","1–0","1–3","0–0","2–0","1–2","1–0","2–1","0–2","3–0","1–3","2–1"
"Gillingham","3–1","1–0","2–0","3–1","3–1","1–1","0–0","2–0","2–1","2–1","5–4","","3–1","3–1","2–1","0–1","2–2","2–0","4–1","0–2","1–0","2–0","2–0","2–2"
"Hartlepools United","3–0","0–1","3–0","1–2","2–3","2–0","0–1","1–2","2–6","4–3","3–0","3–1","","0–2","1–4","2–4","2–2","0–1","3–2","2–1","4–0","1–2","0–0","1–4"
"Millwall","2–0","3–3","2–0","1–1","7–1","1–4","1–0","5–2","1–1","2–3","4–0","3–3","4–0","","2–1","1–1","0–1","2–0","2–2","3–2","2–0","1–1","2–2","3–0"
"Northampton Town","2–0","6–0","3–1","2–2","1–0","0–0","0–2","3–1","3–1","1–1","2–0","2–1","3–0","0–3","","4–2","8–1","3–1","2–2","1–1","3–0","0–1","1–2","0–0"
"Notts County","5–3","1–2","0–1","2–1","2–1","4–1","7–1","5–4","3–4","3–0","4–0","3–1","4–0","2–1","2–1","","3–1","2–1","4–1","3–0","1–1","2–1","2–1","2–0"
"Oldham Athletic","0–1","1–0","2–0","0–1","0–0","2–4","1–0","1–3","1–1","1–2","1–1","3–1","1–2","1–1","0–1","0–3","","1–0","0–1","0–0","0–2","2–4","0–0","2–2"
"Rochdale","2–0","4–1","0–1","3–0","0–0","4–2","4–0","2–0","2–0","3–0","2–0","1–0","2–0","0–1","2–2","1–4","2–0","","1–0","3–0","4–2","0–2","3–3","1–1"
"Southport","0–4","1–0","1–1","1–1","3–1","0–1","3–1","0–1","1–1","3–2","1–0","1–1","1–1","2–1","1–0","0–4","1–0","2–2","","3–0","1–2","1–4","1–1","2–2"
"Stockport County","1–1","1–0","0–0","0–0","3–0","1–0","0–1","1–0","2–0","1–0","0–0","1–1","2–1","2–2","3–0","3–1","3–1","2–1","1–0","","0–1","2–0","4–0","2–0"
"Torquay United","2–1","3–2","1–1","2–1","1–2","5–2","2–1","1–2","2–1","2–3","1–0","2–0","3–0","2–2","5–3","3–1","4–1","1–1","4–0","4–0","","2–1","2–1","2–1"
"Walsall","1–0","2–1","2–1","0–1","2–1","3–1","3–0","1–0","5–2","2–2","2–2","2–3","2–2","2–1","1–2","2–2","2–1","4–2","8–0","3–1","3–2","","3–4","2–2"
"Watford","1–3","2–0","1–0","3–1","4–2","2–0","4–2","2–1","1–2","5–2","5–0","3–1","7–2","0–2","3–1","4–2","6–0","2–1","2–1","0–0","0–1","2–2","","3–2"
"Workington","3–3","1–1","0–1","1–0","5–0","5–0","1–1","1–1","2–0","2–1","1–1","1–1","3–0","4–0","5–1","0–1","2–0","2–0","1–1","1–1","0–2","0–3","0–1",""
