"Home \ Away","ACC","BAR","B&BA","BRA","BRE","BRY","CHF","COL","COV","GRI","HAL","MAN","NPC","NWC","PTV","QPR","REA","SHR","SOU","STD","SWI","TRA","WRE","YOR"
"Accrington Stanley","","2–1","2–1","0–4","3–4","1–3","1–3","1–2","0–2","2–4","0–5","0–1","0–0","3–4","1–3","1–2","0–0","2–2","2–2","0–4","3–1","1–3","2–2","4–0"
"Barnsley","5–0","","1–0","2–0","1–2","2–2","3–1","2–1","1–0","3–3","1–2","2–2","0–2","2–0","1–0","2–1","3–3","0–0","1–0","4–1","0–3","2–0","6–1","1–1"
"Bournemouth & Boscombe Athletic","3–1","1–1","","3–2","1–2","2–1","1–1","3–2","2–2","4–2","1–0","6–0","4–1","0–0","3–0","1–1","1–1","2–2","1–3","0–0","3–1","2–1","1–3","2–0"
"Bradford City","4–5","0–0","0–0","","0–2","0–0","1–0","0–0","1–3","2–2","1–2","4–1","6–2","1–1","3–1","3–1","0–2","2–3","2–0","3–1","1–0","1–0","2–2","2–0"
"Brentford","3–0","3–0","1–0","4–0","","1–1","3–0","2–0","3–1","0–2","1–1","1–1","1–2","3–4","2–0","1–1","2–2","2–1","2–2","3–1","2–1","2–1","3–1","1–2"
"Bury","0–1","0–2","0–2","0–0","1–0","","1–1","3–1","2–1","1–1","2–2","4–1","0–1","1–0","3–1","2–0","1–0","2–1","1–2","3–0","0–3","4–1","3–2","2–0"
"Chesterfield","0–3","4–1","4–0","1–2","1–0","0–2","","1–1","0–3","2–2","2–1","0–1","2–0","2–1","4–1","0–4","2–1","2–2","3–2","1–0","1–3","2–0","5–1","2–0"
"Colchester United","5–1","2–2","1–2","2–1","2–1","3–0","1–0","","0–0","2–2","1–0","3–0","2–1","3–0","3–1","2–0","4–2","3–2","1–1","2–3","0–0","4–0","3–1","2–2"
"Coventry City","2–1","2–1","4–0","2–2","2–1","0–1","1–0","3–1","","0–2","0–1","2–0","1–1","2–1","1–1","0–0","1–1","1–1","4–1","2–0","3–1","1–0","5–3","3–2"
"Grimsby Town","4–0","2–0","1–1","1–3","1–3","2–2","5–1","4–1","3–0","","3–2","2–1","0–1","1–1","1–1","3–1","0–1","2–1","3–2","1–1","3–0","1–1","3–1","2–2"
"Halifax Town","0–2","5–0","1–0","4–0","1–0","1–0","0–1","3–2","2–2","1–2","","4–2","2–1","0–1","1–1","3–1","2–2","1–2","3–1","2–1","3–1","0–3","2–0","1–2"
"Mansfield Town","4–1","1–4","3–4","0–0","0–1","1–5","4–1","1–3","2–4","3–2","1–1","","3–1","3–2","6–3","4–3","4–4","1–0","4–2","1–1","1–2","0–2","6–2","2–0"
"Newport County","1–3","4–0","5–2","2–0","4–2","3–1","3–1","3–2","2–0","0–2","5–1","0–1","","1–1","4–3","2–3","3–2","1–3","5–1","1–1","1–3","2–1","4–1","3–2"
"Norwich City","4–0","0–0","2–3","0–0","2–1","2–0","3–0","3–2","1–4","1–1","3–0","5–1","1–0","","5–1","1–0","4–2","1–1","1–2","4–3","3–2","3–0","3–1","1–0"
"Port Vale","2–0","1–0","1–0","0–2","3–1","3–0","3–1","1–1","0–1","2–1","7–0","4–1","2–1","2–1","","0–0","4–1","0–3","1–1","3–1","6–1","1–1","3–1","2–0"
"Queens Park Rangers","5–1","1–0","3–0","5–0","2–4","2–0","3–3","3–1","2–1","0–0","3–0","2–0","3–0","0–0","2–2","","2–0","1–1","0–1","0–0","2–0","2–1","2–1","0–0"
"Reading","2–0","3–2","2–2","1–0","3–3","0–1","6–3","2–1","4–2","1–2","1–1","3–2","0–1","0–2","2–3","2–0","","2–3","2–0","4–1","3–0","5–4","0–1","1–0"
"Shrewsbury Town","5–0","2–2","0–0","3–0","1–1","0–2","2–4","4–1","3–2","5–2","2–2","6–3","6–2","1–3","2–1","1–1","3–2","","1–1","1–3","3–0","0–0","3–2","4–0"
"Southampton","5–1","2–1","4–3","2–0","2–0","0–2","4–3","4–2","5–1","1–1","3–2","5–2","2–0","2–2","3–2","2–1","1–0","6–3","","3–1","5–1","1–1","3–0","3–1"
"Southend","6–1","2–2","3–0","2–1","2–0","0–4","1–2","1–0","1–0","3–0","3–0","0–2","3–2","1–0","2–1","3–2","2–0","2–1","2–4","","1–3","7–1","1–1","1–1"
"Swindon Town","0–1","1–1","2–0","5–3","0–0","1–0","1–1","4–3","2–0","3–2","1–1","2–1","1–0","0–1","2–3","2–1","0–4","4–2","0–3","2–0","","1–1","4–1","1–1"
"Tranmere","5–1","2–0","1–1","2–3","2–1","2–0","3–0","1–1","3–1","2–0","1–1","4–2","2–2","0–0","6–0","0–3","0–1","3–3","2–4","1–0","2–2","","4–1","2–2"
"Wrexham","2–3","1–0","1–2","4–3","3–2","1–1","2–3","1–1","1–3","2–1","2–1","3–0","0–0","1–2","1–0","1–1","2–1","1–1","2–1","3–1","1–2","1–0","","3–1"
"York City","3–0","0–0","3–2","1–1","0–1","1–0","1–0","2–3","1–1","3–3","1–2","2–1","2–0","1–2","2–0","2–1","2–3","0–1","2–2","2–3","1–0","3–0","3–0",""
