"Home \ Away","ARS","AST","BIR","BLB","BLP","BOL","BUR","CAR","CHE","EVE","FUL","LEI","MCI","MUN","NEW","NOT","PNE","SHW","TOT","WBA","WHU","WOL"
"Arsenal","","2–1","2–0","0–0","1–0","5–1","2–5","2–3","1–4","3–2","4–2","1–3","5–4","2–1","5–0","3–0","1–0","1–1","2–3","1–0","0–0","1–5"
"Aston Villa","2–2","","6–2","2–2","2–2","4–0","2–0","2–1","3–2","3–2","2–1","1–3","5–1","3–1","2–0","1–2","1–0","4–1","1–2","0–1","2–1","0–2"
"Birmingham City","2–0","1–1","","1–1","0–2","2–2","0–1","2–1","1–0","2–4","1–0","0–2","3–2","3–1","2–1","3–1","1–3","1–1","2–3","3–1","4–2","1–2"
"Blackburn Rovers","2–4","4–1","2–0","","2–0","3–1","1–4","2–2","3–1","1–3","5–1","1–1","4–1","1–2","2–4","4–1","1–0","1–1","1–4","2–1","4–1","2–1"
"Blackpool","1–1","5–3","1–2","2–0","","0–1","0–0","6–1","1–4","1–4","2–5","5–1","3–3","2–0","2–1","4–0","0–1","0–1","1–3","0–1","3–0","5–2"
"Bolton Wanderers","1–1","3–0","2–2","0–0","3–1","","3–5","3–0","4–1","3–4","0–3","2–0","3–1","1–1","2–1","3–1","1–1","0–1","1–2","0–1","3–1","0–2"
"Burnley","3–2","1–1","2–1","1–1","1–2","2–0","","1–2","4–4","1–3","5–0","3–2","1–3","5–3","5–3","4–1","5–0","3–4","4–2","0–1","2–2","5–3"
"Cardiff City","1–0","1–1","0–2","1–1","0–2","0–1","2–1","","2–1","1–1","2–0","2–1","3–3","3–0","3–2","1–3","2–0","0–1","3–2","3–1","1–1","3–2"
"Chelsea","3–1","2–4","3–2","5–2","2–2","1–1","2–6","6–1","","3–3","2–1","1–3","6–3","1–2","4–2","4–3","1–1","0–2","2–3","7–1","3–2","3–3"
"Everton","4–1","1–2","1–0","2–2","1–0","1–2","0–3","5–1","1–1","","1–0","3–1","4–2","4–0","5–0","1–0","0–0","4–2","1–3","1–1","4–1","3–1"
"Fulham","2–2","1–1","2–1","1–1","4–3","2–2","0–1","2–2","3–2","2–3","","4–2","1–0","4–4","4–3","1–0","2–0","1–6","0–0","1–2","1–1","1–3"
"Leicester City","2–1","3–1","3–2","2–4","1–1","2–0","2–2","3–0","1–3","4–1","1–2","","1–2","6–0","5–3","1–1","5–2","2–1","1–2","2–2","5–1","2–0"
"Manchester City","0–0","4–1","2–1","4–0","1–1","0–0","2–1","4–2","2–1","2–1","3–2","3–1","","1–3","3–3","1–2","2–3","1–1","0–1","3–0","1–2","2–4"
"Manchester United","1–1","1–1","4–1","1–3","2–0","3–1","6–0","3–3","6–0","4–0","3–1","1–1","5–1","","3–2","2–1","1–0","0–0","2–0","3–0","6–1","1–3"
"Newcastle United","3–3","2–1","2–2","3–1","4–3","4–1","0–1","5–0","1–6","0–4","7–2","1–3","1–3","1–1","","2–2","0–0","0–1","3–4","3–2","5–5","4–4"
"Nottingham Forest","3–5","2–0","1–0","1–1","0–0","2–2","3–1","2–1","2–1","1–2","4–2","2–2","2–2","3–2","0–2","","2–0","1–2","0–4","1–2","1–1","1–1"
"Preston North End","2–0","1–1","2–3","2–0","1–0","0–0","2–3","1–1","0–2","1–0","2–0","0–0","1–1","2–4","2–3","0–1","","2–2","0–1","2–1","4–0","1–2"
"Sheffield Wednesday","1–1","1–2","2–0","5–4","4–0","2–0","3–1","2–0","1–0","1–2","2–0","2–2","3–1","5–1","1–1","1–0","5–1","","2–1","1–0","1–0","0–0"
"Tottenham Hotspur","4–2","6–2","6–0","5–2","3–1","3–1","4–4","3–2","4–2","2–0","5–1","2–3","1–1","4–1","1–2","1–0","5–0","2–1","","1–2","2–0","1–1"
"West Bromwich Albion","2–3","0–2","1–2","1–2","3–1","3–2","0–2","1–1","3–0","3–0","2–4","1–0","6–3","1–1","6–0","1–2","3–1","2–2","1–3","","1–0","2–1"
"West Ham United","6–0","5–2","4–3","3–2","3–3","2–1","1–2","2–0","3–1","4–0","1–2","1–0","1–1","2–1","1–1","2–4","5–2","1–1","0–3","1–2","","5–0"
"Wolverhampton Wanderers","5–3","3–2","5–1","0–0","1–0","3–1","2–1","2–2","6–1","4–1","2–4","3–2","1–0","2–1","2–1","5–3","3–0","4–1","0–4","4–2","4–2",""
