"Home \ Away","ACC","ALD","BRW","BPA","CRL","CHE","CRE","CRY","DAR","DON","EXE","GIL","HAR","MAN","MIL","NOR","OLD","PET","ROC","SOU","STP","WRK","WRE","YOR"
"Accrington Stanley","","1–0","0–0","1–2","1–0","2–0","1–3","2–3","2–2","2–2","0–1","3–0","3–0","1–4","3–3","3–2","5–1","3–2","2–0","2–1","4–1","1–2","0–3","2–0"
"Aldershot","3–1","","2–1","3–0","2–1","3–2","5–0","2–1","1–3","5–0","3–1","0–1","4–0","2–0","0–2","2–2","4–0","1–1","3–0","1–0","3–2","0–0","0–0","6–1"
"Barrow","1–1","2–0","","5–0","0–2","3–0","3–4","0–3","1–1","2–1","1–1","0–1","2–1","1–1","2–1","1–0","1–2","2–1","1–0","0–1","3–1","0–4","1–1","1–1"
"Bradford (Park Avenue)","2–2","1–0","4–0","","0–0","1–0","2–0","3–1","1–0","1–1","5–2","0–0","1–3","2–1","2–1","1–3","5–1","1–0","2–1","1–0","4–2","4–0","3–1","3–3"
"Carlisle United","3–1","2–2","1–0","2–2","","3–1","0–1","2–0","4–4","2–1","2–2","1–3","2–2","3–1","1–2","2–1","3–0","3–3","1–2","1–0","1–4","2–4","1–0","1–1"
"Chester","2–3","2–0","0–0","3–1","3–2","","0–0","3–0","0–3","1–2","4–4","2–2","1–2","3–3","1–4","0–2","3–1","1–2","3–1","1–0","0–0","2–2","1–0","2–1"
"Crewe Alexandra","0–1","2–1","0–1","1–1","3–0","5–2","","1–2","1–1","1–1","2–0","2–1","3–0","1–2","2–2","0–2","2–1","3–1","3–0","0–1","4–1","1–2","2–1","1–5"
"Crystal Palace","9–2","2–1","4–2","4–1","1–1","5–1","0–0","","3–2","5–1","0–0","2–0","2–2","4–1","0–2","2–3","2–1","0–2","4–1","5–0","2–1","4–2","3–2","1–0"
"Darlington","3–2","2–2","2–3","0–0","0–0","5–1","0–1","0–1","","1–0","3–0","2–2","4–0","3–2","5–2","1–1","0–1","2–2","1–0","1–0","2–0","1–1","1–2","2–1"
"Doncaster Rovers","1–0","3–1","3–0","2–0","1–0","2–1","6–0","1–5","4–0","","2–1","2–3","5–3","2–3","3–0","0–2","2–1","1–2","3–2","0–1","3–1","3–4","3–1","0–2"
"Exeter City","2–4","1–0","2–2","4–2","0–0","4–1","0–1","2–3","1–3","2–0","","2–0","2–1","0–2","2–3","1–3","3–0","3–4","1–0","2–1","2–1","0–0","1–0","2–1"
"Gillingham","2–1","5–2","2–2","3–4","1–1","3–0","0–0","1–2","0–1","2–0","4–2","","5–1","0–0","1–2","0–1","2–3","4–4","0–0","2–0","1–1","4–2","0–3","3–2"
"Hartlepool","4–1","3–1","0–2","2–4","0–1","4–4","1–2","2–4","5–0","2–1","0–0","1–0","","3–2","2–2","4–2","5–1","0–2","2–0","1–5","0–2","4–1","0–0","1–3"
"Mansfield Town","0–0","2–0","5–1","1–2","1–3","3–1","1–1","1–2","2–1","1–2","2–3","1–0","2–1","","5–1","4–2","1–2","1–0","0–2","1–2","2–2","2–0","0–3","1–3"
"Millwall","2–2","2–2","3–0","5–1","4–2","5–1","2–3","0–2","0–1","0–1","2–2","1–2","5–2","3–0","","3–1","0–1","4–3","4–1","3–1","3–0","0–3","2–0","3–2"
"Northampton Town","2–1","2–1","3–0","0–1","0–0","3–2","4–1","1–2","1–1","3–0","3–1","3–1","3–3","1–0","2–2","","1–0","0–3","5–1","3–1","4–2","3–2","3–0","3–0"
"Oldham Athletic","5–2","0–2","3–1","4–0","5–2","4–1","1–0","4–3","3–3","1–1","5–2","1–1","2–1","3–1","2–3","1–2","","1–1","0–2","3–2","3–0","3–5","0–2","3–1"
"Peterborough United","3–0","7–1","6–2","3–1","5–0","6–0","4–1","4–1","5–1","6–2","7–1","2–0","3–2","2–1","4–2","3–3","2–2","","4–3","3–4","0–1","2–1","3–0","1–1"
"Rochdale","3–2","1–1","0–0","2–3","2–1","2–0","3–0","2–2","1–0","2–1","3–1","2–0","4–0","1–2","4–0","1–1","3–0","2–2","","0–1","1–1","2–0","2–1","0–0"
"Southport","3–0","1–1","4–1","2–3","3–0","1–2","2–0","3–3","1–4","1–1","2–0","1–2","2–0","2–1","4–1","2–0","2–0","3–3","0–1","","1–0","3–0","2–2","2–2"
"Stockport County","0–3","2–0","1–0","2–3","2–0","1–1","0–1","5–2","2–1","1–0","0–0","2–0","1–1","1–0","3–1","1–1","0–1","0–6","1–0","2–0","","1–0","1–0","2–0"
"Workington","2–1","0–4","3–1","1–3","2–1","1–0","0–0","1–0","1–3","1–3","3–1","2–0","2–0","1–3","2–2","3–0","1–1","0–3","3–0","3–1","1–0","","3–1","2–0"
"Wrexham","3–0","3–1","1–0","0–1","2–1","1–2","0–1","1–2","3–1","2–2","3–1","0–0","1–0","2–0","0–1","2–2","2–2","0–1","2–0","3–0","1–3","2–1","","4–0"
"York City","1–0","4–1","2–0","2–0","4–0","2–0","3–1","0–2","4–1","1–1","6–1","0–0","4–0","3–2","3–2","0–1","1–0","0–1","2–0","2–0","0–0","4–0","2–1",""
