"Home \ Away","B&HA","BRR","CHA","DER","HUD","IPS","LEE","LEY","LIN","LIV","LUT","MID","NWC","PLY","POR","ROT","SCU","SHU","SOU","STK","SUN","SWA"
"Brighton & Hove Albion","","6–1","3–5","3–2","2–1","2–4","2–1","1–1","1–0","3–1","1–0","0–1","2–2","2–0","2–2","1–0","1–1","0–0","0–1","0–1","1–2","0–0"
"Bristol Rovers","0–1","","3–1","1–1","1–2","1–1","4–4","4–2","3–1","4–3","4–1","2–3","3–1","2–5","2–0","2–1","3–3","3–1","4–2","1–0","1–0","4–2"
"Charlton Athletic","3–1","2–1","","3–1","2–3","0–2","2–0","2–0","3–0","1–3","4–0","6–6","0–1","6–4","7–4","4–3","1–1","2–3","1–3","3–1","2–2","6–2"
"Derby County","4–1","1–1","2–3","","1–1","1–4","2–3","3–1","3–1","1–4","4–1","1–0","0–0","4–1","6–2","3–0","2–5","2–0","2–2","1–1","1–1","2–3"
"Huddersfield Town","0–1","4–0","2–2","1–3","","1–3","0–1","1–0","4–1","2–4","1–1","1–0","1–1","1–5","3–3","0–1","1–2","0–1","3–1","0–0","4–2","3–1"
"Ipswich Town","4–0","3–2","2–1","4–1","4–2","","4–0","6–2","3–1","1–0","0–1","3–1","4–1","3–1","2–2","1–1","2–0","0–1","3–3","2–1","4–0","0–3"
"Leeds United","3–2","1–1","1–0","3–3","1–4","2–5","","1–3","7–0","2–2","1–2","4–4","1–0","2–1","0–0","2–0","2–2","1–2","3–0","0–1","2–4","2–2"
"Leyton Orient","2–1","3–2","1–1","2–1","2–0","1–3","0–1","","1–2","1–3","2–1","1–1","1–0","1–1","2–1","2–1","2–1","1–4","1–1","3–1","0–1","2–2"
"Lincoln City","2–1","1–2","2–2","3–4","0–0","1–4","2–3","2–0","","1–2","1–1","5–2","1–4","3–1","2–3","0–1","0–2","0–5","0–3","1–1","1–2","2–0"
"Liverpool","2–0","3–0","2–1","1–0","3–1","1–1","2–0","5–0","2–0","","2–2","3–4","2–1","1–1","3–3","2–1","3–2","4–2","0–1","3–0","1–1","4–0"
"Luton Town","3–1","4–2","4–1","1–1","1–0","3–2","1–1","0–1","3–0","2–1","","6–1","0–2","3–2","1–0","2–1","0–0","1–4","4–1","4–1","3–3","2–2"
"Middlesbrough","2–2","1–1","2–2","1–2","2–1","3–1","3–0","2–0","1–1","1–1","2–1","","2–0","3–1","3–0","2–2","1–3","3–1","5–0","1–0","1–0","3–1"
"Norwich City","2–2","2–1","4–0","0–2","2–0","0–3","3–2","3–2","5–1","2–1","2–1","4–1","","1–0","3–1","3–1","0–1","1–1","5–0","1–0","3–0","0–0"
"Plymouth Argyle","1–2","5–0","6–4","4–2","2–1","1–2","3–1","3–2","1–1","0–4","1–1","3–3","3–0","","5–1","3–3","3–1","2–0","1–3","3–1","1–0","1–0"
"Portsmouth","4–0","3–0","1–1","3–2","1–3","1–0","3–1","1–2","3–0","2–2","3–2","0–3","3–0","0–2","","2–2","2–2","1–2","1–1","1–0","2–1","1–1"
"Rotherham United","5–2","4–0","2–3","1–1","2–2","1–1","1–3","2–1","2–0","1–0","5–2","1–2","0–2","0–0","1–0","","4–0","1–2","1–0","0–0","0–0","3–3"
"Scunthorpe United","2–2","2–1","0–0","1–2","0–1","4–0","3–2","2–2","3–1","2–3","1–0","1–1","2–1","2–0","5–1","1–1","","1–1","2–0","1–1","3–3","1–2"
"Sheffield United","2–1","2–3","1–0","3–1","3–1","1–3","3–2","4–1","2–1","1–1","2–1","4–1","1–1","3–0","3–1","3–1","2–0","","2–1","4–1","0–1","3–0"
"Southampton","4–2","4–2","1–2","5–1","4–2","1–1","2–4","1–1","2–3","4–1","3–2","3–2","2–2","1–1","5–1","3–2","4–2","0–1","","0–1","3–2","5–0"
"Stoke City","0–2","2–0","5–3","2–1","2–2","2–4","0–0","1–2","0–0","3–1","3–0","1–1","1–1","9–0","1–0","1–4","2–0","2–0","1–2","","0–0","1–3"
"Sunderland","2–1","2–0","2–2","1–2","1–2","2–0","2–3","4–1","2–2","1–1","7–1","2–0","0–3","2–1","4–1","1–1","2–0","1–1","3–1","4–0","","2–1"
"Swansea Town","2–3","2–1","3–3","2–1","2–0","2–1","3–2","1–0","1–2","2–0","3–1","3–2","4–1","1–2","4–0","2–1","2–2","3–0","4–1","0–0","3–3",""
