"Home \ Away","BAR","B&BA","BRA","BRE","BRI","BRY","CHF","COL","COV","GRI","HAL","HUL","NPC","NTC","PTV","QPR","REA","SHR","STD","SWI","TOR","TRA","WAL","WAT"
"Barnsley","","2–3","5–2","1–1","2–0","3–1","3–1","3–0","4–1","3–2","1–1","1–0","1–3","5–2","5–1","3–3","1–1","4–2","2–1","2–1","1–0","2–1","2–2","0–1"
"Bournemouth & Boscombe Athletic","1–2","","2–2","0–1","2–2","0–3","1–0","4–4","2–1","2–1","1–2","2–2","2–2","1–3","1–1","1–0","2–0","2–2","3–2","2–1","1–3","2–1","0–3","0–1"
"Bradford City","1–4","3–1","","3–1","2–0","0–1","3–2","0–1","4–1","1–3","2–2","0–0","1–2","2–2","3–3","1–1","2–1","1–1","2–1","2–1","0–3","1–1","1–2","2–2"
"Brentford","0–0","2–2","2–2","","2–0","1–5","2–2","0–0","1–1","0–1","2–0","2–2","2–4","3–0","0–0","2–0","2–1","4–0","1–1","2–1","2–3","4–1","3–1","2–1"
"Bristol City","4–0","1–0","1–2","3–0","","1–2","3–0","5–0","2–0","2–1","3–2","1–2","3–0","2–1","3–4","1–1","2–0","0–0","2–0","1–1","2–2","2–0","2–0","4–1"
"Bury","2–1","1–1","2–2","1–0","1–0","","3–3","4–0","1–0","2–0","4–1","3–0","4–1","7–0","3–1","1–0","3–0","3–1","2–0","3–0","6–0","3–0","3–4","0–2"
"Chesterfield","5–1","0–1","4–1","1–1","3–0","2–2","","2–3","4–1","2–3","3–0","1–2","1–0","3–1","0–0","0–1","2–2","2–3","0–3","1–1","2–0","1–1","1–2","2–0"
"Colchester United","4–2","0–1","2–4","2–4","0–1","0–2","4–3","","4–3","1–1","3–1","4–0","1–1","1–2","2–0","0–1","2–2","1–1","2–0","3–1","3–3","0–3","0–4","1–4"
"Coventry City","5–2","1–0","2–2","2–0","2–1","1–2","3–1","2–0","","0–0","2–0","4–0","4–1","2–2","1–1","4–4","2–1","3–2","3–0","1–1","5–1","4–1","1–2","0–1"
"Grimsby Town","3–2","0–1","1–0","0–0","5–2","2–2","0–0","2–1","2–3","","6–1","2–0","2–1","1–1","0–5","3–1","3–1","0–2","1–0","3–2","4–2","4–1","3–1","1–3"
"Halifax Town","1–0","2–1","3–2","1–0","2–1","0–2","2–1","2–1","2–2","0–0","","3–0","2–1","0–1","3–3","1–1","1–0","1–1","6–2","1–1","3–2","5–0","1–0","0–0"
"Hull City","2–0","2–0","3–0","3–0","3–3","0–1","2–2","1–1","1–1","2–3","4–2","","5–1","3–1","2–2","3–1","1–0","3–1","0–1","0–0","2–3","4–2","2–1","3–2"
"Newport County","2–3","2–0","1–0","0–1","4–1","0–0","5–1","3–2","3–3","1–1","1–1","3–1","","2–2","2–1","1–3","5–2","1–1","1–2","2–0","2–2","1–0","4–2","5–1"
"Notts County","5–1","3–2","2–1","0–0","3–0","0–3","1–0","4–2","3–0","0–1","1–1","2–1","6–0","","2–2","2–1","4–2","2–1","1–2","1–0","0–1","4–1","3–1","3–1"
"Port Vale","2–0","3–0","2–4","3–2","1–1","4–3","7–1","3–0","3–1","3–2","2–3","4–1","3–1","1–3","","0–1","1–1","4–1","4–0","4–1","0–3","5–0","1–1","3–0"
"Queens Park Rangers","4–2","3–1","1–0","0–0","1–1","3–1","1–2","3–2","2–1","2–0","5–1","2–1","2–0","2–0","1–0","","5–2","1–1","2–1","3–1","3–3","9–2","1–0","2–1"
"Reading","0–1","4–3","3–1","4–0","1–1","1–3","2–0","2–1","0–0","3–1","1–1","2–4","2–3","2–0","2–1","3–1","","2–1","3–0","1–1","5–1","1–2","3–2","1–1"
"Shrewsbury Town","1–2","2–1","2–0","3–0","4–2","2–1","4–2","2–2","2–1","2–1","1–1","0–0","5–0","4–0","1–1","4–1","6–1","","2–2","1–1","2–1","1–2","1–2","2–2"
"Southend","2–0","0–0","0–0","1–1","1–0","0–3","1–1","2–1","4–1","1–1","2–2","3–1","4–2","3–1","2–1","0–0","0–1","1–1","","0–2","3–2","1–2","1–2","6–1"
"Swindon Town","1–0","0–1","4–0","1–1","3–1","4–0","2–0","0–2","1–2","3–0","1–1","1–1","2–0","1–0","6–0","1–0","1–1","2–2","1–1","","3–1","1–0","1–0","1–2"
"Torquay United","1–1","0–1","2–1","1–1","0–0","1–1","3–0","1–1","3–0","0–0","1–1","1–2","0–0","2–2","1–1","1–6","4–2","2–0","2–1","1–1","","5–2","3–0","2–2"
"Tranmere","2–1","4–3","1–0","2–0","3–2","1–7","1–1","7–2","2–0","3–6","6–2","1–0","2–4","2–3","3–3","1–2","1–1","4–2","2–1","2–2","2–2","","1–4","0–2"
"Walsall","1–0","2–0","4–0","4–0","4–0","1–0","2–1","3–0","1–1","2–1","0–0","1–0","2–2","2–1","6–2","4–3","2–2","3–2","5–1","2–1","3–0","3–1","","5–2"
"Watford","1–2","0–1","2–2","6–1","0–1","1–1","3–1","2–2","7–2","2–0","4–3","2–2","4–1","2–2","0–0","0–3","2–0","3–1","3–0","1–0","3–0","2–2","2–0",""
