"Home \ Away","ARS","AST","BIR","BLB","BLP","BOL","BUR","CAR","CHE","EVE","FUL","IPS","LEI","MCI","MUN","NOT","SHU","SHW","TOT","WBA","WHU","WOL"
"Arsenal","","4–5","1–1","0–0","3–0","1–2","2–2","1–1","0–3","2–3","1–0","0–3","4–4","3–0","5–1","2–1","2–0","1–0","2–1","0–1","2–2","3–1"
"Aston Villa","3–1","","1–3","1–0","5–0","3–0","0–2","2–2","3–1","1–1","2–0","3–0","8–3","2–1","1–1","5–1","0–0","1–0","0–0","1–0","2–4","1–0"
"Birmingham","1–0","0–2","","2–1","1–1","2–1","2–6","3–0","3–2","0–0","2–1","3–1","1–5","1–1","1–1","1–1","3–0","1–1","2–3","1–2","4–0","3–6"
"Blackburn Rovers","0–0","4–2","2–0","","1–1","2–3","2–1","0–0","3–0","1–1","0–2","2–2","2–1","4–1","3–0","2–1","1–2","0–2","0–1","1–1","1–0","2–1"
"Blackpool","0–1","1–2","1–0","2–1","","2–1","1–1","3–0","4–0","1–1","2–1","1–1","2–1","3–1","2–3","1–3","2–4","1–3","1–2","2–2","2–0","7–2"
"Bolton Wanderers","2–1","1–1","3–2","1–1","0–0","","0–0","1–1","4–2","1–1","2–3","0–0","1–0","0–2","1–0","6–1","2–0","4–3","1–2","3–2","1–0","1–0"
"Burnley","0–2","3–0","7–1","0–1","2–0","3–1","","2–1","1–1","2–1","2–1","4–3","2–0","6–3","1–3","0–0","4–2","4–0","2–2","3–1","6–0","3–3"
"Cardiff City","1–1","1–0","3–2","1–1","3–2","1–2","1–1","","5–2","0–0","0–3","0–3","0–4","0–0","1–2","2–2","1–1","2–1","1–1","2–2","3–0","2–3"
"Chelsea","2–3","1–0","1–1","1–1","1–0","1–0","1–2","2–3","","1–1","0–0","2–2","1–3","1–1","2–0","2–2","6–1","1–0","0–2","4–1","0–1","4–5"
"Everton","4–1","2–0","4–1","1–0","2–2","1–0","2–2","8–3","4–0","","3–0","5–2","3–2","0–2","5–1","6–0","1–0","0–4","3–0","3–1","3–0","4–0"
"Fulham","5–2","3–1","0–1","2–0","0–1","2–2","3–5","0–1","3–4","2–1","","1–2","2–1","3–4","2–0","1–1","5–2","0–2","1–1","1–2","2–0","0–1"
"Ipswich Town","2–2","2–0","4–1","2–1","1–1","2–1","6–2","1–0","5–2","4–2","2–4","","1–0","2–4","4–1","1–0","4–0","2–1","3–2","3–0","4–2","3–2"
"Leicester City","0–1","0–2","1–2","2–0","0–2","1–1","2–6","3–0","2–0","2–0","4–1","0–2","","2–0","4–3","2–1","4–1","1–0","2–3","1–0","2–2","3–0"
"Manchester City","3–2","1–0","1–4","3–1","2–4","2–1","1–3","1–2","2–2","1–3","2–1","3–0","3–1","","0–2","3–0","1–1","3–1","6–2","3–1","3–5","2–2"
"Manchester United","2–3","2–0","0–2","6–1","0–1","0–3","1–4","3–0","3–2","1–1","3–0","5–0","2–2","3–2","","6–3","0–1","1–1","1–0","4–1","1–2","0–2"
"Nottingham Forest","0–1","2–0","2–1","1–2","3–4","0–1","3–2","2–1","3–0","2–1","1–1","1–1","0–0","1–2","1–0","","2–0","3–1","2–0","4–4","3–0","3–1"
"Sheffield United","2–1","0–2","3–1","0–0","2–1","3–1","2–0","1–0","3–1","1–1","2–2","2–1","3–1","3–1","2–3","2–0","","1–0","1–1","1–1","1–4","2–1"
"Sheffield Wednesday","1–1","3–0","5–1","1–0","3–2","4–2","4–0","2–0","5–3","3–1","1–1","1–4","1–2","1–0","3–1","3–0","1–2","","0–0","2–1","0–0","3–2"
"Tottenham Hotspur","4–3","1–0","3–1","4–1","5–2","2–2","4–2","3–2","5–2","3–1","4–2","1–3","1–2","2–0","2–2","4–2","3–3","4–0","","1–2","2–2","1–0"
"West Bromwich Albion","4–0","1–1","0–0","4–0","7–1","6–2","1–1","5–1","4–0","2–0","2–0","1–3","2–0","2–2","1–1","2–2","3–1","0–2","2–4","","0–1","1–1"
"West Ham United","3–3","2–0","2–2","2–3","2–2","1–0","2–1","4–1","2–1","3–1","4–2","2–2","4–1","0–4","1–1","3–2","1–2","2–3","2–1","3–3","","4–2"
"Wolverhampton Wanderers","2–3","2–2","2–1","0–2","2–2","5–1","1–1","1–1","1–1","0–3","1–3","2–0","1–1","4–1","2–2","2–1","0–1","3–0","3–1","1–5","3–2",""
