"Home \ Away","ACC","ALD","BRW","BRA","CRL","CHE","CHF","COL","CRE","DAR","DON","EXE","GIL","HAR","MAN","MIL","OLD","ROC","SOU","STP","TRA","WRK","WRE","YOR"
"Accrington Stanley","","0–2","2–2","0–2","1–0","0–1","0–0","0–4","1–0","3–1","","","","","0–0","0–2","1–0","0–2","","1–2","1–1","0–4","0–2",""
"Aldershot","2–2","","3–1","2–2","0–1","6–2","1–1","1–0","1–0","6–1","3–1","1–1","4–0","1–1","4–2","0–2","3–1","3–0","2–0","4–1","3–1","3–1","3–1","2–0"
"Barrow","3–1","2–2","","1–1","0–3","3–2","1–0","4–0","3–0","3–0","4–1","3–0","7–0","5–1","1–1","2–2","3–1","0–1","1–1","3–1","2–0","1–1","0–2","0–0"
"Bradford City","0–1","2–1","1–1","","3–2","2–0","0–2","4–1","3–3","3–2","2–0","5–1","5–2","5–1","6–1","2–4","1–1","1–0","1–0","1–3","3–1","1–1","5–3","2–2"
"Carlisle United","2–0","2–1","0–0","2–4","","2–0","3–1","1–1","3–0","1–0","1–0","2–1","1–2","1–0","1–0","3–2","2–0","2–2","2–1","1–0","0–3","1–2","1–0","3–2"
"Chester","0–0","2–3","2–3","1–2","1–1","","4–1","2–2","1–0","2–2","2–3","1–1","1–1","4–4","0–1","2–4","1–0","2–3","2–0","2–0","1–1","1–3","1–1","1–1"
"Chesterfield","","2–3","2–2","2–1","1–3","4–1","","4–1","3–1","1–1","3–0","2–0","3–2","2–0","0–4","2–3","2–3","1–0","3–2","3–2","1–2","0–1","1–5","1–1"
"Colchester United","3–2","3–0","1–1","9–1","2–0","5–2","3–3","","5–3","2–0","5–3","2–0","6–0","6–1","2–0","2–2","5–1","1–1","2–0","3–0","3–0","6–1","2–4","3–1"
"Crewe Alexandra","4–0","2–0","1–1","1–2","3–0","1–1","2–1","4–0","","5–1","2–0","3–1","5–2","3–0","3–2","2–1","3–5","2–1","3–1","3–2","3–0","2–0","0–3","0–0"
"Darlington","1–1","2–0","1–0","3–3","2–1","2–0","4–4","0–2","2–1","","1–0","1–0","1–1","1–2","3–1","1–5","3–0","2–0","1–2","3–0","2–1","1–1","1–0","0–0"
"Doncaster Rovers","1–1","2–1","3–2","2–0","1–2","2–0","0–0","1–4","3–0","1–2","","3–1","2–1","2–2","0–1","1–2","0–0","1–2","1–2","1–1","6–1","1–1","0–2","1–2"
"Exeter City","3–0","2–1","3–0","1–2","4–0","5–0","4–1","0–2","2–1","0–1","1–5","","1–3","1–1","2–1","1–1","3–3","1–3","1–1","4–3","1–0","3–1","1–1","2–1"
"Gillingham","5–1","0–1","3–2","3–1","4–1","0–0","5–1","2–1","0–1","2–2","2–2","2–2","","4–0","2–2","3–1","0–2","4–2","4–0","1–1","0–1","4–2","2–3","1–2"
"Hartlepool","","0–2","2–3","1–3","0–3","1–3","1–2","1–1","2–1","2–0","3–0","0–0","1–3","","0–1","2–0","1–1","3–1","4–2","2–2","0–0","0–1","1–4","0–2"
"Mansfield Town","","4–1","0–1","0–1","5–2","3–0","2–2","4–0","1–1","3–0","4–0","3–1","3–1","3–1","","0–0","2–0","0–1","3–1","2–0","1–2","4–1","1–2","3–1"
"Millwall","","2–1","1–0","1–2","3–0","2–0","2–1","2–0","4–3","4–2","2–0","2–0","0–0","3–2","4–0","","2–0","1–1","1–1","1–3","3–0","5–0","0–1","2–1"
"Oldham Athletic","5–0","2–1","3–2","2–2","5–0","4–1","3–1","2–2","2–0","0–1","3–1","1–1","1–1","5–2","2–3","4–2","","2–2","2–1","0–0","2–0","0–2","1–1","1–0"
"Rochdale","1–0","1–0","0–2","4–1","1–1","3–2","1–1","0–1","3–0","1–3","2–3","3–0","3–1","3–1","3–2","4–1","3–1","","2–0","3–3","1–0","1–3","2–1","3–1"
"Southport","","2–1","0–0","2–1","0–0","1–0","0–2","3–0","2–0","1–4","3–1","1–1","1–1","0–1","2–1","3–1","0–5","3–0","","2–1","2–1","1–1","4–2","3–1"
"Stockport County","2–0","3–1","3–0","3–1","1–2","0–1","2–1","1–4","0–1","3–0","2–1","1–0","3–1","1–1","2–1","1–1","1–1","5–2","1–4","","3–0","3–1","1–2","2–1"
"Tranmere","2–0","1–2","2–1","3–2","0–3","4–1","1–0","5–2","1–6","0–0","3–2","3–4","4–2","3–2","2–0","5–1","3–1","2–0","3–1","1–3","","3–2","2–0","2–2"
"Workington","","2–1","1–2","5–3","2–1","4–1","2–0","1–2","0–1","2–1","0–0","3–1","5–1","1–1","1–1","2–2","0–2","2–1","3–0","1–1","2–1","","1–0","0–0"
"Wrexham","","2–1","1–1","2–1","2–2","0–0","4–2","0–0","1–1","5–0","3–1","1–2","3–0","10–1","5–0","2–2","2–1","3–0","2–3","0–1","4–0","2–3","","2–1"
"York City","1–0","0–1","5–0","4–0","1–1","5–1","4–0","5–0","4–2","2–1","5–2","2–1","4–0","2–0","2–1","0–1","4–1","2–1","2–2","1–0","1–2","4–0","3–2",""
