"Home \ Away","B&HA","BRR","BRY","CHA","DER","HUD","LEE","LEY","LIV","LUT","MID","NEW","NWC","PLY","PNE","ROT","SCU","SOU","STK","SUN","SWA","WAL"
"Brighton & Hove Albion","","1–0","0–2","2–2","1–2","2–2","1–3","0–1","0–0","2–1","2–0","0–4","2–1","3–2","0–0","0–3","0–3","0–0","2–1","1–1","2–2","3–2"
"Bristol Rovers","0–1","","0–1","2–2","1–4","1–1","4–0","2–1","0–2","1–0","0–2","2–1","2–1","4–3","2–1","4–2","2–1","1–0","0–2","2–3","4–1","2–2"
"Bury","2–1","2–0","","1–2","2–2","1–2","1–1","0–1","0–3","2–1","2–1","2–7","2–3","1–1","2–1","2–1","4–1","0–2","0–2","3–2","1–1","2–1"
"Charlton Athletic","2–3","2–1","1–0","","4–0","0–2","3–1","1–2","0–4","0–1","1–0","1–1","2–2","3–1","4–0","0–2","3–3","1–0","2–2","2–0","3–2","3–3"
"Derby County","2–0","4–1","3–0","0–1","","1–0","3–3","1–2","2–0","2–0","3–2","1–2","1–1","2–2","3–2","1–1","2–2","1–1","2–0","1–1","6–3","1–3"
"Huddersfield Town","2–0","4–1","2–0","0–2","4–0","","2–1","1–1","1–2","1–2","0–0","2–1","1–1","5–1","2–2","0–3","1–2","1–0","3–0","0–0","3–1","4–2"
"Leeds United","1–1","0–0","0–0","1–0","0–0","1–0","","0–0","1–0","2–1","2–0","0–1","0–1","2–3","1–2","1–3","1–4","1–1","3–1","1–0","2–0","4–1"
"Leyton Orient","4–1","2–3","2–0","2–1","2–0","3–0","0–0","","2–2","0–0","2–0","2–0","2–0","1–2","0–2","1–1","0–1","1–3","3–0","1–1","1–0","3–0"
"Liverpool","3–1","2–0","5–0","2–1","4–1","1–1","5–0","3–3","","1–1","5–1","2–0","5–4","2–1","4–1","4–1","2–1","2–0","2–1","3–0","5–0","6–1"
"Luton Town","2–1","2–0","4–0","1–6","4–2","3–4","3–2","1–3","1–0","","3–2","1–0","1–2","0–2","4–1","4–3","1–2","1–4","0–0","1–2","5–1","2–0"
"Middlesbrough","4–0","5–0","2–1","3–2","3–4","1–0","1–3","2–3","2–0","2–4","","3–0","2–1","1–1","1–0","5–1","1–2","1–1","2–2","0–1","1–3","3–0"
"Newcastle United","5–0","5–2","1–2","4–1","3–0","1–1","0–3","0–0","1–2","4–1","3–4","","0–0","0–2","0–2","1–0","2–1","3–2","2–0","2–2","2–2","1–0"
"Norwich City","3–0","2–2","3–1","2–2","3–2","1–2","2–0","0–0","1–2","0–4","5–4","0–0","","0–2","2–0","0–1","2–2","1–1","1–0","3–1","2–1","3–1"
"Plymouth Argyle","5–0","3–1","1–2","2–1","2–3","4–2","1–1","2–1","2–3","0–3","1–1","1–1","3–1","","1–0","2–5","3–1","4–0","3–1","3–2","0–0","2–1"
"Preston North End","3–1","1–0","1–2","2–0","1–0","1–0","1–1","3–2","1–3","2–0","4–3","0–1","2–0","1–1","","2–0","4–1","1–1","1–2","0–1","1–1","2–3"
"Rotherham United","2–1","4–0","2–0","3–2","2–2","3–3","2–1","2–1","1–0","1–1","0–1","0–0","3–1","1–3","2–2","","0–1","4–2","1–2","0–3","1–2","2–2"
"Scunthorpe United","3–3","2–1","1–2","6–1","2–0","1–3","2–1","0–2","1–1","2–0","1–1","3–2","2–0","5–1","2–1","5–2","","5–1","2–2","3–1","2–0","2–1"
"Southampton","6–1","0–2","5–3","1–2","2–1","3–1","4–1","1–2","2–0","3–0","1–3","1–0","2–2","1–2","0–0","2–1","6–4","","5–1","2–0","5–1","1–1"
"Stoke City","0–1","2–1","1–3","4–0","1–1","3–0","2–1","0–1","0–0","2–1","2–0","3–1","3–1","2–0","1–1","1–2","1–0","3–2","","1–0","0–0","2–1"
"Sunderland","0–0","6–1","3–0","4–1","2–1","3–1","2–1","2–1","1–4","2–2","2–1","3–0","2–0","5–0","0–0","4–0","4–0","3–0","2–1","","7–2","3–0"
"Swansea Town","3–0","1–1","0–1","1–0","3–1","1–1","2–1","1–3","4–2","3–2","3–3","3–2","0–3","5–0","1–2","2–2","2–1","0–1","1–0","1–1","","1–3"
"Walsall","2–2","0–0","3–0","2–2","2–0","2–2","1–1","1–5","1–1","2–0","1–2","1–0","5–0","1–0","2–1","5–0","4–1","0–2","3–1","4–3","0–0",""
