"Home \ Away","BAR","B&BA","BPA","BRE","BRI","COV","CRY","GRI","HAL","HUL","LIN","NPC","NOR","NTC","PET","POR","PTV","QPR","REA","SHR","STD","SWI","TOR","WAT"
"Barnsley","","2–2","1–2","2–2","7–3","2–1","0–3","0–3","1–2","1–0","0–1","1–1","3–2","2–0","0–3","2–2","2–1","2–4","2–3","1–1","1–1","6–2","4–2","3–0"
"Bournemouth & Boscombe Athletic","5–0","","2–2","1–1","2–1","1–1","1–0","2–3","2–1","1–1","0–0","2–1","3–2","2–1","1–1","2–0","1–0","3–1","1–0","0–0","3–0","0–0","3–1","4–1"
"Bradford Park Avenue","3–2","1–2","","1–2","2–0","0–0","2–0","0–1","2–0","1–0","2–0","4–1","1–2","3–2","6–2","2–1","2–1","3–3","1–3","1–1","4–0","2–2","3–1","1–1"
"Brentford","1–1","2–2","2–0","","0–2","2–1","4–2","0–2","0–2","0–2","1–0","3–1","3–0","0–1","2–0","3–2","1–2","1–4","1–2","4–0","0–0","1–0","0–2","3–1"
"Bristol City","0–0","2–1","6–1","3–0","","3–2","2–2","3–0","4–3","1–1","2–0","1–2","1–0","6–0","1–2","0–4","0–1","2–0","5–0","0–1","3–2","5–3","4–1","2–1"
"Coventry City","1–1","0–1","3–0","2–0","1–1","","0–2","2–0","3–1","0–2","2–2","3–0","1–0","2–2","1–3","2–0","0–1","2–3","1–0","4–1","3–3","2–1","2–2","1–0"
"Crystal Palace","1–3","0–0","0–0","2–2","2–3","2–2","","4–1","4–3","1–2","1–3","2–0","1–4","4–1","5–2","1–2","0–0","2–2","3–4","2–1","2–2","3–1","7–2","1–1"
"Grimsby Town","4–0","3–0","3–2","1–0","1–0","2–0","0–0","","3–0","1–0","4–1","1–0","3–2","2–1","2–1","1–0","1–1","1–1","4–0","2–1","3–1","0–1","2–3","5–3"
"Halifax Town","3–1","3–1","2–3","1–0","3–4","0–2","1–1","3–3","","2–1","0–3","0–0","1–3","1–2","2–1","0–1","3–3","1–1","2–1","1–2","0–2","2–0","1–0","2–0"
"Hull City","4–0","2–1","0–1","3–0","3–2","3–1","2–4","2–1","1–2","","1–0","4–0","1–0","2–1","1–1","0–1","3–1","3–1","0–1","3–1","0–0","0–1","4–0","1–0"
"Lincoln City","2–2","0–2","3–2","3–3","1–1","1–2","3–2","1–1","0–1","0–3","","3–2","0–0","2–2","1–2","2–2","1–1","0–5","2–3","1–2","2–0","2–2","1–3","0–0"
"Newport County","0–2","0–1","1–2","6–1","3–1","1–2","2–1","0–2","0–1","0–2","4–0","","0–0","2–0","2–3","0–5","1–1","2–4","0–0","3–2","0–3","2–2","0–3","0–0"
"Northampton Town","3–1","0–3","2–0","5–0","0–1","4–1","1–1","7–0","3–1","2–0","2–2","5–0","","1–2","2–2","2–2","1–1","1–1","1–0","3–1","3–1","1–2","1–2","2–0"
"Notts County","0–2","3–2","4–2","3–1","1–0","2–0","0–0","2–0","0–0","3–0","1–0","8–1","1–4","","2–2","2–1","2–3","0–0","2–2","3–2","2–0","0–1","2–0","1–0"
"Peterborough United","4–2","1–2","1–0","6–0","3–4","2–3","4–1","2–1","5–1","3–2","5–4","2–1","0–2","2–0","","0–1","1–3","5–1","1–0","0–3","4–1","3–2","2–1","4–3"
"Portsmouth","3–2","1–1","4–2","4–0","5–0","3–2","2–1","0–2","1–1","2–1","0–0","2–2","4–1","0–0","0–3","","1–0","4–1","2–0","3–1","1–0","2–2","2–0","2–1"
"Port Vale","2–0","1–0","3–2","3–0","0–2","2–0","0–1","0–2","1–1","4–0","4–0","3–0","1–1","1–0","0–1","2–3","","2–3","2–1","4–1","0–0","1–1","4–1","1–3"
"Queens Park Rangers","3–0","1–1","1–2","3–0","4–1","4–1","1–0","3–2","6–2","1–1","1–3","4–0","2–0","2–0","3–3","0–1","2–1","","3–6","3–1","5–3","6–1","6–0","1–2"
"Reading","0–0","0–1","3–1","4–0","2–2","4–0","2–1","1–2","3–2","1–1","4–0","2–1","2–0","4–2","3–2","0–3","0–0","0–2","","3–0","3–1","1–1","1–0","3–2"
"Shrewsbury Town","4–1","2–2","4–1","1–3","2–2","1–1","1–5","1–2","0–0","2–0","0–0","4–1","1–3","3–0","3–4","0–1","4–2","1–2","4–1","","1–1","1–3","1–1","5–1"
"Southend","1–2","0–0","2–1","0–0","1–0","2–0","2–2","2–0","2–1","2–1","0–0","1–0","1–3","3–2","1–1","2–2","4–1","2–3","0–2","1–1","","0–2","2–1","0–1"
"Swindon Town","1–1","1–1","3–2","5–2","0–4","3–3","5–0","0–0","6–0","1–1","4–0","3–0","2–2","1–0","3–2","1–3","1–0","0–0","4–1","1–2","0–0","","0–1","3–1"
"Torquay United","6–2","2–1","1–3","3–1","1–3","1–0","1–2","1–2","2–3","4–2","3–4","3–2","1–2","3–3","1–3","0–2","2–0","2–2","0–0","3–1","2–2","3–0","","3–4"
"Watford","3–1","0–0","0–2","2–1","1–1","0–1","3–2","2–1","0–0","1–1","3–3","3–1","0–0","3–1","2–3","0–0","2–0","3–2","1–1","1–1","1–3","2–0","4–1",""
