"Home \ Away","ARS","AST","BIR","BLB","BLP","BOL","BUR","EVE","FUL","IPS","LEI","LEY","LIV","MCI","MUN","NOT","SHU","SHW","TOT","WBA","WHU","WOL"
"Arsenal","","1–2","2–0","3–1","2–0","3–2","2–3","4–3","3–0","3–1","1–1","2–0","2–2","2–3","1–3","0–0","1–0","1–2","2–3","3–2","1–1","5–4"
"Aston Villa","3–1","","4–0","0–0","1–1","5–0","2–1","0–2","1–2","4–2","3–1","1–0","2–0","3–1","1–2","0–2","1–2","0–2","2–1","2–0","3–1","0–2"
"Birmingham","2–2","3–2","","3–3","3–6","2–2","5–1","0–1","4–1","0–1","3–2","2–2","0–2","2–2","2–1","2–2","0–1","1–1","0–2","0–0","3–2","3–4"
"Blackburn Rovers","5–5","4–1","6–1","","3–3","5–0","2–3","3–2","0–1","0–1","2–0","1–1","1–0","4–1","2–2","2–5","1–2","3–0","3–0","3–1","0–4","5–1"
"Blackpool","3–2","4–0","1–1","4–1","","3–1","0–0","1–2","0–0","1–0","1–1","3–2","1–2","2–2","2–2","2–1","3–1","2–3","1–2","0–2","0–0","0–2"
"Bolton Wanderers","3–0","4–1","0–0","0–0","3–0","","2–2","0–2","1–0","1–3","2–0","0–1","1–0","3–1","3–0","1–0","3–2","0–4","1–0","1–2","3–0","3–0"
"Burnley","2–1","3–1","3–1","1–0","2–0","2–1","","1–3","4–0","3–1","1–1","2–0","1–3","0–0","0–1","0–0","5–1","4–0","2–1","2–1","1–1","2–0"
"Everton","1–1","1–1","2–2","0–0","5–0","1–0","3–1","","4–1","3–1","3–2","3–0","2–2","2–1","3–1","2–0","3–0","4–1","1–0","4–2","1–1","0–0"
"Fulham","1–3","1–0","3–3","0–0","2–0","2–1","1–1","1–0","","1–1","2–1","0–2","0–0","2–4","0–1","3–1","2–2","4–1","0–2","1–2","2–0","0–5"
"Ipswich Town","1–1","1–1","1–5","3–3","5–2","4–1","2–1","0–3","0–1","","0–1","1–1","2–2","0–0","3–5","1–1","1–0","2–0","2–4","1–1","2–3","2–3"
"Leicester City","2–0","3–3","3–0","2–0","0–0","4–1","3–3","3–1","2–3","3–0","","5–1","3–0","2–0","4–3","2–1","3–1","3–3","2–2","1–0","2–0","1–1"
"Leyton Orient","1–2","0–2","2–2","1–1","0–2","0–1","0–1","3–0","1–1","1–2","0–2","","2–1","1–1","1–0","0–1","2–2","2–4","1–5","2–3","2–0","0–4"
"Liverpool","2–1","4–0","5–1","3–1","1–2","1–0","1–2","0–0","2–1","1–1","0–2","5–0","","4–1","1–0","0–2","2–0","0–2","5–2","2–2","2–1","4–1"
"Manchester City","2–4","0–2","2–1","0–1","0–3","2–1","2–5","1–1","2–3","2–1","1–1","2–0","2–2","","1–1","1–0","1–3","3–2","1–0","1–5","1–6","3–3"
"Manchester United","2–3","2–2","2–0","0–3","1–1","3–0","2–5","0–1","0–2","0–1","2–2","3–1","3–3","2–3","","5–1","1–1","1–3","0–2","2–2","3–1","2–1"
"Nottingham Forest","3–0","3–1","0–2","2–0","2–0","1–0","2–1","3–4","3–1","2–1","0–2","1–1","3–1","1–1","3–2","","2–1","0–3","1–1","2–2","3–4","2–0"
"Sheffield United","3–3","2–1","0–2","1–1","0–0","4–1","1–0","2–1","2–0","2–1","0–0","2–0","0–0","3–1","1–1","3–1","","2–2","3–1","1–0","0–2","1–2"
"Sheffield Wednesday","2–3","0–0","5–0","4–0","0–0","1–1","0–1","2–2","1–0","0–3","0–3","3–1","0–2","4–1","1–0","2–2","3–1","","3–1","3–1","1–3","3–1"
"Tottenham Hotspur","4–4","4–2","3–0","4–1","2–0","4–1","1–1","0–0","1–1","5–0","4–0","2–0","7–2","4–2","6–2","9–2","4–2","1–1","","2–1","4–4","1–2"
"West Bromwich Albion","1–2","1–0","1–0","2–5","1–2","5–4","1–2","0–4","6–1","6–1","2–1","2–1","1–0","2–1","3–0","1–4","1–2","0–3","1–2","","1–0","2–2"
"West Ham United","0–4","1–1","5–0","0–1","2–2","1–2","1–1","1–2","2–2","1–3","2–0","2–0","1–0","6–1","3–1","4–1","1–1","2–0","1–6","2–2","","1–4"
"Wolverhampton Wanderers","1–0","3–1","0–2","4–2","2–0","4–0","7–2","0–2","2–1","0–0","1–3","2–1","3–2","8–1","2–3","1–1","0–0","2–2","2–2","7–0","0–0",""
