"Home \ Away","ALD","BRW","BRA","BRE","CHE","CHF","CRE","DAR","DON","EXE","GIL","HAR","LIN","MAN","NPC","OLD","OXF","ROC","SOU","STP","TOR","TRA","WRK","YOR"
"Aldershot","","2–1","3–1","0–0","2–2","1–0","2–2","2–3","3–1","1–1","0–1","3–2","1–2","2–3","2–1","1–1","0–0","2–0","4–2","2–2","1–1","2–3","2–2","4–1"
"Barrow","1–1","","1–1","1–1","4–3","2–0","2–3","4–1","4–0","0–2","1–1","2–0","2–1","3–2","3–0","3–2","3–2","1–1","6–2","1–0","0–0","1–1","5–1","2–1"
"Bradford City","0–2","3–0","","2–1","2–0","1–1","1–0","3–0","2–3","2–3","1–1","1–1","2–2","1–3","3–4","1–3","1–4","1–2","0–2","3–2","2–1","2–1","2–2","1–2"
"Brentford","4–2","2–1","5–2","","2–1","2–1","3–1","1–3","1–0","3–1","1–2","4–0","3–2","1–3","3–1","2–1","4–0","1–0","3–3","2–1","2–2","4–0","4–3","2–1"
"Chester","0–2","1–0","2–0","1–2","","0–2","1–2","1–2","1–1","3–1","1–0","1–0","3–2","0–2","2–2","1–0","2–1","1–0","6–1","0–1","3–1","0–0","1–1","0–0"
"Chesterfield","3–1","1–1","0–1","1–1","1–1","","1–2","6–1","3–1","1–1","0–2","2–2","2–2","4–4","1–2","0–0","1–0","1–3","6–0","1–2","2–0","4–0","1–1","1–1"
"Crewe Alexandra","2–1","2–1","5–0","3–0","3–0","2–0","","2–1","3–0","1–0","2–2","4–1","1–1","3–0","4–1","2–3","3–2","1–2","2–2","1–2","1–1","2–0","0–1","1–0"
"Darlington","1–1","2–1","2–1","1–3","2–1","2–1","1–4","","5–1","0–1","2–0","0–2","0–0","2–1","4–2","1–1","2–1","3–0","1–3","5–1","1–3","2–3","3–1","2–1"
"Doncaster Rovers","2–1","2–2","1–1","0–2","1–2","0–0","1–1","2–0","","1–1","1–0","2–3","3–0","1–1","2–2","1–1","4–2","2–2","0–0","1–2","2–0","2–1","2–0","3–2"
"Exeter City","4–2","0–2","0–2","2–2","2–1","2–2","1–1","1–3","0–1","","0–0","3–1","1–1","0–3","1–0","2–1","1–1","0–2","2–1","0–1","0–3","2–1","1–0","2–1"
"Gillingham","1–0","2–3","2–1","1–4","2–1","2–1","4–0","1–0","1–0","4–0","","5–1","3–0","0–1","3–1","4–3","2–1","2–1","3–1","1–0","4–2","0–0","2–2","0–0"
"Hartlepool","1–2","1–1","2–2","2–1","0–3","1–1","1–5","0–2","1–1","0–2","1–1","","3–0","3–4","2–3","0–1","1–2","4–0","4–0","3–0","0–3","0–2","2–2","1–1"
"Lincoln City","2–4","1–2","3–2","1–3","1–3","1–3","1–2","2–1","1–2","4–1","2–1","4–1","","2–6","6–3","1–2","1–0","3–0","0–2","0–0","3–0","4–2","3–2","2–4"
"Mansfield Town","2–2","5–0","3–1","1–2","4–0","3–0","2–2","6–0","4–2","1–0","0–0","3–1","2–0","","2–1","4–2","3–2","1–0","6–1","0–1","1–2","6–1","0–0","2–0"
"Newport County","2–2","6–0","2–0","1–4","0–1","2–3","5–1","2–2","2–4","4–0","2–0","2–1","2–1","1–1","","0–0","1–0","1–1","1–0","3–1","1–0","1–2","2–2","1–3"
"Oldham Athletic","2–0","2–1","2–1","2–1","2–0","2–1","2–2","1–0","4–0","1–2","2–1","6–1","4–1","3–2","3–2","","2–0","5–1","11–0","2–1","1–1","1–1","2–2","3–2"
"Oxford United","1–1","4–1","2–1","2–1","3–0","0–0","0–0","4–2","3–3","0–3","2–3","6–2","2–1","3–0","5–1","1–1","","0–0","0–0","1–1","1–1","2–2","2–1","0–2"
"Rochdale","1–1","6–0","2–1","3–5","0–0","3–2","2–0","1–1","3–1","3–0","1–1","2–1","1–0","3–1","3–3","1–1","2–1","","1–0","1–0","3–0","2–0","3–2","1–0"
"Southport","1–1","3–3","3–3","1–0","4–1","0–2","1–3","4–2","2–1","1–3","0–0","1–1","0–0","3–2","2–1","2–1","4–2","1–1","","2–0","4–4","0–0","6–3","2–1"
"Stockport County","3–0","1–3","3–1","2–1","1–0","0–1","1–1","0–1","2–1","4–3","0–0","4–1","1–2","1–1","1–1","2–1","1–1","1–0","0–2","","1–2","2–2","2–3","1–1"
"Torquay United","3–1","2–1","4–1","1–1","1–0","2–1","1–2","1–1","2–2","3–0","0–0","2–0","0–0","3–3","3–1","2–0","2–2","2–1","5–1","2–2","","1–0","2–0","1–0"
"Tranmere","1–3","2–0","1–1","1–2","3–0","4–1","2–1","3–1","2–3","2–1","2–1","6–1","3–0","5–1","0–0","1–2","3–0","3–2","7–1","3–1","1–1","","0–1","2–1"
"Workington","0–1","3–5","2–3","3–1","3–0","0–0","0–1","2–0","1–0","3–1","5–2","0–0","1–1","3–2","4–0","0–1","0–0","1–0","2–0","4–0","1–2","1–0","","3–0"
"York City","0–0","1–1","3–0","1–1","0–0","3–4","2–0","5–1","1–0","3–3","0–3","2–0","3–1","2–1","2–0","5–2","1–2","1–0","1–1","3–1","1–0","1–2","1–2",""
