"Home \ Away","BRY","CAR","CHA","CHE","DER","GRI","HUD","LEE","LUT","MID","NEW","NWC","PLY","POR","PNE","ROT","SCU","SOU","STK","SUN","SWA","WAL"
"Bury","","1–0","3–1","2–0","3–3","2–0","1–1","3–1","1–0","1–0","0–0","0–3","1–2","2–0","0–0","0–5","0–2","1–1","2–1","3–0","2–0","0–0"
"Cardiff City","3–1","","1–2","1–0","1–0","5–3","3–0","0–0","1–0","1–2","4–4","2–4","2–1","1–2","1–1","4–1","4–0","3–1","1–1","5–2","5–2","2–2"
"Charlton Athletic","0–0","2–4","","1–4","0–0","0–3","1–0","1–2","2–0","3–4","1–2","0–2","6–3","2–0","2–1","2–3","1–0","2–1","0–3","2–2","2–2","3–2"
"Chelsea","2–0","6–0","5–0","","3–1","2–1","1–2","2–2","3–1","3–2","4–2","2–0","1–1","7–0","2–0","3–0","3–0","2–0","0–1","1–0","2–2","0–1"
"Derby County","0–0","1–2","2–3","1–3","","2–4","2–1","0–0","1–0","3–3","0–1","3–0","3–2","4–0","1–0","3–2","6–2","3–1","1–1","2–2","0–2","2–0"
"Grimsby Town","5–1","1–2","2–1","0–3","0–0","","1–1","1–1","3–1","3–4","0–1","0–2","1–1","1–1","2–0","1–2","3–0","4–1","1–1","1–2","1–0","3–1"
"Huddersfield Town","0–1","1–0","2–0","1–0","3–3","0–0","","1–1","2–0","0–0","2–1","0–0","4–2","1–3","1–0","1–0","2–0","2–3","3–3","0–3","4–1","4–0"
"Leeds United","1–2","3–0","4–1","2–0","3–1","3–0","0–1","","3–0","2–3","1–0","3–0","6–1","3–3","4–1","3–4","1–0","1–1","3–1","1–0","5–0","3–0"
"Luton Town","2–1","2–3","4–1","0–2","1–2","2–2","3–2","2–2","","4–3","2–3","4–2","3–0","3–3","0–2","2–3","1–0","3–2","0–0","0–3","3–1","4–3"
"Middlesbrough","0–0","3–2","2–1","1–0","5–1","0–1","0–5","2–1","0–2","","4–2","6–2","3–0","4–2","2–0","2–1","4–3","1–2","2–2","3–3","2–2","2–3"
"Newcastle United","1–3","2–1","3–2","2–0","0–0","0–0","1–1","1–1","3–1","6–1","","2–1","3–1","1–1","2–2","4–1","1–1","4–1","5–2","1–1","6–0","0–2"
"Norwich City","1–1","0–0","1–4","4–1","2–0","0–0","2–3","3–2","3–3","3–4","1–2","","2–1","5–3","1–1","4–2","3–3","1–0","6–0","4–2","5–0","2–1"
"Plymouth Argyle","0–0","4–2","6–1","2–1","2–1","2–0","1–1","3–1","3–1","4–5","0–2","1–0","","2–0","7–1","2–2","2–3","2–1","0–1","1–1","1–0","3–0"
"Portsmouth","2–1","2–0","3–3","0–2","1–0","2–1","1–1","3–0","3–1","1–1","3–1","0–2","1–2","","1–2","1–2","1–2","1–1","0–3","3–1","0–0","4–1"
"Preston North End","0–2","2–6","4–1","1–3","1–0","0–0","2–0","4–1","3–1","0–1","2–1","2–2","0–0","4–2","","2–2","3–1","1–0","1–1","1–1","6–3","4–2"
"Rotherham United","1–5","2–1","1–2","0–1","2–2","0–0","0–2","2–1","2–1","4–1","3–1","0–3","3–2","0–0","3–1","","1–0","2–0","1–2","4–2","2–1","1–2"
"Scunthorpe United","1–0","2–2","2–0","3–0","2–1","1–1","2–2","0–2","2–0","1–1","2–1","3–1","2–2","1–2","4–1","1–0","","2–1","0–0","1–1","1–0","2–0"
"Southampton","0–3","3–5","1–0","2–1","5–0","4–1","3–1","3–1","2–2","6–0","3–0","3–1","1–1","4–2","1–0","1–0","1–1","","2–0","2–4","3–0","2–0"
"Stoke City","2–0","1–0","6–3","0–0","3–3","4–1","2–1","0–1","2–0","0–1","3–1","3–0","2–2","3–1","3–0","3–1","2–3","3–1","","2–1","2–0","3–0"
"Sunderland","0–1","2–1","1–0","0–1","3–0","6–2","1–1","2–1","3–1","3–1","0–0","7–1","1–1","1–0","2–1","2–0","0–0","4–0","0–0","","3–1","5–0"
"Swansea Town","3–0","2–1","2–1","2–0","2–0","1–0","1–2","0–2","1–0","1–1","1–0","2–0","2–1","0–0","1–1","2–2","1–0","1–1","2–1","3–4","","3–0"
"Walsall","3–1","2–1","1–2","1–5","1–3","4–1","1–1","1–1","1–1","1–0","0–6","3–1","2–2","3–5","4–1","1–0","1–1","1–1","0–0","2–3","0–1",""
