"Home \ Away","ARS","AST","BIR","BLB","BLP","BOL","BUR","CHE","EVE","FUL","IPS","LEI","LIV","MUN","NOT","SHU","SHW","STK","TOT","WBA","WHU","WOL"
"Arsenal","","3–0","4–1","0–0","5–3","4–3","3–2","2–4","6–0","2–2","6–0","0–1","1–1","2–1","4–2","1–3","1–1","1–1","4–4","3–2","3–3","1–3"
"Aston Villa","2–1","","0–3","1–2","3–1","3–0","2–0","2–0","0–1","2–2","0–0","1–3","2–2","4–0","3–0","0–1","2–2","1–3","2–4","1–0","2–2","2–2"
"Birmingham","1–4","3–3","","2–2","3–2","2–1","0–0","3–4","0–2","0–0","1–0","2–0","3–1","1–1","3–3","3–0","1–2","0–1","1–2","0–1","2–1","2–2"
"Blackburn Rovers","4–1","2–0","3–0","","1–2","3–0","1–2","2–2","1–2","2–0","3–1","5–2","1–2","1–3","2–0","2–2","1–1","1–0","7–2","0–2","1–3","1–1"
"Blackpool","0–1","0–4","3–0","3–2","","2–0","1–1","1–5","1–1","1–0","2–2","3–3","0–1","1–0","1–0","2–2","2–2","1–0","0–2","1–0","0–1","1–2"
"Bolton Wanderers","1–1","1–1","0–2","0–5","1–1","","2–1","1–0","1–3","2–1","6–0","0–0","1–2","0–1","2–3","3–0","3–0","3–4","1–3","1–2","1–1","0–4"
"Burnley","0–3","2–0","2–1","3–0","1–0","1–1","","0–0","2–3","4–1","3–1","2–0","0–3","6–1","1–1","1–2","3–1","1–0","7–2","3–2","3–1","1–0"
"Chelsea","3–1","1–0","2–3","1–0","1–0","4–0","2–0","","1–0","1–2","4–0","1–0","1–3","1–1","1–0","3–2","1–2","3–3","0–3","3–1","0–0","2–3"
"Everton","2–1","4–2","3–0","2–4","3–1","2–0","3–4","1–1","","3–0","1–1","0–3","3–1","4–0","6–1","4–1","3–2","2–0","1–0","1–1","2–0","3–3"
"Fulham","1–4","2–0","2–1","1–1","1–1","3–1","2–1","0–1","2–2","","10–1","2–1","1–0","2–2","0–0","3–1","2–0","3–3","1–1","1–1","2–0","4–1"
"Ipswich Town","1–2","4–3","3–2","0–0","4–3","1–3","3–1","1–3","0–0","4–2","","1–1","1–2","2–7","4–3","1–0","1–4","0–2","2–3","1–2","3–2","1–0"
"Leicester City","7–2","0–0","3–0","4–3","2–3","1–0","0–0","2–4","2–0","0–1","2–1","","0–2","3–2","1–1","0–1","2–0","2–1","0–1","0–2","2–2","0–1"
"Liverpool","5–0","5–2","2–1","1–2","1–2","2–0","2–0","2–1","2–1","2–0","6–0","0–1","","3–0","1–2","6–1","3–1","6–1","3–1","1–0","1–2","6–0"
"Manchester United","3–1","1–0","1–2","2–2","3–0","5–0","5–1","1–1","5–1","3–0","2–0","3–1","0–1","","3–1","2–1","3–1","5–2","4–1","1–0","0–1","2–2"
"Nottingham Forest","2–0","0–1","4–0","1–1","0–1","3–1","1–3","0–1","2–2","2–0","3–1","2–0","0–0","1–2","","3–3","3–2","0–0","1–2","0–3","3–1","3–0"
"Sheffield United","2–2","1–1","3–0","0–1","1–0","0–1","2–0","1–1","0–0","1–0","3–1","0–1","3–0","1–2","1–2","","1–1","4–1","3–3","2–1","2–1","4–3"
"Sheffield Wednesday","0–4","1–0","2–1","5–2","1–0","3–0","3–1","3–2","0–3","3–0","3–1","1–2","2–2","3–3","3–1","3–0","","2–0","2–0","2–2","3–0","5–0"
"Stoke City","1–2","2–2","4–1","3–1","1–2","0–1","4–4","2–0","3–2","1–1","9–1","3–3","3–1","3–1","0–1","0–2","4–4","","2–1","1–1","3–0","0–2"
"Tottenham Hotspur","3–1","3–1","6–1","4–1","6–1","1–0","3–2","1–2","2–4","1–0","6–3","1–1","1–3","2–3","4–1","0–0","1–1","2–1","","0–2","3–0","4–3"
"West Bromwich Albion","4–0","4–3","3–1","1–3","2–1","1–1","0–0","1–1","4–2","3–0","2–1","1–1","2–2","1–4","2–3","2–0","1–3","2–3","4–4","","0–1","3–1"
"West Ham United","1–1","0–1","5–0","2–8","3–1","2–3","1–1","2–2","4–2","1–1","2–2","2–2","1–0","0–2","0–2","2–3","4–3","4–1","4–0","4–2","","1–1"
"Wolverhampton Wanderers","2–2","3–3","5–1","1–5","1–1","2–2","1–1","4–1","0–0","4–0","2–1","1–2","1–3","2–0","2–3","1–1","1–1","2–1","1–4","0–0","0–2",""
