"Home \ Away","ALD","BRW","BRA","BPA","B&HA","CRL","CHE","CHF","DAR","DON","EXE","GIL","HAL","HAR","LIN","NPC","OXF","ROC","SOU","STP","TOR","TRA","WRK","YOR"
"Aldershot","","8–2","2–3","0–3","1–0","3–2","2–1","0–2","1–2","4–2","0–1","1–1","0–0","4–1","2–0","2–0","2–0","1–1","3–1","7–0","1–0","5–4","4–0","5–2"
"Barrow","0–2","","2–3","2–2","1–1","2–2","2–2","5–2","3–1","0–2","1–1","0–3","0–0","1–2","2–0","1–1","1–1","1–2","1–3","1–2","1–0","1–1","1–1","1–2"
"Bradford City","3–0","7–1","","1–0","3–1","2–2","1–1","4–2","1–2","2–1","1–2","0–2","0–0","2–0","4–0","2–1","2–1","2–0","2–0","1–0","2–1","0–3","0–2","3–2"
"Bradford Park Avenue","2–1","1–0","1–3","","2–1","1–1","4–0","0–1","4–1","3–1","3–2","1–0","4–4","3–1","0–1","2–5","5–2","2–2","3–0","2–2","1–1","4–2","1–0","1–3"
"Brighton & Hove Albion","3–1","2–0","1–2","0–1","","1–3","0–0","1–1","2–0","4–0","1–2","2–1","3–0","4–1","5–1","1–2","2–1","3–1","1–0","1–2","3–0","1–1","1–2","3–0"
"Carlisle United","4–0","4–1","1–2","4–0","0–1","","3–1","1–0","3–3","6–0","3–0","3–1","3–0","7–1","5–0","3–3","2–1","1–0","5–2","0–0","0–1","5–2","3–1","4–0"
"Chester","2–0","2–0","3–0","1–0","0–0","4–2","","4–2","0–1","1–1","2–0","1–0","5–2","2–1","3–1","3–0","0–2","2–0","5–0","2–1","2–1","0–2","2–1","1–1"
"Chesterfield","4–0","1–1","3–2","1–2","1–0","2–0","1–0","","2–1","3–3","0–1","0–3","2–2","0–2","1–3","0–1","0–0","1–1","1–0","1–1","1–1","1–1","2–2","1–0"
"Darlington","0–1","3–3","1–2","2–2","1–2","1–6","1–0","3–2","","2–0","1–1","1–1","0–0","0–0","1–1","3–1","3–0","3–2","2–2","2–3","2–0","3–5","1–1","4–2"
"Doncaster Rovers","1–1","3–1","2–1","3–2","1–1","1–1","3–2","1–1","10–0","","1–0","1–2","3–1","2–2","0–0","1–1","0–1","2–0","3–0","4–1","1–0","1–2","2–3","0–0"
"Exeter City","0–0","0–0","4–1","2–3","0–0","1–0","3–0","6–1","1–1","3–1","","0–0","0–0","2–1","0–0","3–1","3–2","0–1","1–1","2–0","0–0","5–0","2–1","1–0"
"Gillingham","2–0","3–1","0–0","2–0","1–0","2–0","2–1","1–0","2–1","1–1","0–0","","2–1","2–0","1–0","1–1","2–0","0–0","5–1","0–0","2–0","2–2","3–1","1–0"
"Halifax Town","3–3","1–0","0–1","2–1","2–2","1–2","1–0","3–2","2–2","0–2","2–0","0–0","","4–1","0–2","2–0","3–1","3–2","4–1","4–2","5–1","2–0","1–3","2–0"
"Hartlepool","1–4","0–0","1–0","4–2","2–2","0–6","2–0","1–0","0–2","2–1","1–1","0–0","1–1","","1–2","1–1","2–1","1–1","2–3","3–0","1–4","3–2","1–2","0–1"
"Lincoln City","3–3","3–0","1–2","3–0","0–2","0–2","3–2","5–2","3–1","3–1","1–1","0–3","4–0","4–2","","2–1","3–2","2–0","2–0","1–0","3–2","0–1","0–2","3–2"
"Newport County","2–1","3–0","3–1","4–0","2–0","1–4","0–1","0–1","1–2","1–0","0–1","0–1","4–2","2–1","4–2","","1–0","1–1","3–0","3–1","0–3","0–2","0–0","0–0"
"Oxford United","1–1","0–0","1–1","2–1","1–3","1–2","2–1","1–2","5–0","0–1","0–2","3–1","2–2","5–1","2–0","2–1","","1–1","0–0","1–0","1–0","0–2","2–1","4–4"
"Rochdale","2–2","1–3","1–2","0–0","1–1","1–1","1–0","0–1","2–1","2–2","1–3","2–1","4–1","2–0","2–2","0–1","0–0","","4–0","1–0","1–2","1–1","5–0","2–0"
"Southport","4–1","3–3","3–3","0–1","3–3","3–0","0–2","0–1","3–1","3–0","1–1","1–1","3–1","2–1","1–0","4–2","1–1","2–1","","2–0","1–0","2–0","0–3","0–3"
"Stockport County","2–2","5–0","2–1","2–1","1–1","0–3","1–0","2–1","2–0","1–3","0–0","2–0","1–2","1–0","4–0","1–0","0–0","1–0","1–4","","0–0","1–1","0–0","2–0"
"Torquay United","3–0","1–1","4–0","6–2","3–0","3–1","5–0","1–1","3–1","1–0","1–1","1–0","3–2","4–2","2–2","8–3","0–0","1–0","3–1","4–0","","1–1","2–1","0–1"
"Tranmere","3–0","1–1","0–1","3–1","1–2","6–1","3–3","2–1","0–2","3–0","2–1","0–0","2–2","2–3","3–0","2–3","1–3","2–1","2–0","4–2","3–1","","0–2","1–0"
"Workington","4–0","4–1","1–0","1–1","1–0","2–2","1–1","1–2","3–0","4–1","0–0","1–0","2–4","2–0","1–1","2–0","3–1","3–0","2–1","1–1","2–1","4–2","","1–0"
"York City","1–2","1–2","1–0","2–0","2–3","0–0","1–0","2–0","3–1","3–1","1–2","0–1","1–3","0–1","0–0","3–0","0–2","0–3","4–1","2–0","1–1","1–2","0–1",""
