"Home \ Away","BRY","CAR","CHA","DER","GRI","HUD","LEE","LEY","MCI","MID","NEW","NOR","NWC","PLY","POR","PNE","ROT","SCU","SOU","SUN","SWA","SWI"
"Bury","","4–1","0–2","1–2","1–1","0–2","1–2","1–2","1–1","1–1","1–2","1–1","4–2","2–2","3–2","2–1","4–2","3–2","1–5","0–1","3–2","1–0"
"Cardiff City","2–1","","1–1","2–1","0–0","2–1","0–0","2–1","2–2","1–1","2–2","1–0","3–1","3–1","1–2","0–4","2–1","3–1","2–4","0–2","1–1","1–0"
"Charlton Athletic","3–0","5–2","","2–0","2–1","5–2","0–2","1–2","4–3","2–4","1–2","1–1","3–1","1–0","0–1","3–0","4–3","0–1","2–2","0–0","3–1","2–2"
"Derby County","2–1","2–1","1–1","","0–0","2–0","1–1","1–0","1–3","2–2","1–2","0–0","2–1","3–1","3–1","1–2","1–4","2–2","3–2","0–3","3–0","3–0"
"Grimsby Town","1–0","0–2","0–2","1–3","","2–2","0–2","1–1","1–1","3–1","2–1","4–1","3–1","1–1","0–3","0–3","1–3","2–0","2–2","2–2","1–1","1–2"
"Huddersfield Town","2–1","2–1","2–1","0–0","1–2","","0–2","2–1","0–2","1–0","3–0","0–1","1–1","4–3","1–1","2–2","0–3","3–2","4–0","0–2","1–0","2–0"
"Leeds United","3–0","1–1","1–1","2–2","3–1","1–1","","2–1","1–0","2–0","2–1","0–0","4–2","1–1","3–1","1–1","1–0","1–0","3–1","1–1","2–1","0–0"
"Leyton Orient","1–1","4–0","0–3","3–0","0–0","2–3","0–2","","0–2","3–2","1–0","0–0","1–1","1–0","3–6","2–2","0–2","2–2","1–0","2–5","4–0","2–1"
"Manchester City","1–1","4–0","1–3","3–2","0–4","5–2","3–2","2–0","","1–0","3–1","3–0","5–0","1–1","0–2","2–3","6–1","8–1","1–1","0–3","1–0","0–0"
"Middlesbrough","2–0","3–1","2–3","3–0","6–0","1–1","1–3","2–0","2–2","","3–0","1–0","0–1","5–0","3–1","3–0","2–2","2–0","1–0","2–0","2–1","1–1"
"Newcastle United","0–4","0–4","5–0","3–1","4–0","2–0","0–1","3–0","3–1","2–0","","2–3","2–0","1–1","1–0","2–4","5–2","3–1","2–2","1–0","4–1","4–1"
"Northampton Town","1–2","2–1","1–2","0–1","1–2","1–0","0–3","1–2","2–1","3–2","2–2","","3–2","0–0","2–1","0–3","1–3","2–0","2–0","5–1","2–3","4–0"
"Norwich City","0–1","5–1","1–3","3–0","2–0","2–2","2–2","1–2","1–2","1–1","3–1","3–3","","1–1","3–1","2–1","2–2","2–1","1–1","2–3","3–0","3–2"
"Plymouth Argyle","1–0","1–1","1–0","0–0","3–2","0–0","0–1","2–2","2–1","2–0","3–4","0–3","1–2","","0–4","0–2","0–0","3–1","1–1","1–1","3–2","2–4"
"Portsmouth","3–3","5–0","4–1","1–1","2–2","2–1","1–1","4–3","2–2","1–0","5–2","3–0","1–1","1–2","","1–2","2–1","3–4","2–0","2–4","0–0","1–4"
"Preston North End","3–0","4–0","3–1","0–2","1–0","2–1","2–0","0–0","2–0","2–2","3–0","2–1","3–0","0–0","0–0","","2–2","1–0","2–1","1–1","3–3","1–0"
"Rotherham United","6–2","1–0","5–0","2–0","1–0","3–1","2–2","2–4","1–2","2–1","2–3","1–0","4–0","3–1","4–2","4–2","","2–1","2–3","2–2","3–0","0–0"
"Scunthorpe United","0–0","1–2","1–1","3–2","2–2","1–0","0–1","0–0","2–4","1–0","2–0","1–2","2–2","1–0","1–1","1–0","4–3","","1–2","1–1","2–2","3–0"
"Southampton","0–1","3–2","6–1","6–4","6–0","1–1","1–4","3–0","4–2","2–2","2–0","3–0","3–0","1–2","2–3","4–5","6–1","7–2","","0–0","4–0","5–1"
"Sunderland","4–1","3–3","2–1","3–0","3–0","3–2","2–0","4–1","2–0","0–0","2–1","0–2","0–0","1–0","3–0","4–0","2–0","1–0","1–2","","1–0","6–0"
"Swansea Town","0–2","3–0","1–2","2–1","1–1","1–2","0–3","1–0","3–3","2–1","0–1","1–1","3–1","2–1","1–1","5–1","4–2","4–1","6–0","1–2","","3–0"
"Swindon Town","2–1","1–2","2–2","0–0","2–1","1–2","2–2","5–0","3–0","2–0","0–0","2–3","2–2","2–1","2–0","1–2","3–1","3–0","1–2","1–0","2–1",""
