"Home \ Away","BAR","B&BA","BRE","BRI","BRR","COL","COV","CRE","CRY","HUL","LUT","MAN","MIL","NTC","OLD","PET","PTV","QPR","REA","SHR","STD","WAL","WAT","WRE"
"Barnsley","","2–1","1–1","2–4","1–2","1–1","1–1","1–0","2–0","2–2","3–1","1–1","1–1","2–1","2–2","3–2","0–0","3–1","0–3","2–1","0–1","1–3","0–0","3–0"
"Bournemouth & Boscombe Athletic","4–1","","2–0","0–1","1–0","2–2","2–1","3–0","4–3","1–0","3–1","0–0","4–0","1–1","1–0","3–0","3–0","4–2","1–2","2–0","1–0","1–1","2–0","2–0"
"Brentford","1–1","2–0","","1–2","2–5","3–1","2–3","2–2","2–1","1–3","2–6","4–0","3–1","4–1","2–0","2–0","1–2","2–2","4–2","0–1","3–0","1–1","1–2","9–0"
"Bristol City","5–2","3–1","3–3","","3–0","3–1","0–1","1–1","1–1","1–0","5–1","2–3","0–0","2–0","3–1","3–1","0–0","2–1","0–2","2–2","2–2","5–1","2–0","4–0"
"Bristol Rovers","1–1","2–3","3–1","4–0","","3–1","0–1","1–2","1–3","4–0","1–2","3–2","2–2","4–0","0–1","2–2","4–4","0–0","2–5","7–0","3–1","3–0","1–2","1–1"
"Colchester United","4–1","1–2","1–2","1–1","2–3","","2–1","4–0","1–1","1–1","1–1","1–1","2–0","4–0","2–3","4–1","1–2","2–0","2–1","1–0","3–3","0–0","1–1","4–1"
"Coventry City","3–1","2–2","2–2","2–1","4–2","1–0","","5–1","5–1","2–2","3–3","0–3","3–0","2–0","4–1","3–2","1–1","4–2","0–0","8–1","2–5","1–0","2–2","3–0"
"Crewe Alexandra","1–2","1–0","1–1","2–0","4–1","1–1","2–2","","0–2","1–4","1–0","3–2","1–0","0–1","1–0","0–0","1–0","2–0","2–2","3–2","1–2","0–1","0–1","1–2"
"Crystal Palace","1–2","2–1","1–0","1–0","1–0","0–0","1–1","1–0","","2–2","1–1","3–1","2–1","2–0","1–3","1–0","2–0","1–0","4–1","3–0","3–0","1–0","2–0","2–1"
"Hull City","2–2","3–4","0–0","4–4","0–2","0–0","2–1","2–1","1–1","","2–0","3–1","0–0","4–1","0–1","0–0","4–1","3–0","1–1","4–2","1–0","3–1","2–2","4–2"
"Luton Town","2–3","1–0","0–2","1–4","4–2","3–1","1–3","3–3","0–4","2–1","","0–2","1–3","2–0","1–2","2–3","1–0","4–4","2–1","2–0","4–1","1–0","2–1","3–1"
"Mansfield Town","2–1","1–1","2–2","4–0","2–0","1–1","3–2","2–1","1–1","2–0","1–1","","4–1","4–0","1–1","4–1","1–1","1–0","2–1","3–1","4–1","2–1","1–1","3–1"
"Millwall","4–2","3–0","1–3","0–1","0–1","0–1","0–0","1–0","0–1","0–1","3–0","0–1","","6–1","2–1","0–2","3–1","2–2","2–0","2–2","1–1","2–1","0–3","1–4"
"Notts County","1–1","1–3","2–0","1–1","3–4","3–1","0–3","0–0","1–1","0–1","1–1","1–0","2–0","","4–2","0–0","2–0","2–2","0–1","0–1","1–1","0–1","1–2","3–0"
"Oldham Athletic","2–0","2–4","4–1","1–2","2–2","2–2","2–0","3–2","3–1","1–1","0–1","1–0","1–2","2–0","","4–2","1–0","2–1","3–1","2–4","0–3","2–4","1–0","3–2"
"Peterborough United","3–2","2–1","3–0","4–2","2–2","4–0","2–0","3–2","1–1","5–1","0–0","1–3","2–3","5–1","0–0","","1–1","2–1","1–0","2–2","3–0","1–2","0–1","5–2"
"Port Vale","1–0","0–0","3–0","4–1","1–0","0–2","1–1","4–0","1–2","1–0","1–0","1–0","1–0","0–1","1–0","1–2","","2–0","0–0","1–1","4–1","2–2","0–0","5–0"
"Queens Park Rangers","2–2","1–0","2–2","0–2","1–0","0–0","3–6","2–0","3–4","0–2","1–1","2–0","2–0","3–2","3–2","3–0","3–0","","4–2","3–4","4–5","3–0","1–0","1–0"
"Reading","6–1","2–0","4–3","1–1","3–1","5–3","2–2","2–2","0–0","2–0","1–1","4–3","1–0","3–2","0–1","1–0","1–0","1–2","","2–0","4–2","0–1","2–0","2–1"
"Shrewsbury Town","3–1","5–2","1–1","2–0","0–1","1–1","0–0","3–0","1–1","5–1","1–0","2–0","0–1","5–2","2–0","0–0","1–0","1–2","2–1","","2–2","2–1","3–0","1–2"
"Southend","4–1","1–1","2–1","1–1","3–4","0–0","1–2","1–1","2–1","1–1","0–1","2–1","1–1","3–1","2–2","2–0","1–1","1–3","2–0","7–1","","1–1","3–0","1–1"
"Walsall","4–4","0–2","2–2","1–1","2–3","1–1","0–3","2–1","2–2","1–1","4–0","3–1","0–2","2–1","1–1","2–0","2–1","0–2","1–1","1–1","2–0","","1–3","0–2"
"Watford","2–1","3–0","2–2","2–2","3–2","3–1","1–1","4–1","3–1","3–3","2–0","3–0","2–2","2–0","2–1","1–2","1–1","3–1","1–0","2–1","3–1","5–3","","4–2"
"Wrexham","7–2","3–4","2–4","1–1","1–2","5–4","1–1","1–1","2–2","3–1","2–0","2–0","3–0","4–0","0–4","2–3","1–2","0–1","0–3","2–3","1–3","4–0","3–1",""
