"Home \ Away","ARS","AST","BIR","BLB","BLP","BUR","CHE","EVE","FUL","LEE","LEI","LIV","MUN","NOT","SHU","SHW","STK","SUN","TOT","WBA","WHU","WOL"
"Arsenal","","3–1","3–0","1–1","3–1","3–2","1–3","3–1","2–0","1–2","4–3","0–0","2–3","0–3","1–1","1–1","3–2","3–1","3–1","1–1","0–3","4–1"
"Aston Villa","3–1","","3–0","0–4","3–2","1–0","2–2","1–2","2–0","1–2","1–0","0–1","2–1","2–1","2–1","2–0","3–0","2–1","1–0","0–1","2–3","3–2"
"Birmingham","2–3","0–1","","5–5","3–0","2–1","1–6","3–5","2–2","3–3","2–0","0–0","2–4","1–1","1–1","0–0","1–2","4–3","1–0","1–1","2–1","0–1"
"Blackburn Rovers","1–2","5–1","3–1","","4–1","1–4","0–3","0–2","2–0","0–2","3–1","3–2","0–5","1–1","4–0","0–1","1–1","3–2","3–1","4–2","4–0","4–1"
"Blackpool","1–1","3–1","3–1","4–2","","2–4","3–2","1–1","3–0","4–0","1–1","2–3","1–2","0–2","2–2","1–0","1–1","3–1","1–1","3–0","1–2","1–1"
"Burnley","2–1","2–2","2–0","1–1","2–2","","6–2","1–1","4–0","0–1","2–1","1–5","0–0","2–2","3–1","4–1","1–0","0–0","2–2","0–1","3–2","1–1"
"Chelsea","2–1","2–1","3–1","5–1","2–0","0–1","","5–1","1–0","2–0","4–1","4–0","0–2","0–1","3–0","1–1","4–0","3–1","3–1","2–2","0–3","2–1"
"Everton","1–0","3–1","1–1","2–3","0–0","2–1","1–1","","2–0","0–1","2–2","2–1","3–3","1–0","1–1","1–1","1–1","1–1","4–1","3–2","1–1","5–0"
"Fulham","3–4","1–1","3–1","3–2","3–3","0–1","1–2","1–1","","2–2","5–2","1–1","2–1","4–1","1–2","2–0","1–4","1–0","4–1","3–1","1–2","2–0"
"Leeds United","3–1","1–0","4–1","1–1","3–0","5–1","2–2","4–1","2–2","","3–2","4–2","0–1","1–2","4–1","2–0","3–1","2–1","3–1","1–0","2–1","3–2"
"Leicester City","2–3","1–1","4–4","2–3","3–2","0–2","1–1","2–1","5–1","2–2","","2–0","2–2","3–2","0–2","2–2","0–1","0–1","4–2","4–2","1–0","3–2"
"Liverpool","3–2","5–1","4–3","3–2","2–2","1–1","2–0","0–4","3–2","2–1","0–1","","0–2","2–0","3–1","4–2","3–2","0–0","1–1","0–3","2–2","2–1"
"Manchester United","3–1","7–0","1–1","3–0","2–0","3–2","4–0","2–1","4–1","0–1","1–0","3–0","","3–0","1–1","1–0","1–1","1–0","4–1","2–2","3–1","3–0"
"Nottingham Forest","3–0","4–2","4–3","2–5","2–0","3–1","2–2","3–1","2–3","0–0","2–1","2–2","2–2","","0–0","2–2","3–1","5–2","1–2","0–0","3–2","0–2"
"Sheffield United","4–0","4–2","3–1","1–1","1–3","2–0","0–2","0–0","1–1","0–3","0–2","3–0","0–1","0–2","","2–3","0–1","3–0","3–3","1–1","2–1","0–2"
"Sheffield Wednesday","2–1","3–1","5–2","1–0","4–1","5–1","2–3","0–1","1–1","3–0","0–0","1–0","1–0","0–0","0–2","","1–1","2–0","1–0","1–1","2–0","2–0"
"Stoke City","4–1","2–1","2–1","1–1","4–2","2–0","0–2","0–2","3–1","2–3","3–3","1–1","1–2","1–1","0–1","4–1","","3–1","2–0","2–0","3–1","0–2"
"Sunderland","0–2","2–2","2–1","1–0","1–0","3–2","3–0","4–0","0–0","3–3","3–3","2–3","1–0","4–0","3–1","3–0","2–2","","2–1","2–2","3–2","1–2"
"Tottenham Hotspur","3–1","4–0","4–1","5–2","4–1","4–1","1–1","2–2","3–0","0–0","6–2","3–0","1–0","4–0","2–0","3–2","2–1","3–0","","1–0","3–2","7–4"
"West Bromwich Albion","0–0","3–1","0–2","0–0","1–3","1–2","0–2","4–0","2–2","1–2","6–0","3–0","1–1","2–2","0–1","1–0","5–3","4–1","2–0","","4–2","5–1"
"West Ham United","2–1","3–0","2–1","1–1","2–1","3–2","3–2","0–1","2–0","3–1","0–0","2–1","3–1","2–3","3–1","1–2","0–1","2–3","3–2","6–1","","5–0"
"Wolverhampton Wanderers","0–1","0–1","0–2","4–2","1–2","1–2","0–3","2–4","0–0","0–1","1–1","1–3","2–4","1–2","1–0","3–1","3–1","3–0","3–1","3–2","4–3",""
