"Home \ Away","ALD","BRW","BRA","BPA","B&HA","CHE","CHF","CRE","DAR","DON","HAL","HAR","LIN","MIL","NPC","NTC","OXF","ROC","SOU","STP","TOR","TRA","WRE","YOR"
"Aldershot","","2–1","1–1","1–1","0–2","3–1","2–0","5–2","0–1","3–0","2–0","3–0","3–2","0–0","2–1","1–2","4–1","1–2","0–3","2–0","2–5","3–0","5–0","1–0"
"Barrow","2–0","","1–0","2–1","1–4","2–1","1–2","1–2","3–1","1–2","1–0","4–2","2–2","0–5","1–4","2–0","1–1","2–2","1–1","0–1","2–1","0–2","0–2","0–2"
"Bradford City","2–0","1–3","","0–2","4–1","1–3","0–0","5–2","2–3","0–3","3–1","4–0","0–1","1–2","1–0","0–2","2–1","0–2","2–1","1–1","2–3","1–2","4–1","1–2"
"Bradford Park Avenue","3–1","3–2","3–3","","2–0","3–1","1–0","2–3","3–1","5–2","5–1","4–0","3–1","4–0","2–2","2–2","1–0","0–0","0–0","1–0","4–2","1–1","0–0","0–0"
"Brighton & Hove Albion","2–0","3–1","3–3","2–2","","4–4","5–0","3–1","3–1","1–1","2–1","5–0","4–0","2–0","1–0","6–0","0–0","3–0","3–1","3–1","3–1","2–1","5–1","3–1"
"Chester","6–2","4–1","3–1","3–0","3–1","","4–0","2–2","4–5","3–0","1–0","4–0","5–1","3–1","4–3","4–1","2–1","0–1","3–1","4–0","0–1","3–2","6–1","4–1"
"Chesterfield","0–1","2–0","3–1","2–4","1–1","1–3","","2–1","3–0","1–0","3–0","3–1","1–0","2–3","2–1","0–0","2–1","1–1","1–2","2–0","2–1","1–0","0–0","1–1"
"Crewe Alexandra","4–1","6–2","2–1","1–1","3–2","5–1","0–2","","1–2","4–4","2–2","2–3","5–0","1–1","1–1","2–1","2–2","1–1","4–1","3–2","2–0","1–1","1–0","2–3"
"Darlington","4–1","1–2","3–1","1–2","2–0","2–0","2–2","0–2","","2–2","5–1","2–3","3–1","1–3","0–1","5–1","2–0","2–0","3–2","3–2","1–2","2–1","5–1","1–0"
"Doncaster Rovers","1–0","4–2","0–0","1–1","2–1","1–4","2–0","3–1","6–3","","4–0","0–1","1–2","4–0","1–0","0–0","2–2","2–2","1–2","3–0","2–0","1–0","1–1","4–3"
"Halifax Town","3–3","3–2","0–3","2–3","1–1","3–4","2–1","2–0","4–0","2–4","","2–1","2–1","1–2","2–0","1–1","1–3","1–2","2–1","0–1","0–1","0–1","2–1","1–1"
"Hartlepools United","1–1","3–0","2–2","2–0","1–1","1–1","1–1","2–4","4–3","1–1","4–0","","3–0","1–0","2–4","2–2","1–1","1–1","2–1","4–3","1–0","2–0","1–0","2–2"
"Lincoln City","3–1","1–0","0–2","2–2","0–1","2–2","0–2","1–2","2–0","0–2","2–3","4–2","","2–2","4–3","1–0","0–2","1–1","3–0","6–0","0–1","1–2","0–2","0–1"
"Millwall","5–0","3–1","3–0","1–0","2–0","1–0","4–2","0–0","1–1","1–1","5–1","0–0","2–1","","4–0","4–1","2–2","0–0","0–0","1–0","2–2","1–0","2–2","1–1"
"Newport County","2–1","2–2","4–2","4–3","1–1","0–1","4–1","2–2","2–1","1–0","0–2","2–0","7–0","2–2","","3–1","0–3","2–3","5–0","2–0","4–0","1–1","2–0","2–0"
"Notts County","0–0","4–1","1–0","3–3","1–2","1–1","5–1","2–0","4–2","5–2","4–0","1–0","2–1","1–2","1–0","","0–0","0–0","0–0","2–0","0–0","2–4","1–3","3–1"
"Oxford United","0–0","7–0","3–1","3–0","2–2","3–2","1–0","4–2","1–0","1–0","1–0","3–0","2–0","0–2","4–1","4–0","","2–2","1–1","2–0","3–0","1–0","4–0","2–0"
"Rochdale","3–1","3–0","3–1","4–3","2–2","2–1","1–2","1–0","1–1","2–1","3–0","3–0","2–0","0–2","2–0","1–1","3–3","","2–0","4–0","1–0","0–1","2–1","1–2"
"Southport","3–1","0–4","0–4","1–1","1–2","2–2","1–0","2–3","3–3","3–5","5–2","1–1","4–4","0–0","5–3","0–0","0–3","1–0","","1–1","0–1","2–2","0–2","0–1"
"Stockport County","2–1","1–0","2–0","0–2","1–4","4–5","0–1","1–1","0–0","2–0","2–0","0–1","3–1","1–4","2–0","0–1","0–0","1–2","2–2","","0–2","2–3","3–2","1–2"
"Torquay United","5–2","6–2","2–2","1–1","0–1","3–2","0–2","0–1","2–0","2–4","2–0","2–1","0–2","0–0","2–2","2–1","1–1","2–1","2–0","1–0","","2–1","3–4","1–3"
"Tranmere Rovers","3–1","3–0","5–1","0–0","4–2","4–1","4–0","1–0","2–1","3–0","5–2","5–1","4–0","1–0","3–2","4–0","2–4","4–1","3–1","1–1","3–1","","6–0","2–1"
"Wrexham","4–0","3–3","3–2","4–1","1–2","4–2","1–2","3–3","4–2","0–2","1–1","3–0","5–3","0–1","4–2","4–0","1–1","2–3","1–1","4–1","2–3","3–2","","2–0"
"York City","1–0","2–0","5–2","0–1","2–1","3–2","7–1","3–1","2–1","4–2","4–0","0–0","3–0","3–1","5–1","2–1","2–1","2–1","3–2","3–0","1–2","4–0","2–1",""
