"Home \ Away","BOL","BRY","CAR","CHA","COV","CRY","DER","HUD","IPS","LEY","MCI","MID","NEW","NOR","NWC","PLY","POR","PNE","ROT","SOU","SWA","SWI"
"Bolton Wanderers","","0–1","1–0","1–1","1–3","3–0","3–1","1–0","0–0","0–0","4–0","4–2","1–1","0–0","5–2","6–1","3–2","5–1","2–0","3–0","2–1","1–1"
"Bury","2–1","","1–2","2–0","5–0","3–1","2–1","0–2","0–1","2–1","0–2","3–2","1–2","1–4","1–0","0–2","1–1","1–1","0–1","3–3","2–2","6–1"
"Cardiff City","1–3","4–0","","2–1","3–1","0–0","2–1","1–1","0–0","0–2","2–2","6–1","1–1","0–2","1–3","4–0","1–0","3–3","3–2","2–2","5–0","2–0"
"Charlton Athletic","1–3","1–2","2–2","","3–0","1–2","1–3","0–0","4–0","2–0","2–1","0–2","0–1","1–1","2–1","3–2","3–3","2–3","1–1","2–5","1–0","3–2"
"Coventry City","0–0","2–1","0–2","2–0","","0–0","0–2","2–3","5–3","1–1","2–2","3–0","5–4","0–1","3–0","2–0","1–2","3–0","3–5","1–1","3–0","3–2"
"Crystal Palace","2–0","0–2","0–0","3–1","2–2","","2–3","3–0","1–1","1–0","1–1","3–1","1–1","1–2","2–0","2–1","4–2","1–0","2–1","0–2","3–3","3–1"
"Derby County","2–3","3–1","1–0","4–4","2–1","3–3","","2–0","2–3","1–0","2–0","3–3","0–3","2–2","0–1","3–2","4–0","3–1","2–2","2–1","3–4","4–1"
"Huddersfield Town","1–1","0–2","3–1","0–1","2–1","2–0","3–1","","0–0","0–0","1–0","1–0","0–1","2–0","0–0","1–2","2–1","3–0","1–0","0–3","4–0","2–1"
"Ipswich Town","1–4","1–0","1–1","1–1","1–3","3–2","2–1","3–2","","1–1","4–1","5–2","3–1","0–0","3–0","2–2","7–0","1–5","4–4","2–0","3–0","0–0"
"Leyton Orient","3–1","1–0","1–3","4–2","1–3","0–1","1–4","1–0","0–0","","4–3","1–1","2–1","2–2","2–3","2–0","5–2","2–1","2–1","0–0","2–3","0–3"
"Manchester City","2–4","0–0","2–0","2–1","1–1","0–2","2–0","2–3","4–0","6–0","","1–1","3–0","0–2","0–2","2–1","2–0","4–3","2–1","3–1","1–0","1–2"
"Middlesbrough","5–2","3–3","0–0","1–2","2–3","0–0","1–2","0–0","2–4","2–0","0–1","","0–2","1–0","2–0","1–3","4–1","1–1","3–5","4–1","4–0","4–1"
"Newcastle United","2–0","2–3","2–0","1–1","2–0","2–0","2–2","2–1","2–2","5–0","0–0","2–1","","5–0","2–0","2–1","3–0","5–2","3–1","2–1","3–1","1–0"
"Northampton Town","4–0","2–0","1–0","1–0","1–1","1–1","2–2","3–2","3–2","2–0","2–0","1–1","1–0","","0–0","3–1","1–1","2–1","1–0","2–2","2–1","2–1"
"Norwich City","3–2","1–1","2–1","2–0","1–0","1–2","5–2","0–2","2–1","2–0","4–1","2–0","1–1","1–1","","3–0","3–1","4–2","3–0","2–2","2–1","3–1"
"Plymouth Argyle","1–3","2–2","3–1","1–5","2–3","1–1","1–1","0–0","1–1","1–1","3–2","1–0","2–1","5–2","1–0","","2–1","0–1","1–1","4–0","2–1","2–1"
"Portsmouth","3–0","2–1","1–0","2–3","0–2","1–1","3–1","3–0","0–2","1–1","1–1","2–1","1–2","3–3","4–0","0–1","","1–0","2–0","0–3","1–0","5–0"
"Preston North End","2–2","2–2","1–1","2–1","3–2","1–0","2–2","2–0","4–1","3–0","2–5","4–3","2–0","2–2","3–1","1–3","6–1","","0–0","0–0","2–2","2–1"
"Rotherham United","0–0","3–0","3–1","3–2","0–2","1–0","1–1","2–3","2–2","3–0","0–0","2–3","1–1","1–1","4–0","4–2","1–0","2–2","","1–3","4–2","1–0"
"Southampton","3–2","3–1","1–1","4–0","4–1","0–1","3–3","3–3","1–1","2–2","1–0","0–3","0–1","2–0","1–0","5–0","2–2","3–1","6–1","","3–1","2–1"
"Swansea Town","2–0","2–2","3–2","1–3","1–1","2–1","2–1","2–2","1–1","2–5","3–0","1–2","3–1","1–2","0–0","3–0","0–0","4–0","0–3","3–3","","4–0"
"Swindon Town","1–3","2–0","3–3","2–0","4–1","2–0","4–2","4–1","3–1","1–0","0–1","0–1","1–6","4–2","0–1","2–3","0–0","2–2","3–2","2–1","3–0",""
