"Home \ Away","BAR","B&BA","BRE","BRI","BRR","CRL","COL","EXE","GIL","GRI","HUL","LUT","MAN","OLD","PET","PTV","QPR","REA","SCU","SHR","STD","WAL","WAT","WRK"
"Barnsley","","2–2","3–1","1–2","0–2","1–2","1–2","0–0","1–0","1–0","1–1","3–0","2–3","0–1","3–2","0–2","0–0","1–1","2–0","6–2","1–4","0–1","4–0","0–3"
"Bournemouth & Boscombe Athletic","1–0","","0–1","1–2","1–1","0–4","3–1","2–2","1–2","1–2","2–3","4–0","2–0","0–0","0–1","3–0","2–0","3–2","2–1","2–1","2–1","4–0","0–0","4–0"
"Brentford","1–0","2–1","","2–1","1–1","6–1","1–0","2–1","2–0","2–0","1–3","2–2","1–0","2–2","3–1","4–0","5–2","2–1","4–0","2–0","2–1","0–0","5–1","3–0"
"Bristol City","5–1","0–0","3–2","","2–1","1–2","1–1","1–1","1–2","4–0","1–2","1–0","1–1","2–0","3–1","3–0","2–0","2–0","2–2","3–0","4–0","5–1","1–1","5–0"
"Bristol Rovers","1–0","4–2","1–2","1–1","","5–2","2–2","1–1","3–0","5–3","1–1","3–2","4–1","0–0","4–0","4–0","3–1","1–0","2–0","0–0","2–2","0–1","1–0","4–0"
"Carlisle United","4–0","3–4","0–1","1–1","1–2","","4–1","2–1","3–1","3–1","0–0","1–1","3–0","2–0","2–1","1–1","2–0","1–2","3–1","2–1","4–3","2–1","1–1","1–0"
"Colchester United","4–1","4–3","0–3","2–3","1–1","0–1","","1–1","2–1","0–1","1–2","0–1","0–1","2–2","0–1","2–0","1–2","2–2","2–1","0–4","3–1","2–1","0–0","1–1"
"Exeter City","3–0","1–3","0–0","0–1","0–1","0–0","2–0","","1–1","4–1","0–2","5–1","2–3","2–1","4–2","2–1","2–2","2–2","1–3","0–1","1–1","0–1","1–0","0–0"
"Gillingham","1–0","1–1","1–0","2–0","1–3","1–0","2–1","0–1","","0–0","1–0","5–0","0–0","2–1","2–0","2–0","2–2","2–1","0–0","5–0","1–0","4–0","5–2","5–1"
"Grimsby Town","3–2","2–2","2–1","0–2","1–1","1–1","2–0","2–1","1–1","","3–0","2–2","1–1","3–1","2–0","2–0","0–0","1–1","3–0","2–2","1–0","2–2","1–0","0–1"
"Hull City","7–0","2–1","2–1","3–2","3–2","1–0","5–1","3–1","1–1","3–3","","3–1","1–1","2–1","0–2","4–0","3–1","1–0","1–2","1–2","0–0","2–0","1–1","2–2"
"Luton Town","5–1","0–1","4–2","0–0","0–2","1–1","3–1","1–2","0–2","1–1","1–3","","1–1","2–0","1–1","1–1","2–0","3–1","1–1","2–7","0–1","1–3","2–4","0–0"
"Mansfield Town","4–3","0–0","4–1","3–0","3–0","2–0","0–1","2–1","3–1","2–2","2–1","2–0","","4–1","0–0","2–2","8–1","2–1","3–2","1–0","6–1","2–0","3–0","3–5"
"Oldham Athletic","1–1","1–1","1–1","7–3","1–2","2–3","3–1","2–0","2–0","1–5","2–1","0–2","2–1","","3–1","0–1","5–3","1–2","2–1","1–3","0–2","1–3","2–0","0–2"
"Peterborough United","4–1","4–3","3–1","0–1","3–1","1–2","4–1","0–0","1–0","3–1","2–1","2–0","4–5","5–0","","2–2","6–1","2–1","2–2","4–1","4–2","3–2","2–1","0–4"
"Port Vale","2–0","1–2","2–1","1–2","1–1","1–3","1–2","0–1","0–4","2–3","0–3","1–0","2–2","2–1","0–1","","0–0","2–0","0–1","1–1","2–2","2–1","2–2","2–0"
"Queens Park Rangers","3–2","1–1","1–3","1–0","3–1","1–2","5–0","0–0","3–1","1–1","2–1","7–1","2–0","1–1","3–2","3–1","","0–1","2–1","2–1","2–0","1–0","2–2","2–1"
"Reading","1–1","1–0","1–1","1–1","1–1","1–2","1–1","2–2","3–0","2–0","3–3","1–2","2–1","1–0","4–2","1–1","5–3","","2–0","3–1","2–0","0–2","6–2","1–0"
"Scunthorpe United","2–3","3–1","2–0","5–2","1–1","0–1","0–0","0–0","2–3","2–1","1–1","8–1","0–1","1–1","2–3","0–0","2–1","1–1","","3–2","2–1","4–0","0–2","1–1"
"Shrewsbury Town","3–3","1–2","1–0","1–5","2–1","2–2","3–0","1–0","2–0","1–3","0–4","0–2","1–1","1–3","1–1","0–0","3–2","4–0","3–2","","1–3","3–1","2–2","6–1"
"Southend United","2–0","2–1","0–1","0–4","6–3","1–0","6–3","0–0","3–1","4–0","2–1","5–0","1–4","6–1","2–0","2–1","0–0","2–2","0–1","1–0","","0–0","0–1","3–0"
"Walsall","1–1","0–1","4–3","2–4","2–0","1–0","2–1","2–1","0–1","1–0","3–3","0–1","2–1","1–2","0–1","0–0","4–1","4–1","1–2","1–1","2–3","","0–4","1–4"
"Watford","1–1","2–0","1–1","2–2","1–1","0–0","3–0","1–0","1–2","1–1","2–1","2–0","3–1","3–2","1–1","1–0","0–2","5–1","5–0","2–2","2–1","3–0","","3–2"
"Workington","0–0","2–0","1–1","1–0","2–1","0–1","1–0","0–1","1–1","2–2","1–3","1–0","1–5","0–0","1–0","4–1","0–0","0–2","2–0","2–2","3–1","3–1","2–0",""
