"Home \ Away","ARS","AST","BLB","BLP","BUR","CHE","EVE","FUL","LEE","LEI","LIV","MUN","NEW","NOR","NOT","SHU","SHW","STK","SUN","TOT","WBA","WHU"
"Arsenal","","3–3","2–2","0–0","1–1","1–3","0–1","2–1","0–3","1–0","0–1","4–2","1–3","1–1","1–0","6–2","5–2","2–1","1–1","1–1","1–1","3–2"
"Aston Villa","3–0","","3–1","3–0","2–1","2–4","3–2","2–5","0–2","2–2","0–3","1–1","4–2","1–2","3–0","0–2","2–0","0–1","3–1","3–2","1–1","1–2"
"Blackburn Rovers","2–1","0–2","","1–3","0–2","0–1","1–2","3–2","2–3","0–2","1–4","1–4","4–2","6–1","5–0","0–0","1–2","0–1","2–0","0–1","0–1","1–2"
"Blackpool","5–3","0–1","4–2","","1–3","1–2","2–0","2–2","1–0","4–0","2–3","1–2","1–1","3–0","0–3","2–1","2–1","1–1","1–2","0–0","1–1","2–1"
"Burnley","2–2","3–1","1–4","3–1","","1–2","1–1","1–0","0–1","4–2","2–0","3–0","1–0","4–1","4–1","2–0","2–1","4–1","1–0","1–1","2–0","3–1"
"Chelsea","0–0","0–2","1–0","0–1","1–1","","3–1","2–1","1–0","0–2","0–1","2–0","1–1","1–0","1–0","2–0","1–1","1–2","3–2","2–1","2–3","6–2"
"Everton","3–1","2–0","2–2","0–0","1–0","2–1","","2–0","0–0","1–2","0–0","0–0","1–0","5–2","3–0","1–3","5–1","2–1","2–0","3–1","2–3","2–2"
"Fulham","1–0","3–6","5–2","0–0","2–5","0–3","3–2","","1–3","0–4","2–0","0–1","2–0","1–4","1–1","0–0","4–2","1–1","3–0","0–2","2–1","3–0"
"Leeds United","2–0","2–0","3–0","1–2","1–1","2–0","4–1","0–1","","3–2","0–1","1–1","3–0","6–1","2–1","2–2","3–0","2–2","1–0","2–0","4–0","5–0"
"Leicester City","3–1","2–1","2–0","0–3","0–1","1–1","3–0","5–0","3–3","","1–3","0–5","1–2","1–1","2–1","1–0","4–1","1–0","4–1","2–2","2–1","2–1"
"Liverpool","4–2","3–1","5–2","4–1","2–1","2–1","5–0","2–1","0–1","1–0","","2–1","2–0","5–0","4–0","0–1","1–0","2–0","4–0","1–0","2–2","1–1"
"Manchester United","2–1","6–1","2–2","2–1","4–2","4–1","3–0","4–1","1–1","1–2","2–0","","1–1","6–2","0–0","3–1","1–0","1–1","1–1","5–1","1–1","0–0"
"Newcastle United","0–1","1–0","2–1","2–0","3–2","0–1","0–0","1–1","2–0","1–5","0–0","1–2","","2–0","2–2","0–2","2–0","3–1","2–0","0–0","0–1","2–1"
"Northampton Town","1–1","2–1","2–1","2–1","1–2","2–3","0–2","2–4","2–1","2–2","0–0","1–1","3–1","","3–3","0–1","0–0","1–0","2–1","0–2","3–4","2–1"
"Nottingham Forest","0–1","1–2","0–3","2–1","1–0","1–2","1–0","1–2","0–4","2–0","1–1","4–2","1–2","1–1","","1–0","1–0","4–3","0–0","1–0","3–2","5–0"
"Sheffield United","3–0","1–0","2–0","0–1","2–1","1–2","2–0","2–0","1–1","2–2","0–0","3–1","3–2","2–2","1–1","","1–0","3–2","2–2","1–3","0–2","5–3"
"Sheffield Wednesday","4–0","2–0","2–1","3–0","0–2","1–1","3–1","1–0","0–0","1–2","0–2","0–0","1–0","3–1","3–1","2–2","","4–1","3–1","1–1","1–2","0–0"
"Stoke City","1–3","2–0","3–2","4–1","3–1","2–2","1–1","3–2","1–2","1–0","0–0","2–2","4–0","6–2","1–0","2–0","3–1","","1–1","0–1","1–1","1–0"
"Sunderland","0–2","2–0","1–0","2–1","0–4","2–0","2–0","2–2","2–0","0–3","2–2","2–3","2–0","3–0","3–2","4–1","0–2","2–0","","2–0","1–5","2–1"
"Tottenham Hotspur","2–2","5–5","4–0","4–0","0–1","4–2","2–2","4–3","3–2","4–2","2–1","5–1","2–2","1–1","2–3","1–0","2–3","2–2","3–0","","2–1","1–4"
"West Bromwich Albion","4–4","2–2","2–1","2–1","1–2","1–2","1–1","6–2","1–2","5–1","3–0","3–3","1–2","1–1","5–3","1–1","4–2","6–2","4–1","2–1","","3–0"
"West Ham United","2–1","4–2","4–1","1–1","1–1","2–1","3–0","1–3","2–1","2–5","1–5","3–2","4–3","1–1","0–3","4–0","4–2","0–0","1–1","2–0","4–0",""
