"Home \ Away","ALD","BAR","BRW","BRA","BPA","CHE","CHF","COL","CRE","DAR","DON","HAL","HAR","LIN","LUT","NPC","NTC","PTV","ROC","SOU","STP","TOR","TRA","WRE"
"Aldershot","","1–1","3–1","5–2","5–1","2–2","1–3","1–3","1–0","0–1","1–1","0–0","5–0","2–0","3–1","2–1","0–0","3–0","2–3","3–0","1–0","3–2","1–3","2–2"
"Barnsley","2–1","","3–0","4–2","1–1","0–2","0–0","1–1","0–1","3–1","1–5","1–2","2–2","0–1","3–0","2–2","1–1","1–0","5–0","4–0","1–2","1–0","4–0","3–0"
"Barrow","2–2","1–5","","2–0","5–2","4–1","3–2","3–0","1–1","1–1","2–1","3–0","2–0","2–2","0–1","2–2","2–1","2–2","0–2","3–3","1–0","2–0","1–1","4–2"
"Bradford City","1–1","1–0","0–0","","3–0","1–2","1–1","1–2","0–1","2–0","1–1","0–1","1–3","2–0","2–2","3–2","0–4","2–0","2–1","3–0","1–7","4–1","2–4","4–1"
"Bradford Park Avenue","5–1","7–2","2–3","5–1","","0–1","3–1","1–0","2–1","0–2","0–1","2–1","4–1","4–2","1–3","6–1","4–0","1–2","1–2","2–1","3–1","1–1","1–1","4–2"
"Chester","3–2","3–3","0–0","4–0","2–4","","3–0","2–1","3–0","3–2","1–4","1–0","2–0","4–2","1–1","6–1","1–1","2–0","1–2","1–0","1–0","1–1","3–1","4–2"
"Chesterfield","1–1","3–1","2–2","1–1","0–3","2–2","","2–4","3–1","1–2","1–1","3–2","1–3","1–0","1–3","1–2","0–0","3–1","4–1","3–2","2–1","1–1","0–0","1–1"
"Colchester United","0–0","4–0","2–2","0–1","6–3","1–1","3–0","","1–1","0–1","2–1","1–0","2–0","3–0","2–2","3–2","4–1","3–0","2–0","0–0","3–2","0–2","2–1","1–1"
"Crewe Alexandra","2–0","0–1","2–1","7–1","2–5","1–1","1–0","0–2","","0–1","0–1","3–0","3–1","7–0","2–0","2–2","1–0","0–0","3–1","2–1","1–1","2–1","1–2","0–1"
"Darlington","4–3","2–1","1–0","3–0","4–1","0–1","4–1","2–0","1–1","","3–2","2–0","1–1","0–2","1–0","0–1","1–0","2–1","3–1","2–0","3–0","0–0","0–1","2–0"
"Doncaster Rovers","3–2","2–1","1–1","1–1","6–2","1–1","1–0","2–0","4–1","6–3","","2–2","4–0","4–0","1–1","1–0","0–3","1–0","2–0","1–1","1–0","0–1","3–1","2–0"
"Halifax Town","3–4","2–2","2–1","3–2","1–0","2–0","4–1","1–1","1–0","2–2","2–3","","1–0","2–2","3–0","4–4","0–1","2–0","4–1","1–2","0–1","0–2","2–2","4–0"
"Hartlepools United","3–0","1–2","3–0","1–1","2–3","2–0","1–2","0–1","4–1","1–1","2–0","1–2","","3–1","2–0","5–2","2–0","2–0","0–0","3–1","2–1","0–2","0–0","4–2"
"Lincoln City","2–1","4–1","4–0","1–0","1–1","2–2","0–2","0–2","1–1","4–1","0–3","3–3","2–1","","2–2","1–1","1–2","0–1","2–0","4–0","1–2","1–1","1–0","0–2"
"Luton Town","3–1","5–4","3–2","2–3","3–1","5–2","1–2","1–1","4–0","2–0","4–3","4–1","2–1","0–0","","2–1","5–1","5–0","4–1","2–0","2–0","3–2","2–1","1–0"
"Newport County","3–1","1–0","3–2","2–2","3–1","3–2","3–4","2–1","1–0","3–0","4–0","3–1","3–0","0–0","3–1","","1–2","0–1","1–1","1–1","1–0","3–2","0–0","2–2"
"Notts County","2–0","0–1","0–2","2–1","2–0","3–3","2–0","1–0","0–1","0–0","1–2","1–1","1–0","2–1","1–1","1–1","","3–1","3–3","1–2","1–1","1–1","1–2","3–1"
"Port Vale","2–1","1–1","0–0","0–0","3–3","5–2","1–1","1–0","2–0","3–1","0–1","2–0","0–0","3–0","1–2","3–0","0–1","","2–1","4–1","2–0","0–0","2–3","1–0"
"Rochdale","1–0","2–1","4–0","5–1","2–3","3–0","1–1","0–1","2–1","1–2","0–1","0–1","3–1","0–1","1–2","2–1","0–2","1–0","","3–0","4–0","2–3","3–5","6–0"
"Southport","0–2","3–1","1–1","4–0","2–1","2–0","1–0","0–1","1–1","1–1","2–1","1–0","4–1","5–1","3–2","2–0","1–0","2–1","4–0","","2–0","3–3","1–1","2–2"
"Stockport County","1–2","1–0","5–2","1–1","2–3","0–1","2–1","1–0","2–0","1–1","1–1","3–0","1–2","2–1","4–1","2–1","1–3","3–0","3–1","2–2","","1–0","1–2","2–4"
"Torquay United","5–1","3–0","0–1","4–3","2–1","1–0","2–0","0–1","2–1","0–4","0–0","1–0","2–0","4–1","2–0","1–0","2–0","1–0","4–0","1–1","1–4","","2–1","3–1"
"Tranmere Rovers","5–2","1–0","1–2","2–2","1–2","1–0","3–2","2–0","3–1","1–2","1–0","5–2","6–1","3–2","2–0","0–1","0–3","1–0","6–2","0–2","6–2","0–1","","6–3"
"Wrexham","4–0","6–3","3–1","1–1","3–2","2–1","2–1","2–3","1–4","1–2","4–3","2–2","1–1","0–1","2–0","0–1","1–3","1–0","2–2","3–1","1–4","0–2","1–5",""
