"Home \ Away","B&BA","BRE","B&HA","BRR","EXE","GIL","GRI","HUL","MAN","MIL","OLD","OXF","PET","QPR","REA","SCU","SHR","STD","SWA","SWI","WAL","WAT","WRK","YOR"
"Bournemouth & Boscombe Athletic","","0–1","0–1","1–0","0–1","1–1","1–0","1–1","2–2","0–0","1–0","1–1","2–3","1–1","3–2","1–2","2–0","0–0","2–1","1–0","0–1","2–0","1–1","1–0"
"Brentford","1–0","","2–0","0–5","1–2","0–2","3–2","2–4","0–3","1–2","0–0","5–1","1–0","6–1","1–1","0–1","4–0","2–0","2–0","0–1","2–2","1–1","0–1","0–1"
"Brighton & Hove Albion","1–2","2–0","","4–3","2–1","0–1","1–2","1–2","6–4","2–2","3–1","2–0","1–0","0–2","1–1","0–1","1–1","9–1","1–1","1–0","2–1","2–0","3–1","3–1"
"Bristol Rovers","0–0","1–1","0–0","","2–0","0–0","2–1","1–2","6–0","1–1","4–0","3–1","1–1","1–0","0–0","2–0","3–2","3–1","2–1","0–1","3–0","1–1","2–2","0–0"
"Exeter City","1–0","5–0","2–0","1–0","","3–1","2–0","1–4","2–2","1–2","4–0","1–2","2–5","0–0","1–2","4–0","0–0","1–1","1–1","1–1","0–2","1–2","2–1","0–2"
"Gillingham","2–0","1–0","3–1","2–0","1–1","","3–2","0–3","2–0","1–0","3–0","1–2","1–1","3–1","2–4","0–1","0–1","1–0","2–0","1–0","1–0","2–2","1–0","0–0"
"Grimsby Town","2–0","3–2","3–1","1–1","1–1","3–1","","1–0","0–1","2–0","3–1","1–1","3–0","4–2","3–3","1–3","2–1","1–0","2–2","2–2","3–1","2–1","1–0","3–1"
"Hull City","3–0","4–1","1–0","6–1","6–1","1–0","1–1","","4–0","1–0","5–1","2–1","2–1","1–3","3–3","3–2","2–1","1–0","4–1","1–0","3–2","3–1","6–0","1–4"
"Mansfield Town","1–0","2–0","3–1","2–0","0–0","0–0","2–1","1–2","","1–1","1–0","1–4","1–7","2–1","0–2","2–2","0–3","2–0","3–0","1–5","0–3","2–2","0–1","4–1"
"Millwall","1–0","1–0","3–2","3–3","3–0","2–0","2–1","3–0","2–0","","1–0","2–0","4–1","2–1","3–0","2–2","4–2","2–0","1–0","1–0","1–1","0–0","2–0","2–0"
"Oldham Athletic","2–2","1–1","1–0","2–0","3–1","5–3","1–4","2–2","1–1","0–2","","3–0","2–4","0–2","2–2","1–3","0–1","1–0","1–0","1–1","1–2","0–1","1–1","3–0"
"Oxford United","2–1","2–0","0–0","1–0","0–1","0–4","2–0","0–2","4–1","3–1","3–3","","1–0","1–3","2–0","0–3","0–1","3–2","2–2","0–3","7–1","1–2","0–2","4–1"
"Peterborough United","1–0","3–0","2–2","5–2","2–0","1–0","1–1","4–1","3–2","0–2","0–1","2–3","","1–1","0–0","3–1","4–1","4–0","5–2","2–3","3–1","2–2","1–1","1–0"
"Queens Park Rangers","5–0","1–0","4–1","4–1","1–0","1–3","3–0","3–3","1–2","6–1","1–1","2–3","2–1","","0–2","1–0","2–1","2–1","6–2","3–2","2–1","1–1","4–1","7–2"
"Reading","1–0","2–0","0–0","0–1","4–1","2–2","0–0","0–1","2–1","1–1","3–2","0–1","2–1","2–1","","2–0","4–1","1–0","2–1","0–2","3–0","1–2","1–1","3–0"
"Scunthorpe United","3–0","3–2","2–2","3–0","2–1","0–1","2–2","2–4","0–1","4–4","1–1","1–2","1–1","1–2","2–0","","1–4","0–0","1–1","2–1","4–2","1–1","4–1","4–1"
"Shrewsbury Town","0–2","0–0","3–1","1–0","4–0","2–1","3–1","2–2","2–1","2–0","3–1","4–0","3–1","0–0","3–3","1–4","","3–0","5–0","1–1","1–2","0–0","1–1","4–1"
"Southend United","1–2","1–0","0–0","2–0","4–2","5–2","3–1","0–2","1–0","0–2","0–2","2–1","2–0","1–3","2–1","0–1","2–0","","2–0","4–2","5–3","1–0","3–1","2–3"
"Swansea Town","5–0","1–1","2–2","3–0","1–0","0–3","1–0","4–2","1–2","0–2","4–1","3–2","1–1","4–2","5–4","3–4","4–0","5–0","","1–1","1–0","4–2","1–6","7–2"
"Swindon Town","0–0","2–1","3–2","4–3","2–2","0–1","0–0","3–1","6–2","1–0","0–1","0–0","3–0","2–1","5–0","0–0","0–0","4–0","2–2","","0–0","0–1","0–1","6–0"
"Walsall","2–1","1–1","2–1","1–1","1–1","6–1","1–0","2–4","2–1","1–4","2–2","1–1","2–0","0–1","3–0","3–0","3–0","3–0","1–1","5–0","","3–0","1–1","2–0"
"Watford","1–0","1–1","0–1","2–0","3–0","1–0","1–1","1–1","2–1","0–1","4–0","1–1","1–0","1–2","1–2","2–1","1–0","4–1","0–1","2–0","0–1","","1–2","3–2"
"Workington","2–2","1–1","1–0","0–0","6–1","1–0","1–0","3–0","2–0","0–0","0–1","2–1","1–1","1–1","1–0","1–2","1–3","3–1","7–0","0–3","1–0","1–0","","2–1"
"York City","0–2","1–1","0–1","1–5","2–0","1–2","1–1","1–2","2–1","2–1","2–2","1–4","1–1","2–2","1–2","1–3","2–2","0–3","5–1","0–2","0–3","1–0","3–3",""
