"Home \ Away","ARS","AST","BLP","BUR","CHE","EVE","FUL","LEE","LEI","LIV","MCI","MUN","NEW","NOT","SHU","SHW","SOU","STK","SUN","TOT","WBA","WHU"
"Arsenal","","1–0","1–1","0–0","2–1","3–1","1–0","0–1","2–4","1–1","1–0","1–1","2–0","1–1","2–0","1–1","4–1","3–1","2–0","0–2","2–3","2–1"
"Aston Villa","0–1","","3–2","0–1","2–6","2–4","1–1","3–0","0–1","2–3","3–0","2–1","1–1","1–1","0–0","0–1","0–1","2–1","2–1","3–3","3–2","0–2"
"Blackpool","0–3","0–2","","0–2","0–2","0–1","0–1","0–2","1–1","1–2","0–1","1–2","6–0","1–1","0–1","1–1","2–3","0–1","1–1","2–2","1–3","1–4"
"Burnley","1–4","4–2","1–0","","1–2","1–1","3–0","1–1","5–2","1–0","2–3","1–1","0–2","0–2","4–0","2–0","4–1","0–2","1–0","2–2","5–1","4–2"
"Chelsea","3–1","3–1","0–2","1–3","","1–1","0–0","2–2","2–2","1–2","0–0","1–3","2–1","2–1","1–1","0–0","4–1","1–0","1–1","3–0","0–2","5–5"
"Everton","0–0","3–1","0–1","1–1","3–1","","3–2","2–0","2–0","3–1","1–1","1–2","1–1","0–1","4–1","2–1","0–1","0–1","4–1","0–1","5–4","4–0"
"Fulham","0–0","5–1","2–2","0–0","1–3","0–1","","2–2","4–2","2–2","4–1","2–2","5–1","2–3","0–1","1–2","3–1","4–1","3–1","3–4","2–2","4–2"
"Leeds United","3–1","0–2","1–1","3–1","1–0","1–1","3–1","","3–1","2–1","0–0","3–1","5–0","1–1","2–0","1–0","0–1","3–0","2–1","3–2","2–1","2–1"
"Leicester City","2–1","5–0","3–0","5–1","3–2","2–2","0–2","0–0","","2–1","2–1","1–2","4–2","3–0","2–2","0–1","1–1","4–2","1–2","0–1","2–1","5–4"
"Liverpool","0–0","1–0","1–3","2–0","2–1","0–0","2–2","5–0","3–2","","3–2","0–0","3–1","4–0","1–0","1–1","2–1","2–1","2–2","0–0","0–1","2–0"
"Manchester City","1–1","1–1","1–0","1–0","1–4","1–0","3–0","2–1","1–3","2–1","","1–1","1–1","1–1","1–1","0–0","1–1","3–1","1–0","1–2","2–2","1–4"
"Manchester United","1–0","3–1","4–0","4–1","1–1","3–0","2–1","0–0","5–2","2–2","1–0","","3–2","1–0","2–0","2–0","3–0","0–0","5–0","1–0","5–3","3–0"
"Newcastle United","2–1","0–3","2–1","1–1","2–2","0–3","1–1","1–2","1–0","0–2","2–0","0–0","","0–0","1–0","3–1","3–1","3–1","0–3","0–2","1–3","1–0"
"Nottingham Forest","2–1","3–0","2–0","4–1","0–0","1–0","2–1","1–0","1–0","1–1","2–0","4–1","3–0","","3–1","1–1","3–1","1–2","3–1","1–1","2–1","1–0"
"Sheffield United","1–1","3–3","1–1","1–1","3–0","0–0","4–0","1–4","0–1","0–1","1–0","2–1","0–1","1–2","","1–0","2–0","2–1","2–0","2–1","4–3","3–1"
"Sheffield Wednesday","1–1","2–0","3–0","7–0","6–1","1–2","1–1","0–0","1–1","0–1","1–0","2–2","0–0","0–2","2–2","","4–1","1–3","5–0","1–0","1–0","0–2"
"Southampton","2–1","6–2","1–5","4–0","0–3","1–3","4–2","0–2","4–4","1–2","1–1","1–2","2–0","2–1","2–3","4–2","","3–2","3–1","0–1","2–2","6–2"
"Stoke City","2–2","6–1","2–0","4–3","1–1","2–1","1–2","0–0","3–1","2–0","0–1","3–0","0–1","1–2","3–0","0–2","3–2","","3–0","2–0","1–1","1–1"
"Sunderland","1–3","2–1","4–0","4–3","2–0","0–2","3–1","0–2","2–3","2–2","1–0","0–0","3–0","1–0","4–1","2–0","2–0","2–1","","0–1","2–2","2–4"
"Tottenham Hotspur","3–1","0–1","1–3","2–0","1–1","2–0","4–2","3–1","2–0","2–1","1–1","2–1","4–0","2–1","2–0","2–1","5–3","2–0","1–0","","0–0","3–4"
"West Bromwich Albion","0–1","2–1","3–1","1–2","0–1","1–0","5–1","2–0","1–0","2–1","0–3","3–4","6–1","1–2","1–2","1–2","3–2","0–1","2–2","3–0","","3–1"
"West Ham United","2–2","2–1","4–0","3–2","1–2","2–3","6–1","0–1","0–1","1–1","1–1","1–6","3–0","3–1","0–2","3–0","2–2","1–1","2–2","0–2","3–0",""
