"Home \ Away","ALD","BAR","BRW","BRA","BPA","BRE","CHE","CHF","CRE","EXE","HAL","HAR","LIN","LUT","NPC","NTC","PTV","ROC","STD","SOU","STP","TRA","WRE","YOR"
"Aldershot","","3–2","0–1","0–3","1–2","3–1","3–0","4–0","1–0","1–0","0–1","1–1","1–0","4–1","5–0","4–1","0–1","4–0","5–2","4–1","1–1","1–1","2–0","0–0"
"Barnsley","1–1","","2–3","1–1","2–0","0–1","1–2","0–3","1–0","2–1","4–1","1–2","2–1","2–1","1–1","0–0","1–0","3–1","1–2","0–0","1–2","2–2","2–2","0–1"
"Barrow","1–1","2–0","","0–1","1–0","1–0","1–1","2–1","3–2","5–0","1–0","2–3","2–1","3–0","1–0","0–1","2–2","2–0","1–0","2–2","1–1","0–0","1–1","1–1"
"Bradford City","4–1","1–1","5–2","","2–3","2–0","2–3","3–1","0–3","1–1","1–2","3–0","2–1","2–1","1–2","3–1","2–0","4–1","2–1","3–3","0–1","1–0","3–3","1–0"
"Bradford Park Avenue","1–1","1–3","0–1","2–0","","2–2","2–3","2–0","1–4","2–2","1–0","1–2","2–1","0–0","3–1","4–1","1–1","0–3","1–2","0–0","0–1","2–3","1–3","1–0"
"Brentford","1–0","3–1","0–3","2–0","1–1","","4–0","1–0","0–2","3–1","1–0","1–2","2–2","1–0","1–1","1–0","2–0","4–0","1–1","2–1","2–1","1–1","1–1","1–1"
"Chester","0–0","1–0","1–1","1–0","0–3","1–2","","2–1","0–3","0–2","0–2","1–0","0–1","0–0","4–2","1–2","1–3","3–2","1–1","2–1","1–1","0–1","1–3","3–1"
"Chesterfield","1–1","1–0","1–2","0–1","4–1","3–0","0–2","","0–0","1–0","1–1","1–0","3–1","0–0","0–1","1–1","2–1","0–0","2–1","2–1","2–1","3–1","4–0","1–0"
"Crewe Alexandra","2–1","2–2","3–2","1–0","1–3","1–0","3–1","2–1","","2–2","1–1","1–2","3–0","3–1","3–2","4–1","1–0","2–1","1–0","1–1","1–1","1–2","1–2","2–0"
"Exeter City","1–1","0–3","1–2","2–2","4–1","1–0","2–0","1–1","2–0","","3–2","1–0","1–0","2–1","0–0","1–0","0–1","0–0","0–1","0–0","0–3","1–4","4–1","3–1"
"Halifax Town","2–2","1–1","1–4","2–2","0–0","3–2","2–1","1–0","1–0","0–0","","2–1","0–0","1–1","2–2","5–2","2–2","1–1","2–2","2–0","0–1","2–1","3–1","2–1"
"Hartlepools United","3–2","1–1","2–1","1–0","2–0","2–2","3–2","3–2","1–2","3–1","1–3","","5–0","2–1","0–1","2–1","2–1","2–1","1–2","1–1","1–0","0–2","2–1","4–2"
"Lincoln City","0–4","0–1","2–1","1–4","2–2","3–1","2–3","2–1","1–1","1–1","3–3","3–0","","8–1","2–2","2–1","0–1","0–2","2–2","0–4","0–1","2–0","1–1","2–2"
"Luton Town","4–0","1–1","3–1","0–0","2–2","3–0","1–0","3–2","2–1","4–0","2–0","0–2","2–1","","3–1","2–5","1–1","3–1","1–0","0–0","0–3","2–0","3–1","5–1"
"Newport County","1–2","2–0","0–1","1–1","0–0","1–1","2–3","4–1","2–1","3–2","3–0","0–2","0–0","2–0","","1–0","1–1","2–2","3–0","0–0","1–1","1–2","1–1","4–2"
"Notts County","3–0","0–3","2–2","1–3","2–1","3–2","3–0","0–2","1–1","0–1","2–1","0–0","2–1","1–2","2–1","","0–0","2–0","1–0","0–1","2–2","0–0","2–2","2–0"
"Port Vale","0–2","3–1","2–1","3–2","0–0","1–3","1–1","2–3","1–1","2–0","0–1","0–0","2–2","1–0","2–0","0–0","","5–0","1–3","2–1","0–2","1–1","0–2","4–1"
"Rochdale","2–1","1–1","1–3","0–1","1–0","1–3","0–1","2–1","0–1","1–0","3–0","3–2","1–0","3–0","2–0","1–1","1–2","","1–2","1–1","1–0","1–2","1–3","2–2"
"Southend United","4–0","3–0","1–3","2–1","4–0","3–0","5–1","4–1","1–1","0–0","1–0","2–0","3–0","2–0","1–0","1–0","4–1","0–0","","0–1","0–1","0–0","1–1","2–1"
"Southport","1–0","3–0","4–1","2–1","1–0","2–0","4–3","1–2","4–1","1–1","2–0","3–1","2–1","4–1","1–0","2–1","0–0","1–2","1–0","","4–0","1–0","1–0","2–0"
"Stockport County","1–0","2–1","2–1","1–0","4–0","1–2","1–1","3–1","1–1","1–0","2–1","2–0","4–5","1–0","0–0","2–0","1–1","2–2","4–1","1–0","","1–0","1–0","3–1"
"Tranmere Rovers","2–2","3–3","1–2","3–1","2–2","0–0","0–0","1–0","5–0","1–1","1–0","2–0","1–0","1–0","2–1","3–0","2–1","3–1","1–2","1–2","3–0","","2–1","2–1"
"Wrexham","2–0","2–2","1–1","1–1","6–0","0–0","3–1","3–2","1–1","0–0","4–0","4–1","0–0","2–0","2–2","3–2","2–1","4–2","2–0","1–1","2–2","0–0","","1–1"
"York City","1–2","0–3","1–2","4–1","3–1","0–0","1–1","1–1","0–2","2–4","4–3","1–1","3–1","5–1","2–1","4–1","3–1","1–1","2–1","2–0","1–2","0–1","4–0",""
