"Home \ Away","BIR","BLB","BOL","BRI","BRY","CAR","CRL","CHA","COV","CRY","DER","HUD","HUL","IPS","MIL","NOR","NWC","PLY","POR","PNE","ROT","WOL"
"Birmingham","","1–1","2–2","4–0","1–3","1–2","1–2","4–0","1–1","3–1","2–0","0–1","2–1","2–2","2–0","3–0","2–1","0–0","3–0","3–1","2–3","3–2"
"Blackburn Rovers","1–0","","0–0","1–0","2–1","4–1","2–0","2–1","0–1","2–1","0–0","2–0","4–1","1–2","1–0","3–0","0–0","3–0","2–2","2–0","1–1","0–0"
"Bolton Wanderers","3–1","0–1","","0–0","3–1","3–1","3–0","2–1","1–1","0–0","3–1","1–0","2–1","1–1","5–0","1–2","1–1","1–2","0–1","4–2","2–2","0–0"
"Bristol City","3–1","2–2","1–1","","3–3","1–2","3–0","4–0","2–2","0–1","4–1","1–1","2–1","1–1","1–1","1–0","1–0","1–0","3–3","2–0","1–2","1–0"
"Bury","0–2","1–2","2–1","2–1","","2–0","0–2","2–1","0–1","1–1","2–2","0–0","3–2","1–2","0–1","1–2","2–0","1–0","1–3","3–4","5–2","2–1"
"Cardiff City","3–0","1–1","2–5","5–1","3–0","","4–2","4–1","1–1","1–2","1–1","1–1","2–4","0–2","1–1","4–2","2–0","4–1","0–0","4–0","0–0","0–3"
"Carlisle United","2–0","1–2","6–1","2–1","2–0","3–0","","1–0","2–1","3–0","0–0","2–1","2–0","2–1","2–1","2–0","1–0","0–0","5–1","1–1","2–3","1–3"
"Charlton Athletic","1–0","0–0","0–1","5–0","4–0","5–0","1–0","","1–2","1–1","3–1","1–2","1–3","2–1","0–0","3–0","0–0","1–0","0–2","2–0","2–0","1–3"
"Coventry City","1–1","2–0","1–1","1–0","3–0","3–2","2–1","1–0","","1–2","2–2","1–0","1–0","5–0","3–1","2–0","2–1","1–0","5–1","2–1","4–2","3–1"
"Crystal Palace","2–1","2–1","3–2","2–1","3–1","3–1","4–2","1–0","1–1","","2–1","1–1","4–1","0–2","1–2","5–1","0–0","2–1","0–2","1–0","1–1","4–1"
"Derby County","1–2","2–3","2–2","2–0","3–1","1–1","0–1","0–2","1–2","2–0","","4–3","2–3","2–2","5–1","4–3","1–1","1–1","0–0","5–1","2–0","0–3"
"Huddersfield Town","3–1","3–1","2–1","2–0","4–2","3–1","1–1","4–1","3–1","0–2","1–0","","1–0","1–0","2–0","0–2","0–1","1–1","1–1","1–0","3–0","0–1"
"Hull City","0–2","2–3","1–1","0–2","2–0","1–0","1–2","2–2","2–2","6–1","1–3","2–0","","1–1","2–0","6–1","5–0","4–2","2–0","2–2","1–0","3–1"
"Ipswich Town","3–2","1–1","2–2","0–0","2–0","0–0","1–2","0–0","1–1","2–0","4–3","3–0","5–4","","4–1","6–1","0–2","1–1","4–2","0–0","3–2","3–1"
"Millwall","3–1","1–1","2–0","3–2","2–0","1–0","2–1","0–0","1–0","1–1","3–2","1–3","2–1","1–0","","1–0","2–1","1–2","1–1","2–0","2–0","1–1"
"Northampton Town","2–1","2–1","2–1","2–1","0–0","2–0","3–3","1–1","0–0","1–0","0–2","0–1","2–2","1–1","1–2","","1–2","2–1","2–4","1–5","3–1","0–4"
"Norwich City","3–3","0–1","1–0","1–0","2–0","3–2","2–0","1–1","1–1","4–3","4–1","0–0","0–2","1–2","1–1","1–0","","3–1","0–0","1–1","1–0","1–2"
"Plymouth Argyle","1–1","4–0","2–0","1–2","4–1","7–1","1–2","2–1","4–2","1–0","1–2","2–3","3–1","1–1","3–1","1–0","2–2","","0–0","1–0","1–0","0–1"
"Portsmouth","4–5","1–1","2–1","1–1","1–2","1–2","2–1","1–2","0–2","1–1","0–3","1–1","0–1","4–2","0–1","3–2","3–3","2–1","","2–0","3–2","2–3"
"Preston North End","3–0","3–0","1–3","2–2","2–2","4–0","2–3","2–1","3–2","1–0","2–0","1–2","4–2","2–0","2–1","2–1","3–1","2–0","1–0","","1–1","1–2"
"Rotherham United","3–2","2–1","0–1","3–3","3–0","4–1","2–3","2–0","1–1","0–1","0–0","4–2","1–1","0–2","3–1","1–2","2–1","4–2","0–1","2–1","","2–2"
"Wolverhampton Wanderers","1–2","4–0","5–2","1–1","4–1","7–1","1–1","1–0","1–3","1–1","5–3","1–0","4–0","0–0","2–0","1–0","4–1","2–1","3–1","3–2","2–0",""
