"Home \ Away","B&BA","B&HA","BRR","COL","DAR","DON","GIL","GRI","MAN","MID","OLD","ORI","OXF","PET","QPR","REA","SCU","SHR","SWA","SWI","TOR","WAL","WAT","WRK"
"Bournemouth & Boscombe Athletic","","2–1","0–0","1–1","1–1","4–1","1–0","0–0","1–3","1–1","2–1","1–0","0–0","1–1","1–3","2–2","0–0","0–3","1–0","1–4","1–0","3–0","0–0","0–2"
"Brighton & Hove Albion","0–3","","3–2","1–1","5–0","0–0","2–2","0–2","1–0","1–1","2–0","1–0","2–0","5–2","2–2","0–1","2–2","2–1","3–2","2–2","0–1","2–3","1–0","0–0"
"Bristol Rovers","1–1","2–2","","4–1","3–0","4–2","4–1","0–0","4–4","2–2","2–1","1–0","2–1","1–1","2–1","2–1","1–1","1–0","3–3","3–0","1–0","4–2","0–3","0–1"
"Colchester United","2–0","3–2","3–1","","2–3","5–0","0–0","4–0","3–0","2–3","3–2","2–2","1–2","1–4","1–3","2–0","0–1","3–1","3–1","2–1","1–0","5–1","2–1","2–2"
"Darlington","1–2","3–1","0–3","0–4","","3–2","1–1","1–0","1–1","0–3","2–3","0–0","1–2","5–0","0–0","0–1","2–1","1–1","1–0","2–1","0–0","0–1","1–0","1–1"
"Doncaster Rovers","1–1","1–1","3–2","1–4","0–4","","2–3","3–2","4–6","0–4","1–1","2–2","2–1","3–1","1–1","0–2","3–0","2–1","4–1","1–0","2–1","2–1","0–0","2–1"
"Gillingham","0–0","2–0","1–0","2–1","1–2","3–1","","2–0","5–2","5–1","1–0","0–0","3–1","2–2","2–2","0–2","0–1","1–1","0–0","1–0","0–0","0–0","4–1","1–1"
"Grimsby Town","1–0","2–3","0–0","0–0","4–1","4–1","4–0","","1–2","2–1","1–0","1–2","1–0","1–1","1–1","2–0","7–1","1–1","2–1","3–4","1–0","3–1","0–2","4–1"
"Mansfield Town","1–0","2–1","2–0","2–0","2–2","3–1","4–1","4–0","","4–5","2–4","1–1","1–1","0–0","1–7","4–2","3–1","0–1","1–2","1–3","4–2","4–1","2–1","0–1"
"Middlesbrough","3–1","1–0","1–2","4–0","4–0","2–0","1–1","0–1","1–0","","0–2","3–1","4–1","2–1","2–2","2–2","2–1","1–0","4–1","4–0","4–0","0–2","3–0","3–2"
"Oldham Athletic","1–1","4–1","3–0","4–0","4–0","1–0","2–1","0–1","0–0","0–1","","3–1","1–1","1–0","0–1","1–3","2–0","4–1","4–1","1–0","5–0","6–2","1–1","3–0"
"Orient","1–0","3–2","0–2","3–3","1–2","4–1","0–1","1–1","4–2","2–0","2–2","","2–1","1–1","0–0","3–2","3–1","2–2","1–0","0–0","0–0","0–2","1–1","2–1"
"Oxford United","1–1","1–2","4–1","1–1","3–2","6–1","1–1","3–1","2–1","1–1","3–1","0–0","","0–3","2–1","1–3","2–1","2–1","2–3","0–0","2–2","1–2","0–0","3–0"
"Peterborough United","2–0","2–1","1–1","2–1","2–0","3–3","2–0","2–1","3–1","1–2","3–1","0–2","2–3","","0–2","2–1","1–0","0–2","4–4","1–2","0–1","2–1","2–2","3–0"
"Queens Park Rangers","4–0","3–0","3–0","2–1","4–0","6–0","2–0","5–1","0–0","4–0","0–1","4–1","3–1","0–0","","2–1","5–1","2–2","4–2","3–1","2–1","0–0","4–1","4–1"
"Reading","0–0","1–1","1–2","2–3","1–0","4–0","2–1","6–0","2–2","0–0","2–1","1–0","1–2","2–2","2–2","","4–0","2–0","2–0","2–1","2–1","3–1","1–1","2–0"
"Scunthorpe United","0–1","0–1","3–1","3–1","2–0","2–1","1–2","0–0","2–1","3–2","1–1","2–2","2–2","1–0","0–2","0–2","","2–0","4–3","1–2","3–1","2–0","1–0","4–1"
"Shrewsbury Town","4–1","0–0","3–4","2–1","3–0","2–1","3–1","0–1","1–0","1–0","3–1","6–1","1–0","1–1","0–0","1–0","4–3","","2–2","3–1","3–2","1–2","1–1","3–1"
"Swansea Town","0–1","1–1","2–2","1–0","1–1","6–0","1–1","2–0","0–1","4–4","3–0","2–0","0–1","3–3","1–3","5–2","0–1","5–2","","2–2","0–0","4–1","2–2","5–2"
"Swindon Town","1–0","1–1","0–1","1–1","4–0","0–1","2–0","3–1","3–1","4–1","6–3","5–1","3–0","4–1","1–1","0–1","2–1","2–2","4–0","","0–0","3–2","1–2","3–0"
"Torquay United","3–2","5–0","2–1","5–0","2–0","4–0","4–1","3–1","1–2","2–1","4–0","1–1","1–0","1–0","1–1","3–0","1–1","0–2","2–4","1–0","","5–2","1–0","5–1"
"Walsall","3–0","2–1","1–1","1–0","1–1","4–0","3–0","1–0","1–2","2–1","1–1","1–1","2–0","1–1","2–0","3–1","2–0","2–2","1–1","1–1","0–1","","0–1","2–0"
"Watford","3–0","1–1","3–1","0–0","2–0","4–1","1–1","3–1","0–1","2–0","2–2","1–3","2–0","3–1","1–0","1–0","0–1","1–0","1–1","2–0","2–1","2–1","","2–1"
"Workington","0–0","2–1","0–2","1–0","1–2","3–1","1–3","2–1","2–4","1–2","1–1","3–1","0–0","1–0","0–2","1–2","1–0","2–3","6–3","1–3","1–2","4–0","1–2",""
