"Home \ Away","ARS","BUR","CHE","COV","EVE","FUL","LEE","LEI","LIV","MCI","MUN","NEW","NOT","SHU","SHW","SOU","STK","SUN","TOT","WBA","WHU","WOL"
"Arsenal","","2–0","1–1","1–1","2–2","5–3","4–3","2–1","2–0","1–0","0–2","0–0","3–0","1–1","3–2","0–3","2–0","2–1","4–0","2–1","0–0","0–2"
"Burnley","1–0","","1–1","2–1","2–1","2–0","3–0","1–1","1–1","0–1","2–1","2–0","1–1","0–2","2–1","2–0","4–0","3–0","5–1","0–0","3–3","1–1"
"Chelsea","2–1","2–1","","1–1","1–1","1–1","0–0","4–1","3–1","1–0","1–1","1–1","1–0","4–2","3–0","2–6","2–2","1–0","2–0","0–3","1–3","1–0"
"Coventry City","1–1","5–1","2–1","","0–2","0–3","0–1","0–1","1–1","0–3","2–0","1–4","1–3","2–2","3–0","2–1","2–0","2–2","2–3","4–2","1–1","1–0"
"Everton","2–0","2–0","2–1","3–1","","5–1","0–1","2–1","1–0","1–1","3–1","1–0","1–0","1–0","1–0","4–2","3–0","3–0","0–1","2–1","2–0","4–2"
"Fulham","1–3","4–3","2–2","1–1","2–1","","0–5","0–1","1–1","2–4","0–4","2–0","2–0","0–1","2–0","2–2","0–2","3–2","1–2","1–2","0–3","1–2"
"Leeds United","3–1","2–1","7–0","1–1","2–0","2–0","","3–2","1–2","2–0","1–0","2–0","1–1","3–0","3–2","5–0","2–0","1–1","1–0","3–1","2–1","2–1"
"Leicester City","2–2","0–2","2–2","0–0","0–2","1–2","2–2","","2–1","1–0","2–2","2–2","4–2","3–1","3–0","4–1","0–0","0–2","2–3","2–3","2–4","3–1"
"Liverpool","2–0","3–2","3–1","1–0","1–0","4–1","2–0","3–1","","1–1","1–2","6–0","6–1","1–2","1–0","2–0","2–1","2–1","1–1","4–1","3–1","2–1"
"Manchester City","1–1","4–2","1–0","3–1","2–0","5–1","1–0","6–0","0–0","","1–2","2–0","2–0","5–2","1–0","4–2","4–2","1–0","4–1","0–2","3–0","2–0"
"Manchester United","1–0","2–2","1–3","4–0","3–1","3–0","1–0","1–1","1–2","1–3","","6–0","3–0","1–0","4–2","3–2","1–0","1–2","3–1","2–1","3–1","4–0"
"Newcastle United","2–1","1–0","5–1","3–2","1–0","2–1","1–1","0–0","1–1","3–4","2–2","","0–0","1–0","4–0","3–0","1–1","2–1","1–3","2–2","1–0","2–0"
"Nottingham Forest","2–0","1–0","3–0","3–3","1–0","2–2","0–2","2–1","0–1","0–3","3–1","4–0","","1–0","0–0","2–2","3–0","0–3","0–0","3–2","1–1","3–1"
"Sheffield United","2–4","1–0","1–2","2–0","0–1","2–3","1–0","0–0","1–1","0–3","0–3","2–1","1–3","","0–1","4–1","1–0","1–2","3–2","1–1","1–2","1–1"
"Sheffield Wednesday","1–2","2–1","2–2","4–0","0–0","4–2","0–1","2–1","1–2","1–1","1–1","1–1","0–0","1–1","","2–0","1–1","0–1","1–2","2–2","4–1","2–2"
"Southampton","2–0","2–2","3–5","0–0","3–2","2–1","1–1","1–5","1–0","3–2","2–2","0–0","2–1","3–3","2–0","","1–2","3–2","1–2","4–0","0–0","1–1"
"Stoke City","0–1","0–2","0–1","3–3","1–0","0–1","3–2","3–2","2–1","3–0","2–4","2–1","1–3","1–1","0–1","3–2","","2–1","2–1","0–0","2–0","0–2"
"Sunderland","2–0","2–2","2–3","1–1","1–0","3–0","2–2","0–2","1–1","1–0","1–1","3–3","1–0","2–1","0–2","0–3","3–1","","0–1","0–0","1–5","2–0"
"Tottenham Hotspur","1–0","5–0","2–0","4–2","1–1","2–2","2–1","0–1","1–1","1–3","1–2","1–1","1–1","1–1","2–1","6–1","3–0","3–0","","0–0","5–1","2–1"
"West Bromwich Albion","1–3","8–1","0–1","0–1","2–6","2–1","2–0","0–0","0–2","3–2","6–3","2–0","2–1","4–1","1–1","0–0","3–0","0–0","2–0","","3–1","4–1"
"West Ham United","1–1","4–2","0–1","0–0","1–1","7–2","0–0","4–2","1–0","2–3","1–3","5–0","3–0","3–0","2–3","0–1","3–4","1–1","2–1","2–3","","1–2"
"Wolverhampton Wanderers","3–2","3–2","3–0","2–0","1–3","3–2","2–0","1–3","1–1","0–0","2–3","2–2","6–1","1–3","2–3","2–0","3–4","2–1","2–1","3–3","1–2",""
