"Home \ Away","AST","BIR","BLB","BLP","BOL","BRI","CAR","CRL","CHA","CRY","DER","HUD","HUL","IPS","MID","MIL","NWC","PLY","POR","PNE","QPR","ROT"
"Aston Villa","","2–4","1–2","3–2","1–1","2–4","2–1","1–0","4–1","0–1","2–1","0–0","2–3","2–2","0–1","3–1","4–2","0–1","1–0","1–0","1–2","3–1"
"Birmingham","2–1","","1–1","1–2","4–0","4–1","0–0","1–3","4–0","1–0","3–1","6–1","6–2","0–0","6–1","2–3","0–0","2–2","2–2","3–0","2–0","4–1"
"Blackburn Rovers","2–1","1–2","","2–1","2–1","2–0","1–1","1–0","3–2","2–1","3–0","0–0","2–0","2–1","3–0","2–0","0–0","1–1","2–2","0–1","0–1","3–1"
"Blackpool","1–0","1–0","2–1","","1–1","1–1","3–1","1–1","2–0","2–0","1–1","2–0","3–1","0–0","3–0","1–4","0–2","2–0","2–0","4–1","0–1","1–1"
"Bolton Wanderers","2–3","1–1","2–1","1–2","","1–0","1–1","2–3","2–0","2–2","5–3","3–1","6–1","1–2","2–0","1–1","2–0","1–2","1–2","0–0","1–1","0–2"
"Bristol City","0–0","3–1","0–0","2–4","1–1","","1–1","1–0","0–2","2–1","1–0","2–3","3–3","1–1","0–0","0–2","0–2","2–0","3–0","4–1","0–2","0–1"
"Cardiff City","3–0","1–3","3–2","1–3","1–3","0–1","","1–0","0–0","4–2","1–5","0–0","2–3","1–1","3–0","2–2","3–1","1–1","3–0","2–0","1–0","2–2"
"Carlisle United","1–2","1–1","1–0","1–3","3–0","0–0","1–3","","0–0","3–0","1–1","2–1","1–1","4–1","2–2","1–1","2–2","2–0","1–1","4–1","3–1","4–1"
"Charlton Athletic","3–0","3–1","3–0","0–2","2–0","1–2","1–1","2–2","","0–1","1–2","4–2","5–1","0–1","2–2","1–0","3–3","1–0","4–1","0–0","3–3","4–1"
"Crystal Palace","0–1","0–0","1–0","3–1","0–3","2–0","2–1","1–1","3–0","","1–0","0–1","0–1","1–3","1–3","2–2","6–0","5–0","2–2","2–0","1–0","1–0"
"Derby County","3–1","2–2","2–2","1–3","2–1","3–1","3–4","0–1","3–2","1–1","","1–0","1–2","2–3","2–4","3–3","1–1","1–0","0–1","1–2","4–0","4–1"
"Huddersfield Town","0–0","2–3","2–1","1–3","1–1","0–3","1–0","1–1","4–1","1–1","3–1","","2–0","1–4","1–0","1–0","2–0","0–1","2–2","1–1","1–0","2–0"
"Hull City","3–0","0–1","1–1","0–1","1–2","4–2","1–2","1–0","1–1","1–1","3–0","1–1","","1–1","0–2","1–1","0–2","0–2","1–1","1–1","2–0","2–1"
"Ipswich Town","2–1","2–1","1–1","1–1","1–1","5–0","4–2","3–1","3–2","2–2","4–0","2–0","2–0","","1–2","2–1","0–0","1–1","1–2","4–0","2–2","2–0"
"Middlesbrough","1–1","1–1","0–0","0–0","1–2","2–1","2–3","4–0","1–1","3–0","2–2","3–2","2–1","0–2","","0–1","2–0","5–0","1–0","5–0","3–1","1–1"
"Millwall","1–2","1–1","1–2","1–1","3–0","1–1","3–1","1–0","0–0","5–1","1–1","1–1","1–1","1–1","4–0","","1–0","3–0","3–2","2–0","1–1","0–0"
"Norwich City","1–0","4–2","1–0","1–2","3–1","3–2","1–0","2–1","1–1","2–1","3–2","0–1","2–2","3–4","2–1","5–0","","2–0","1–3","1–3","0–0","2–2"
"Plymouth Argyle","2–1","1–2","2–1","2–2","1–2","0–1","0–0","3–1","1–4","2–1","3–4","1–1","2–5","0–1","0–1","2–1","2–2","","1–2","1–2","0–1","0–1"
"Portsmouth","2–2","1–2","2–1","3–1","3–0","2–0","3–1","2–1","4–0","2–2","3–2","3–1","3–0","1–2","2–0","0–0","3–0","0–0","","2–1","1–1","1–1"
"Preston North End","2–1","0–0","3–5","0–2","1–1","0–1","3–0","0–2","4–1","0–0","1–1","3–1","3–2","1–1","0–0","0–1","1–0","2–0","3–1","","0–2","2–2"
"Queens Park Rangers","3–0","2–0","3–1","2–0","1–0","3–1","1–0","1–0","2–1","2–1","0–1","3–0","1–1","1–0","1–1","3–1","2–0","4–1","2–0","2–0","","6–0"
"Rotherham United","0–2","1–1","1–0","1–2","2–2","1–0","3–2","1–2","1–1","0–3","1–3","1–0","1–3","1–3","0–1","2–0","1–3","1–0","1–1","1–0","1–3",""
