"Home \ Away","BRW","B&BA","B&HA","BRR","BRY","COL","GIL","GRI","MAN","NOR","OLD","ORI","OXF","PET","REA","SCU","SHR","SOU","STP","SWI","TOR","TRA","WAL","WAT"
"Barrow","","1–1","1–1","1–0","1–1","5–0","0–1","2–0","0–1","4–0","4–1","1–0","3–0","1–2","1–0","2–1","3–0","3–1","3–0","1–1","3–0","2–1","1–1","0–0"
"Bournemouth & Boscombe Athletic","3–0","","2–2","3–1","1–0","1–2","4–0","1–0","3–0","0–2","0–0","0–0","2–1","3–3","2–0","1–0","1–1","4–1","1–0","2–1","1–1","3–0","1–1","0–1"
"Brighton & Hove Albion","1–1","2–3","","1–1","1–0","0–0","3–0","3–1","3–0","0–2","0–1","1–1","0–0","1–1","1–1","3–1","3–0","1–0","3–0","0–0","0–1","2–0","1–0","1–0"
"Bristol Rovers","1–0","2–0","3–1","","3–1","1–1","1–1","3–0","2–0","2–0","4–3","0–2","1–1","2–1","1–0","4–0","4–1","1–3","0–2","1–2","1–0","3–1","2–3","0–2"
"Bury","1–2","4–0","4–0","4–2","","2–0","3–2","2–0","3–1","3–1","3–1","1–0","1–1","4–0","2–0","4–3","2–0","3–2","5–3","1–1","5–1","3–3","2–1","2–0"
"Colchester United","3–2","0–1","0–0","2–0","0–0","","2–2","1–3","1–2","2–1","0–0","1–1","1–2","1–5","2–5","1–0","0–3","1–1","1–1","2–1","3–5","1–2","2–2","2–1"
"Gillingham","3–0","0–0","1–1","0–0","2–0","1–0","","1–0","2–1","2–0","1–0","2–3","2–1","3–2","3–0","3–1","0–1","1–4","3–1","3–1","1–1","1–1","0–1","0–0"
"Grimsby Town","0–1","2–1","4–2","3–2","3–1","1–2","1–1","","0–0","0–0","0–1","0–0","0–1","1–1","1–1","2–1","0–1","2–0","3–1","3–2","1–1","3–0","3–0","0–1"
"Mansfield Town","1–2","1–1","1–3","3–0","1–1","2–1","0–1","1–1","","3–2","1–1","0–0","1–0","2–3","2–2","3–0","0–1","4–2","1–0","2–2","2–0","0–3","0–3","1–2"
"Northampton Town","3–0","1–0","2–2","4–5","0–1","2–2","1–1","3–0","1–1","","1–2","2–1","1–1","3–1","1–2","1–0","2–2","1–1","4–1","2–0","1–0","0–1","3–0","1–1"
"Oldham Athletic","3–1","1–1","3–0","3–5","1–2","2–1","0–1","2–1","1–0","2–0","","2–2","3–1","0–2","1–3","3–4","0–0","2–0","4–1","0–2","0–1","2–1","0–3","2–0"
"Orient","4–2","1–0","1–2","2–2","1–0","1–1","0–4","1–0","0–0","1–3","0–2","","1–0","3–0","1–0","2–1","1–1","3–0","2–2","0–0","0–2","0–1","2–0","0–1"
"Oxford United","3–1","3–2","2–0","0–2","5–4","3–1","3–0","2–1","2–0","1–0","3–1","2–0","","3–1","2–0","2–3","2–2","1–0","2–2","0–0","2–0","1–0","4–0","1–0"
"Peterborough United","0–1","2–0","2–3","4–1","0–2","3–1","3–0","3–2","2–0","4–0","2–1","3–2","1–1","","2–3","1–1","0–1","1–0","2–0","1–1","2–0","1–1","2–1","5–1"
"Reading","3–0","1–0","1–0","2–1","3–4","1–0","3–1","3–0","2–1","0–0","0–1","4–2","1–1","0–1","","2–1","0–0","1–1","3–0","2–1","4–0","3–0","2–2","2–0"
"Scunthorpe United","2–4","1–1","1–3","1–1","3–1","5–1","2–1","0–3","3–3","1–1","2–0","1–1","1–1","2–1","1–2","","0–0","1–0","0–2","3–1","2–0","1–1","2–5","1–1"
"Shrewsbury Town","1–0","1–0","0–0","0–0","1–0","4–0","1–2","3–2","2–1","2–0","4–2","2–2","2–0","1–1","2–1","4–0","","3–2","0–0","0–1","5–0","1–1","0–1","3–1"
"Southport","1–0","1–1","1–0","2–1","2–2","2–3","4–1","0–1","3–1","1–3","1–0","0–0","1–0","2–1","2–1","1–1","0–0","","4–3","1–1","0–2","2–0","2–0","2–0"
"Stockport County","1–0","3–1","2–0","3–1","4–2","1–0","1–1","1–1","1–0","4–0","0–2","2–0","0–4","2–2","3–0","4–1","4–2","4–3","","2–0","0–0","5–2","0–0","2–0"
"Swindon Town","0–1","4–0","2–1","4–1","2–3","1–1","2–2","5–0","1–1","4–0","0–0","4–0","1–1","0–0","5–1","2–0","0–0","3–3","2–0","","1–0","3–1","3–0","2–0"
"Torquay United","0–2","2–1","1–1","2–0","3–0","3–0","2–1","1–0","0–2","0–0","2–1","1–1","1–1","3–1","2–1","2–1","3–0","2–2","3–0","1–1","","1–0","4–1","1–0"
"Tranmere Rovers","0–0","0–0","2–2","3–3","2–0","4–2","2–1","1–2","1–1","2–2","1–0","3–0","1–1","0–1","1–2","2–0","4–1","0–2","2–1","3–2","2–3","","2–0","1–2"
"Walsall","4–0","1–1","1–2","2–1","2–1","1–1","3–0","2–0","2–1","4–0","3–1","5–0","0–1","3–2","2–2","0–0","1–2","1–1","0–1","3–2","1–1","5–1","","1–1"
"Watford","3–2","0–2","4–0","4–0","1–1","1–1","3–0","7–1","1–2","5–1","1–2","1–1","2–0","4–1","3–0","4–0","2–0","0–1","5–0","2–0","2–1","3–2","1–2",""
