"Home \ Away","ALD","BRA","BPA","BRE","CHE","CHF","COL","DAR","DON","EXE","GRI","HAL","LIN","NPC","NTC","PET","PTV","ROC","SCU","STD","SWA","WRK","WRE","YOR"
"Aldershot","","2–1","4–1","1–2","4–0","2–0","1–2","0–0","1–2","2–0","3–1","0–2","0–1","4–0","0–0","1–4","3–0","0–0","3–2","2–1","5–2","0–1","2–1","2–0"
"Bradford City","1–1","","1–0","3–0","2–0","2–1","1–1","0–0","1–1","1–0","1–1","1–1","2–0","1–1","1–1","2–1","2–2","1–1","3–0","3–2","1–0","0–1","1–3","5–0"
"Bradford Park Avenue","0–1","0–0","","0–2","1–1","0–1","2–1","1–3","2–1","2–1","1–1","0–0","1–1","1–5","1–1","0–2","0–1","1–4","2–2","0–3","1–1","1–0","1–2","1–0"
"Brentford","2–4","2–1","3–0","","2–1","1–0","4–0","0–1","1–0","0–1","4–2","1–1","2–2","1–1","0–0","2–0","3–1","1–1","2–1","1–1","2–1","0–3","1–1","5–1"
"Chester","3–1","0–0","4–1","2–2","","2–0","5–1","1–2","2–1","0–1","0–1","2–2","2–0","4–0","3–1","2–3","2–0","2–1","0–2","1–2","3–0","0–2","1–1","2–0"
"Chesterfield","1–2","0–1","1–1","1–2","2–0","","0–2","2–2","0–1","2–0","0–0","2–0","1–1","2–1","0–2","2–0","3–1","1–1","1–2","0–0","2–0","0–1","0–1","1–1"
"Colchester United","2–0","1–1","3–0","2–1","1–1","1–0","","0–0","1–2","1–0","2–1","0–0","1–1","2–1","1–1","2–2","1–0","0–0","0–4","4–0","0–1","3–0","2–1","1–0"
"Darlington","1–0","1–3","2–0","3–1","2–2","1–3","1–1","","0–0","1–2","0–0","0–1","5–0","1–0","3–2","3–3","1–0","0–0","0–1","2–3","3–0","6–2","1–0","3–2"
"Doncaster Rovers","7–0","1–1","4–1","5–0","4–3","0–0","1–0","0–1","","3–1","2–1","0–0","0–2","2–2","0–0","1–0","2–0","2–0","4–3","2–0","0–0","0–0","0–0","2–1"
"Exeter City","0–0","2–3","4–2","2–2","2–2","3–0","1–1","2–0","0–0","","2–2","2–1","3–0","2–0","0–0","0–1","3–1","2–2","3–1","1–2","0–1","1–0","5–3","5–0"
"Grimsby Town","0–2","1–5","2–0","0–2","0–0","1–2","2–4","1–1","1–3","1–2","","0–1","1–1","3–0","2–0","2–2","1–1","2–0","0–1","0–0","1–2","0–1","1–1","3–0"
"Halifax Town","1–0","1–1","3–0","2–0","0–0","0–0","2–1","0–4","4–1","2–1","0–0","","0–1","3–0","3–1","2–1","2–1","1–0","2–0","1–1","2–1","3–0","2–0","0–4"
"Lincoln City","2–1","2–0","3–2","1–0","2–0","2–2","0–3","2–1","1–1","3–2","3–0","0–0","","1–0","5–0","1–1","0–1","0–0","1–2","2–1","0–1","4–1","0–0","3–0"
"Newport County","3–4","1–3","1–0","1–1","2–5","1–2","1–0","0–0","0–0","2–1","2–0","2–0","2–1","","0–0","4–2","0–0","1–1","1–1","4–1","2–1","0–0","0–2","1–1"
"Notts County","0–2","0–2","5–0","0–2","3–2","2–1","2–0","0–0","1–1","3–1","2–1","1–2","0–0","3–1","","2–1","0–0","1–1","1–0","2–2","0–3","0–0","5–0","0–0"
"Peterborough United","2–0","2–2","6–1","2–1","1–2","3–0","0–1","1–1","0–1","1–1","1–1","0–0","0–0","1–1","1–0","","0–1","0–1","3–2","1–0","2–2","1–1","2–3","2–1"
"Port Vale","0–0","1–1","1–1","4–1","2–1","0–1","0–0","1–0","0–2","1–0","1–0","1–1","1–1","5–0","0–2","1–0","","1–1","4–1","1–1","1–0","3–1","1–0","3–0"
"Rochdale","3–0","6–0","6–0","0–0","4–1","0–0","4–0","2–0","0–0","1–1","6–1","1–0","2–1","0–1","0–0","1–1","1–0","","3–2","3–0","0–1","0–0","2–1","2–1"
"Scunthorpe United","4–1","1–0","1–0","1–1","2–2","0–1","2–3","0–0","0–2","2–1","1–2","0–1","0–0","1–0","2–1","1–2","0–1","0–0","","4–1","3–1","0–1","1–0","2–1"
"Southend United","4–2","2–0","5–0","4–0","1–2","2–2","3–1","1–1","2–0","6–1","0–1","2–1","3–0","1–0","4–0","2–1","1–1","1–3","0–3","","4–0","1–0","1–0","1–2"
"Swansea Town","2–2","0–2","3–0","2–3","0–5","0–0","2–0","1–1","0–1","2–0","1–1","1–0","5–0","3–2","3–0","0–0","1–0","3–0","2–0","2–2","","0–0","0–0","2–1"
"Workington","1–0","0–0","3–1","1–0","0–0","1–1","0–1","1–2","1–1","3–0","2–0","1–1","1–1","3–2","1–1","1–0","0–0","1–2","1–1","0–0","0–3","","0–0","2–0"
"Wrexham","2–0","1–1","3–0","2–0","1–1","1–1","0–3","2–1","3–1","2–2","2–0","2–2","0–1","4–0","3–2","0–0","2–0","3–2","0–1","3–3","2–0","1–0","","2–1"
"York City","2–1","1–1","4–2","2–1","4–2","3–1","2–0","1–1","1–1","0–2","2–5","0–0","1–1","0–0","2–0","2–1","3–1","0–0","2–1","1–1","0–2","2–1","1–0",""
